,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,473,037,203",,,,,"273,496,070,904",,,"183,988,356,618","198,000,655,722","249,680,898,754","244,898,205,020","263,974,041,597","276,332,465,108","275,892,957,574","289,750,429,596","318,061,694,815","309,456,261,514","321,434,277,492","327,613,420,281","365,610,131,616","388,090,765,112","391,410,546,591","440,038,901,036","335,201,170,135","114,144,402,892","123,933,233,774","157,548,175,270","176,341,884,626","145,764,047,947","53,534,653,282","112,681,459,642","168,700,040,041","237,574,563,249","291,141,095,258","297,747,228,313","329,248,288,227","365,262,962,574","394,599,634,710","365,584,049,705","368,729,397,461","380,237,738,728","379,582,409,560","389,681,943,803"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,473,037,203",,,,,"273,496,070,904",,,"183,988,356,618","198,000,655,722","249,680,898,754","244,898,205,020","263,974,041,597","276,332,465,108","275,892,957,574","289,750,429,596","318,061,694,815","309,456,261,514","321,434,277,492","327,613,420,281","365,610,131,616","388,090,765,112","391,410,546,591","440,038,901,036","335,201,170,135","114,144,402,892","123,933,233,774","157,548,175,270","176,341,884,626","145,764,047,947","53,534,653,282","112,681,459,642","168,700,040,041","237,574,563,249","291,141,095,258","297,747,228,313","329,248,288,227","365,262,962,574","394,599,634,710","365,584,049,705","368,729,397,461","380,237,738,728","379,582,409,560","389,681,943,803"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,568,144,470",,,,,"188,532,462,696",,,"122,952,442,240","129,910,657,701","167,187,093,907","177,848,420,449","172,695,757,807","167,957,593,596","183,622,068,424","197,514,450,487","192,023,494,673","195,097,682,262","206,172,555,488","223,371,149,961","231,280,441,547","254,205,707,167","249,119,441,342","265,725,010,842","225,431,802,786","100,031,107,689","106,069,707,273","131,512,034,216","119,433,922,472","107,471,626,424","62,564,033,170","92,014,300,648","117,104,570,508","158,079,679,842","223,610,536,148","225,486,900,293","232,066,436,538","251,163,416,957","265,988,165,604","251,340,773,562","251,225,279,067","255,277,998,594","252,449,870,734","264,728,127,015"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,904,892,733",,,,,"84,963,608,208",,,"61,035,914,378","68,089,998,021","82,493,804,847","67,049,784,571","91,278,283,790","108,374,871,512","92,270,889,150","92,235,979,109","126,038,200,142","114,358,579,252","115,261,722,004","104,242,270,320","134,329,690,069","133,885,057,945","142,291,105,249","174,313,890,194","109,769,367,349","14,113,295,203","17,863,526,501","26,036,141,054","56,907,962,154","38,292,421,523","-9,029,379,888","20,667,158,994","51,595,469,533","79,494,883,407","67,530,559,110","72,260,328,020","97,181,851,689","114,099,545,617","128,611,469,106","114,243,276,143","117,504,118,394","124,959,740,134","127,132,538,826","124,953,816,788"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"565,805,117",,,,,"1,879,535,512",,,"535,115,004","941,939,889","1,167,703,230","3,817,871,339","1,157,237,506","518,903,627","1,507,189,867","1,230,095,437","1,439,388,020","2,600,414,080","5,209,450,685","3,080,985,192","2,499,592,606","3,730,252,404","3,583,489,516","4,868,159,139","5,964,699,195","6,219,979,229","3,563,297,923","2,436,189,511","2,279,854,294","2,194,156,432","2,732,681,870","2,562,189,851","3,348,686,113","4,915,542,669","6,288,827,783","6,703,672,603","3,719,049,669","18,052,477,749","15,520,289,623","8,030,418,271","13,024,831,261","12,362,940,498","15,349,851,381","20,578,290,862"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"289,154,125",,,"515,133,616","472,254,224","135,931,620","447,582,622","759,916,121","161,589,564","192,430,975","110,176,080","37,762,693","302,377,801","652,612,524","2,384,556,076","5,259,203","173,269,933","928,978,269","137,612,641","74,898,757","2,987,389,938","364,846,284","144,212,733","115,967,212","137,347,027","307,307,026","545,645,735","55,793,298","10,228,580","266,043,466","5,692,833,677","825,505,902","300,625,706","67,634,705","3,831,934,877","30,347,588","503,584,907","18,040,597,338","701,107,176"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
