,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,806,598,373","36,769,244,375","50,456,089,838","61,764,484,223","59,334,597,686","52,379,415,883",,"91,571,788,326",,,"86,841,839,049","102,839,964,655","98,781,140,484","69,964,585,329","93,226,969,553","116,654,697,430","118,648,795,696","89,059,717,242","102,301,004,233","158,166,222,306","99,213,038,162","82,787,523,339","112,081,206,445","148,394,657,290","107,749,618,867","83,917,562,138","88,303,620,446","60,839,624,111","86,142,868,460","69,053,352,305","78,865,933,013","64,825,041,959","4,065,313,770","19,402,820,146","84,216,012,832","126,562,200,577","114,952,109,788","84,119,388,161","117,711,733,003","130,975,701,677","91,360,062,138","69,361,906,281","107,696,853,994",,"81,574,956,641","65,963,912,856"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,127,270","13,227,270","46,209,090","41,227,286","47,240,929","41,500,009",,"51,700,015",,,"77,504,553","474,513,658","725,268,238","1,436,531,942","3,531,591,413","4,957,232,448","7,572,600,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,778,471,103","36,756,017,105","50,409,880,748","61,723,256,937","59,287,356,757","52,337,915,874",,"91,520,088,311",,,"86,764,334,496","102,365,450,997","98,055,872,246","68,528,053,387","89,695,378,140","111,697,464,982","111,076,194,717","89,059,717,242","102,301,004,233","158,166,222,306","99,213,038,162","82,787,523,339","112,081,206,445","148,394,657,290","107,749,618,867","83,917,562,138","88,303,620,446","60,839,624,111","86,142,868,460","69,053,352,305","78,865,933,013","64,825,041,959","4,065,313,770","19,402,820,146","84,216,012,832","126,562,200,577","114,952,109,788","84,119,388,161","117,711,733,003","130,975,701,677","91,360,062,138","69,361,906,281","107,696,853,994",,"81,574,956,641","65,963,912,856"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,497,506,270","24,419,640,703","24,762,731,421","28,965,657,030","28,514,556,941","25,897,696,790",,"28,315,657,091",,,"26,188,722,968","30,062,411,844","29,723,514,335","27,679,760,610","34,799,321,841","38,815,695,203","42,045,826,563","53,831,476,423","50,734,634,702","78,408,415,453","64,332,072,025","66,401,043,413","69,653,741,636","88,177,984,898","75,386,975,113","66,863,815,487","68,964,569,701","50,463,975,455","59,203,029,731","59,345,971,109","61,017,091,106","58,608,537,938","25,008,158,179","34,914,397,937","64,219,733,505","85,849,488,787","86,646,200,887","77,645,648,937","74,533,865,292","77,912,464,321","72,088,083,558","64,785,317,716","73,167,315,591",,"72,623,748,510","64,185,173,808"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,280,964,833","12,336,376,402","25,647,149,327","32,757,599,907","30,772,799,816","26,440,219,084",,"63,204,431,220",,,"60,575,611,528","72,303,039,153","68,332,357,911","40,848,292,777","54,896,056,299","72,881,769,779","69,030,368,154","35,228,240,819","51,566,369,531","79,757,806,853","34,880,966,137","16,386,479,926","42,427,464,809","60,216,672,392","32,362,643,754","17,053,746,651","19,339,050,745","10,375,648,656","26,939,838,729","9,707,381,196","17,848,841,907","6,216,504,021","-20,942,844,409","-15,511,577,791","19,996,279,327","40,712,711,790","28,305,908,901","6,473,739,224","43,177,867,711","53,063,237,356","19,271,978,580","4,576,588,565","34,529,538,403",,"8,951,208,131","1,778,739,048"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"632,243,458","2,373,798,837","554,922,352","690,510,575","1,675,469,583","1,704,167,843",,"1,279,555,079",,,"3,397,805,013","4,239,638,899","1,065,581,991","4,128,484,831","1,412,842,263","4,951,582,372","8,405,780,867","5,262,718,727","4,329,749,771","1,997,445,048","4,797,050,840","5,373,716,667","702,434,875","1,472,003,723","6,453,399,118","2,952,507,180","1,860,613,068","1,719,874,884","4,791,827,655","2,512,870,014","2,309,495,706","2,372,081,289","1,879,654,251","1,551,696,710","1,548,752,408","1,882,798,153","2,469,516,324","2,607,522,375","3,547,189,411","4,160,743,233","5,598,312,006","4,056,337,469","3,707,552,268",,"2,082,455,159","1,831,031,097"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,345,015","27,794,742","28,650,759",,"91,219,766","1,214,213","32,529,330","954,800","151,688,236","20,646,949","89,411","40,264,951","30,396,702","2,410,100","17,075,941","1,043,000","18,487,870","1,569,020","13,021,743",,,,"1,649,612",,,,,,"342,150,184","-315,335,814",,,,"13,189,418","4,887,120"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"978,130,604","1,379,192,437","1,066,272,844","1,095,270,543","1,267,186,559","1,563,199,733",,"6,986,182,342",,,"6,539,342,444","7,790,158,304","7,121,033,605","5,951,143,885","8,366,787,852","10,334,619,038","9,492,361,455","8,865,273,310","9,480,836,774","12,892,787,569","10,313,421,767","12,151,732,056","9,938,799,385","11,301,808,655","10,157,305,569","10,973,471,502","10,794,999,639","7,829,827,001","9,778,009,578","9,951,763,988","9,469,635,855","8,393,049,370","2,834,023,401","4,624,117,808","9,074,044,553","12,099,276,662","11,700,501,765","11,205,509,949","11,909,762,755","12,313,521,872","10,706,409,284","10,508,452,620","11,203,585,619",,"10,140,363,039","10,860,356,478"
