,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,"169,647,580,424",,"102,816,428,474","110,350,168,056","120,984,179,753","131,955,222,850","147,774,586,685","162,012,199,421","180,434,600,177","157,429,781,636","146,655,205,232","319,139,116,123","148,616,478,018","151,914,206,859","139,231,199,599","156,404,925,553","154,452,406,572","157,245,007,542","148,531,846,704","163,106,751,145","173,102,624,973","176,668,939,800","166,570,825,621","241,261,016,237","638,636,382,890","234,087,361,595",,"298,873,099,132",,,"191,024,502,494","282,644,263,376","345,473,050,730","447,449,212,144","320,553,688,378","387,392,436,680","359,606,484,643","417,166,523,241","388,685,492,702","421,026,368,625","469,396,323,819","488,236,179,635","369,102,214,783","486,573,670,647","469,861,005,602","510,370,125,947","415,095,717,299","420,751,899,512","529,856,476,648",,"587,805,039,058","760,778,748,137",,"812,212,489,074","737,107,050,840","686,821,029,758","642,178,792,539","573,928,248,654","385,434,319,384","453,181,892,004","425,278,884,294","530,352,552,270","475,804,815,780","610,420,813,605","661,848,804,436","705,952,078,113"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,759,579","3,355,553,154","84,651,533",,,,,,,,,,,"252,012,711","13,696,727","98,104,200",,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,"169,647,580,424",,"102,816,428,474","110,350,168,056","120,984,179,753","131,955,222,850","147,774,586,685","162,012,199,421","180,434,600,177","157,429,781,636","146,655,205,232","319,139,116,123","148,616,478,018","151,914,206,859","139,231,199,599","156,404,925,553","154,452,406,572","157,245,007,542","148,531,846,704","163,106,751,145","173,102,624,973","176,668,939,800","166,570,825,621","241,261,016,237","638,636,382,890","234,087,361,595",,"298,873,099,132",,,"191,024,502,494","282,644,263,376","345,435,291,151","444,093,658,990","320,469,036,845","387,392,436,680","359,606,484,643","417,166,523,241","388,685,492,702","421,026,368,625","469,396,323,819","488,236,179,635","369,102,214,783","486,573,670,647","469,861,005,602","510,118,113,236","415,082,020,572","420,653,795,312","529,856,476,648","667,006,749,055","587,805,039,058","760,778,748,137",,"812,212,489,074","737,107,050,840","686,821,029,758","642,178,792,539","573,928,248,654","385,434,319,384","453,181,892,004","425,278,884,294","530,352,552,270","475,804,815,780","610,420,813,605","661,848,804,436","705,952,078,113"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,"140,691,539,462",,"77,610,885,675","87,123,429,081","97,057,256,198","107,194,203,063","119,387,822,116","137,306,251,654","153,052,532,856","128,792,622,157","118,267,264,348","259,427,432,742","119,829,423,462","124,877,382,007","112,455,671,226","128,273,664,520","126,409,053,198","127,725,550,466","120,812,320,568","134,355,089,309","141,200,534,054","145,175,518,343","138,663,995,848","208,797,487,893","548,399,123,858","201,309,321,105",,"257,834,690,989",,,"149,138,297,470","226,113,144,542","268,833,412,276","349,691,466,746","246,055,457,695","316,766,075,561","290,471,595,739","339,228,496,547","315,323,272,538","351,169,267,501","376,405,176,312","389,947,221,866","280,916,944,328","396,376,034,548","373,011,101,495","403,999,713,918","326,448,199,969","345,408,711,751","422,131,351,577","504,905,660,512","466,304,979,278","630,207,990,841",,"703,719,754,010","615,562,232,070","578,395,609,640","521,757,824,374","470,653,458,704","295,523,918,522","405,528,663,637","335,315,071,437","438,589,230,007","391,482,512,070","522,588,418,737","559,692,113,609","586,856,334,653"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,"28,956,040,962",,"25,205,542,799","23,226,738,975","23,926,923,555","24,761,019,787","28,386,764,569","24,705,947,767","27,382,067,321","28,637,159,479","28,387,940,884","59,711,683,381","28,787,054,556","27,036,824,852","26,775,528,373","28,131,261,033","28,043,353,374","29,519,457,076","27,719,526,136","28,751,661,836","31,902,090,919","31,493,421,457","27,906,829,773","32,463,528,344","90,237,259,032","32,778,040,490",,"41,038,408,143",,,"41,886,205,024","56,531,118,834","76,601,878,875","94,402,192,244","74,413,579,150","70,626,361,119","69,134,888,904","77,938,026,694","73,362,220,164","69,857,101,124","92,991,147,507","98,288,957,769","88,185,270,455","90,197,636,099","96,849,904,107","106,118,399,318","88,633,820,603","75,245,083,561","107,725,125,071","162,101,088,543","121,500,059,780","130,570,757,296",,"108,492,735,064","121,544,818,770","108,425,420,118","120,420,968,165","103,274,789,950","89,910,400,862","47,653,228,367","89,963,812,857","91,763,322,263","84,322,303,710","87,832,394,868","102,156,690,827","119,095,743,460"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,"935,971,437",,"297,842,392","303,590,596","362,484,286","1,031,546,070","680,693,850","481,064,299","569,674,744","611,021,578","719,554,340","3,075,571,338","1,771,614,227","2,018,184,192","924,508,274","2,050,007,173","1,205,873,684","1,392,732,281","944,949,680","1,685,709,740","795,318,439","1,301,932,525","696,106,976","1,152,004,475","3,062,943,353","13,023,233,521",,"302,076,291",,,"3,085,715,564","23,774,112,036","29,841,445,202","5,916,616,118","570,585,728,496","7,729,236,539","2,669,232,249","25,648,106,691","12,411,714,873","11,167,383,657","14,593,824,232","8,793,039,199","5,991,586,682","51,923,174,554","4,818,291,576","2,327,649,917","4,778,463,752","5,710,399,614","15,245,553,288","-678,307,434","4,341,032,611","2,033,778,459",,"3,061,923,215","2,381,328,391","3,791,453,071","3,351,669,149","5,225,892,776","3,306,436,825","5,666,979,102","8,672,043,100","6,808,996,001","3,508,234,133","8,320,829,303","3,588,185,394","9,513,069,810"
7. Chi phí tài chính,,,,,,,,,,,,,,,"1,851,390,124",,"213,736,763","4,214,364",,,,,,,,,"5,000,000","2,901,215","653,167","-653,167","5,520,781","2,196,052","4,767,455","3,787,609",,,"577,586","138,803,801",,,,"67,511,241",,,"10,210,612,296","5,767,041,970","19,873,626,565","18,353,605,619","18,547,786,085","17,377,402,345","9,978,996,814","19,924,390,817","8,598,151,875","12,526,812,310","9,122,695,397","-3,147,569,662","6,291,989,179","-22,252,831","898,411,653","20,453,778,865","2,592,992,240","57,491,370,272","1,050,355,924","4,136,650,209","3,988,669,845","4,553,381,506",,"5,455,108,130","4,736,183,505","7,143,070,196","5,552,799,962","5,045,155,956","4,502,904,648","4,558,263,581","5,267,715,734","4,301,696,708","2,539,469,111","4,012,970,085","3,947,282,665","6,994,862,894"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,"1,851,390,124",,"213,736,763","4,214,364",,,,,,,,,"5,000,000","2,901,215","653,167","-653,167","5,520,781","2,196,052","4,767,455","3,787,609",,,"577,586","138,803,801",,,,"358,872,180",,,,"14,258,653,755","18,244,363,919","16,894,024,877","16,636,912,822","15,622,546,551","9,162,061,585","9,293,470,472","-9,429,130,597","28,713,490,641","7,813,610,000","4,738,446,941","-5,251,797,243","11,634,114,709","429,884,023","1,654,555,289","1,244,147,083","2,790,269,751","3,387,697,045","3,818,158,260","3,553,130,722","4,006,980,533",,"-3,742,770,585","4,246,267,439","5,104,309,569","3,859,919,883","4,309,910,483","4,270,836,447","4,048,553,333","2,921,107,499","4,006,689,197","2,320,529,030","3,638,605,563","2,423,616,569","5,834,334,732"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,806,005,022","-2,063,762,686","7,109,655,473","-9,769,828,161","-25,717,963,062","4,334,987,736","8,271,980,955","6,312,236,535","13,174,733,530","12,969,123,590","9,822,732,961","3,395,893,612","1,982,900,586","-41,764,877,186","2,240,924,860","6,736,146,110","-26,508,556,104","13,912,195,315","14,908,082,896","12,725,231,352","7,064,116,122","16,644,247,632",,"9,638,282,031","11,751,415,185","19,439,343,069","19,169,263,722","12,686,894,428","12,056,251,702","19,949,253,949","22,641,824,763","20,997,750,464","19,123,483,347","21,360,103,580","23,139,192,228","21,541,934,303"
9. Chi phí bán hàng,,,,,,,,,,,,,,,"17,516,082,413",,"14,643,787,834","15,210,689,591","14,817,365,021","17,588,554,353","17,325,564,966","15,053,942,769","20,225,829,401","18,768,565,406","18,531,489,464","38,645,841,736","19,199,768,772","17,863,717,402","17,052,879,229","18,773,959,613","18,142,503,509","18,384,547,524","18,145,903,582","17,937,780,336","19,741,285,836","19,710,117,996","16,423,750,760","19,783,387,606","53,798,398,216","23,681,136,104",,"19,062,036,423",,,"15,672,905,038","17,073,893,349","19,432,808,137","24,369,875,724","18,909,471,159","20,698,753,949","23,720,831,209","30,063,345,036","20,888,257,357","23,418,984,854","25,902,047,547","33,504,402,666","24,603,679,652","27,219,313,030","28,665,549,370","37,346,313,978","24,628,292,927","24,449,175,803","25,600,441,869","33,978,663,409","21,472,200,270","22,119,638,338",,"24,448,748,303","20,227,833,884","18,185,021,482","21,043,452,985","20,591,588,965","18,825,126,168","18,594,902,073","20,299,141,410","16,987,552,155","18,306,461,028","20,196,337,117","21,405,829,335","21,671,328,472"
