,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,"31,820,125,000","32,770,739,500","32,687,400,376","55,213,860,074","51,270,542,865","30,902,258,000","40,699,845,000","37,489,871,459","81,032,440,208","85,344,039,112","57,756,363,034","68,586,279,390","51,516,095,543","31,135,904,816","14,746,013,093","23,771,907,810","48,633,290,740","44,638,633,639","19,517,389,343","32,052,128,315","28,056,016,374","42,824,385,487","43,106,257,784","54,289,844,700","90,609,335,014","66,791,836,230","44,367,010,225","87,296,806,189","95,416,207,433","72,188,688,831","63,438,245,100","112,581,998,156","57,964,540,593","77,927,839,970",,"88,153,150,832",,,"62,467,115,956","76,594,044,069","83,334,266,434","18,805,152,717","74,359,198,604","58,587,981,650","116,642,137,392",,"134,256,940,536","59,000,686,822","89,285,163,832","113,532,538,029","83,523,380,856","97,297,672,591","54,697,248,693","61,394,145,138","86,578,027,774","146,212,597,814","159,561,569,555","140,658,571,859","155,575,209,939","130,858,671,664","98,136,398,850","110,669,774,705","167,471,430,232","180,972,101,784","189,792,365,490","187,844,362,608","156,670,537,496","82,789,012,739","82,049,716,075","109,434,433,231","110,826,187,548","98,767,858,697","192,731,509,540","136,342,879,959"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,"31,820,125,000","32,770,739,500","32,687,400,376","55,213,860,074","51,270,542,865","30,902,258,000","40,699,845,000","37,489,871,459","81,032,440,208","85,344,039,112","57,756,363,034","68,586,279,390","51,516,095,543","31,135,904,816","14,746,013,093","23,771,907,810","48,633,290,740","44,638,633,639","19,517,389,343","32,052,128,315","28,056,016,374","42,824,385,487","43,106,257,784","54,289,844,700","90,609,335,014","66,791,836,230","44,367,010,225","87,296,806,189","95,416,207,433","72,188,688,831","63,438,245,100","112,581,998,156","57,964,540,593","77,927,839,970",,"88,153,150,832",,,"62,467,115,956","76,594,044,069","83,334,266,434","18,805,152,717","74,359,198,604","58,587,981,650","116,642,137,392",,"134,256,940,536","59,000,686,822","89,285,163,832","113,532,538,029","83,523,380,856","97,297,672,591","54,697,248,693","61,394,145,138","86,578,027,774","146,212,597,814","159,561,569,555","140,658,571,859","155,575,209,939","130,858,671,664","98,136,398,850","110,669,774,705","167,471,430,232","180,972,101,784","189,792,365,490","187,844,362,608","156,670,537,496","82,789,012,739","82,049,716,075","109,434,433,231","110,826,187,548","98,767,858,697","192,731,509,540","136,342,879,959"
4. Giá vốn hàng bán,,,,,,,"19,095,886,582","19,169,557,845","18,754,143,634","20,609,504,709","18,593,500,039","20,798,403,429","16,155,951,725","14,916,374,888","15,956,942,879","23,079,493,198","18,222,997,899","15,732,949,943","14,823,490,393","24,765,537,287","13,729,958,914","25,546,694,016","18,246,638,158","22,696,062,192","14,992,641,436","19,895,586,407","15,941,044,462","32,407,037,982","19,796,294,097","31,150,357,665","27,646,436,372","32,926,438,409","24,541,690,595","28,741,606,582","27,424,691,243","41,059,488,764","32,868,913,907","37,365,399,591","24,253,656,407","32,262,218,901",,"30,309,890,205",,,"20,498,821,339","26,622,069,518","30,329,585,159","22,207,905,416","27,427,401,862","25,597,759,031","34,694,795,752",,"34,707,679,735","28,388,631,859","32,215,342,901","38,701,993,016","30,291,995,625","32,140,138,024","26,993,343,321","34,723,029,998","40,907,607,251","46,380,748,002","54,187,336,296","58,123,164,789","47,898,837,282","45,445,022,574","45,822,265,029","47,606,727,174","46,205,834,436","48,443,696,909","51,733,548,786","58,413,363,781","46,520,494,420","38,459,936,968","44,550,550,478","44,177,394,511","38,571,531,411","54,791,167,849","58,177,462,640","59,039,236,388"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,"12,724,238,418","13,601,181,655","13,933,256,742","34,604,355,365","32,677,042,826","10,103,854,571","24,543,893,275","22,573,496,571","65,075,497,329","62,264,545,914","39,533,365,135","52,853,329,447","36,692,605,150","6,370,367,529","1,016,054,179","-1,774,786,206","30,386,652,582","21,942,571,447","4,524,747,907","12,156,541,908","12,114,971,912","10,417,347,505","23,309,963,687","23,139,487,035","62,962,898,642","33,865,397,821","19,825,319,630","58,555,199,607","67,991,516,190","31,129,200,067","30,569,331,193","75,216,598,565","33,710,884,186","45,665,621,069",,"57,843,260,627",,,"41,968,294,617","49,971,974,551","53,004,681,275","-3,402,752,699","46,931,796,742","32,990,222,619","81,947,341,640",,"99,549,260,801","30,612,054,963","57,069,820,931","74,830,545,013","53,231,385,231","65,157,534,567","27,703,905,372","26,671,115,140","45,670,420,523","99,831,849,812","105,374,233,259","82,535,407,070","107,676,372,657","85,413,649,090","52,314,133,821","63,063,047,531","121,265,595,796","132,528,404,875","138,058,816,704","129,430,998,827","110,150,043,076","44,329,075,771","37,499,165,597","65,257,038,720","72,254,656,137","43,976,690,848","134,554,046,900","77,303,643,571"
6. Doanh thu hoạt động tài chính,,,,,,,"87,626,253","191,047,650","64,763,316","55,041,402","127,229,450","1,417,437,474","2,087,414,146","340,307,532","3,784,499,208","4,898,876,842","918,074,984","7,977,480,146","1,966,517,999","6,872,942,794","1,126,184,511","5,715,537,612","898,192,095","744,968,044","5,420,872,415","2,802,406,900","2,098,498,910","2,761,951,091","1,270,259,102","3,570,318,516","3,647,918,013","4,370,365,971","3,551,278,375","5,155,267,921","1,888,270,070","8,217,539,039","3,238,432,533","7,337,567,880","4,165,251,273","7,254,980,883",,"9,469,779,995",,,"871,419,061","9,986,105,237","5,624,779,605","6,628,940,265","6,641,393,266","6,771,269,145","5,570,554,888",,"5,774,480,649","9,070,602,191","8,840,555,938","9,748,545,724","9,190,508,616","8,052,401,891","7,832,246,688","8,347,532,310","1,103,177,330","4,730,704,382","3,655,567,753","1,682,590,924","3,476,048,720","6,337,644,324","4,542,183,938","1,969,642,927","1,376,859,260","2,180,691,556","6,944,179,423","4,622,112,801","2,150,887,906","3,612,866,317","2,719,906,371","2,787,758,754","2,714,902,114","4,150,135,145","1,312,150,863","4,111,643,602"
7. Chi phí tài chính,,,,,,,,"117,166,667",,,,,,,,,,,,,,,,"34,656,667",,,"803,443,078","1,503,711,304","673,694,507","576,757,354","482,720,829","492,408,302","273,470,067","172,757,729","137,733,099","1,497,099",,,,,,,,,,,,,"37,916,667",,,,,,,"2,739,000,000",,"-2,739,000,000",,"16,974,931,623","10,263,453,604","9,793,115,898","8,789,683,134","7,484,903,338","6,623,329,452","6,229,962,429","5,708,318,215","5,373,764,905","4,950,892,052","4,173,683,064","3,513,775,524","3,023,424,657","2,701,232,877","2,468,219,179","2,229,633,752","1,973,424,656","1,688,630,138","1,434,277,871","1,172,789,107","908,096,815"
- Trong đó: Chi phí lãi vay,,,,,,,,"117,166,667",,,,,,,,,,,,,,,,"34,656,667",,,"803,443,078","1,503,711,304","673,694,507","576,757,354","482,720,829","492,408,302","273,470,067","172,757,729","137,733,099","1,497,099",,,,,,,,,,,,,"37,016,667",,,,,,,,,,,"16,974,931,623","10,263,453,604","9,793,115,898","8,789,683,134","7,484,903,338","6,623,329,452","6,229,962,429","5,708,318,215","5,373,764,905","4,950,892,052","4,173,683,064","3,513,775,524","3,023,424,657","2,701,232,877","2,468,219,179","2,229,452,055","1,284,189,627","1,688,630,138","1,418,219,178","965,689,139","906,164,384"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-62,517,264","62,517,264",,"-135,987,049","-4,068,093","-17,244,462","-3,792,119","-186,490,794","107,536,016","-169,904,112","200,591,264","-411,404,456","-296,444,874","-1,434,457,510","-294,764,547","-122,118,188","-205,132,778","-992,297,609"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
