,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167,449,076,963","208,189,894,873","312,034,043,751","408,529,033,681","214,828,611,270","187,987,504,989","133,762,863,310","339,457,665,850","172,128,149,743","524,598,163,276","393,743,392,264","610,790,773,531","484,449,725,445","474,859,214,484","651,019,458,111","1,242,372,451,016","816,372,144,041","914,531,052,509","370,471,202,438","1,010,475,795,567","525,068,489,959","693,275,350,277","683,161,312,795","1,043,307,221,736","314,044,813,042","491,823,591,060","354,732,128,925","626,940,153,208","240,665,401,767","446,297,999,549","213,401,406,062","261,984,616,519"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,006,000","22,528,980","2,138,000",,"768,219,354","3,107,657",,,,,,,"15,000,000","6,095,956","46,675,185",,"3,714,286",,,,,,,,"952,902,547","888,359,705","1,201,636,391","116,609,444","2,196,068,055","149,515,185","137,482,316"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167,449,076,963","208,180,888,873","312,011,514,771","408,526,895,681","214,828,611,270","187,219,285,635","133,759,755,653","339,457,665,850","172,128,149,743","524,598,163,276","393,743,392,264","610,790,773,531","484,449,725,445","474,844,214,484","651,013,362,155","1,242,325,775,831","816,372,144,041","914,527,338,223","370,471,202,438","1,010,475,795,567","525,068,489,959","693,275,350,277","683,161,312,795","1,043,307,221,736","314,044,813,042","490,870,688,513","353,843,769,220","625,738,516,817","240,548,792,323","444,101,931,494","213,251,890,877","261,847,134,203"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,327,699,922","173,954,129,732","262,101,613,960","349,069,040,775","185,467,948,709","148,114,497,258","94,857,261,148","224,771,866,349","129,251,309,699","452,257,437,758","345,047,754,005","490,497,397,453","409,786,865,521","407,333,078,441","543,660,510,691","1,118,811,709,242","722,357,747,178","803,056,677,888","306,430,403,617","899,730,890,239","454,572,511,494","586,219,329,125","586,021,497,609","933,093,251,389","237,745,981,683","420,087,506,983","289,675,064,488","522,915,746,051","169,163,188,079","380,800,699,568","153,111,345,428","219,380,976,027"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,121,377,041","34,226,759,141","49,909,900,811","59,457,854,906","29,360,662,561","39,104,788,377","38,902,494,505","114,685,799,501","42,876,840,044","72,340,725,518","48,695,638,259","120,293,376,078","74,662,859,924","67,511,136,043","107,352,851,464","123,514,066,589","94,014,396,863","111,470,660,335","64,040,798,821","110,744,905,328","70,495,978,465","107,056,021,152","97,139,815,186","110,213,970,347","76,298,831,359","70,783,181,530","64,168,704,732","102,822,770,766","71,385,604,244","63,301,231,926","60,140,545,449","42,466,158,176"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,764,537,932","71,842,305,448","3,941,215,692","78,641,455,524","767,358,378","8,021,895,608","197,564,316","23,252,707","70,620,638","132,889,606","7,549,672,264","32,700,204,254","132,018,142","28,943,720,308","537,918,280","143,980,716,550","34,753,278,630","178,829,732,606","52,947,051,896","108,514,317,717","44,423,583,241","434,963,285,726","66,306,680,723","52,591,246,120","131,263,642,701","113,390,898,794","148,924,436,891","54,454,784,077","52,099,702,351","99,787,616,344","65,770,910,068","67,354,750,538"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,929,150,717","69,806,064,852","2,596,973,044","73,852,270,426","3,977,664,507","7,687,029,107","3,064,497,100","5,256,051,965","3,595,649,302","6,185,910,339","12,002,883,261","16,195,933,490","10,114,366,865","17,447,075,275","16,947,368,129","124,126,250,421","37,244,711,788","125,230,874,517","52,795,778,818","83,870,521,610","12,417,278,089","82,287,771,121","50,398,522,404","196,494,923,714","71,153,054,977","103,688,007,069","89,904,976,412","61,554,159,940","40,565,506,827","91,543,200,345","49,016,715,087","57,205,537,065"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,885,020,989","2,129,133,543","2,590,576,397","2,920,727,652","3,925,399,341","4,054,808,203","3,021,704,748","3,222,105,273","3,595,649,302","6,185,802,961","7,239,118,267","9,541,627,514","8,998,336,430",,"15,672,458,328","108,947,770,602","7,953,204,939","37,756,096,428","12,811,191,396","32,899,916,488","12,417,278,089","68,324,836,815","26,623,023,091","85,737,547,331","55,581,865,914","93,268,262,082","71,395,168,533","48,769,215,781","34,724,111,243","75,260,170,474","47,382,983,545","48,088,828,611"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-28,727,720","497,817,560","-143,539,195","735,402,000","-443,315,619","-764,169,310","-164,030,090","177,584,058","-349,641,565","1,344,512,894","671,135,930","334,547,878","-1,271,100,308","6,222,573,302","-8,766,318,701","35,673,629,782","33,501,297,507","39,510,839,346","56,577,962,850","-1,537,487,482","65,409,103,808","-55,018,347,861","-3,227,992,690","21,985,651,444","-1,037,433,084","1,603,761,701","198,129,318","-1,480,970,687",,"807,043,788","-2,270,603,038","18,396,099,417"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,568,609,850","9,947,467,149","14,492,764,023","20,449,423,883","11,145,421,865","9,703,519,775","12,057,194,128","19,099,689,322","15,394,554,701","15,222,778,938","15,263,081,984","19,506,977,307","32,043,868,204","21,767,722,955","27,718,344,196","27,304,257,055","18,782,943,065","21,029,938,226","12,554,184,288","17,632,640,817","14,615,698,380","22,854,956,141","26,134,883,717","28,399,676,930","22,000,363,380","22,118,295,553","15,811,012,351","22,764,343,341","18,005,363,292","20,206,619,573","15,135,489,060","10,303,013,692"
