,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,"219,788,504,645","164,083,106,720","164,083,106,720",,"202,782,490,756","181,052,317,948","296,113,464,949","325,025,523,403","222,151,567,857","199,250,174,848","311,133,215,647","182,775,361,704","191,319,659,619","74,790,259,694","80,234,319,938","60,040,571,713","74,268,170,814","109,564,923,122","44,259,057,170","59,911,350,039","89,500,356,851","146,842,424,235",,"51,201,002,335",,,"51,881,025,421","31,681,153,498","33,996,319,308","36,256,780,620","158,818,577,818","343,680,249,197","44,919,776,591","43,617,393,637","46,319,673,655","46,058,962,294","51,165,148,497","39,112,481,169","78,631,945,673","54,958,505,673","40,695,165,899","65,868,020,794","44,719,426,253","47,357,990,702","44,657,832,203","46,355,123,434","47,831,627,255","83,659,003,654","88,105,699,189","45,850,456,194","48,466,850,319","72,481,466,415","57,573,306,489","52,124,211,682","49,968,416,448","53,562,926,997","53,592,690,211","52,110,272,401","53,204,834,726",,"56,275,654,136","56,017,533,428"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,"461,683,153","3,630,109","3,630,109",,"22,418,641","68,178,113","533,354",,,,"177,733,941",,"22,500,000",,,,,"75,000,000",,"112,521,543",,,,,,,,,,,,,"11,363,636",,,,,,,,,"840,308,128",,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,"219,326,821,492","164,079,476,611","164,079,476,611",,"202,760,072,115","180,984,139,835","296,112,931,595","325,025,523,403","222,151,567,857","199,250,174,848","310,955,481,706","182,775,361,704","191,297,159,619","74,790,259,694","80,234,319,938","60,040,571,713","74,268,170,814","109,489,923,122","44,259,057,170","59,798,828,496","89,500,356,851","146,842,424,235",,"51,201,002,335",,,"51,881,025,421","31,681,153,498","33,996,319,308","36,256,780,620","158,818,577,818","343,680,249,197","44,908,412,955","43,617,393,637","46,319,673,655","46,058,962,294","51,165,148,497","39,112,481,169","78,631,945,673","54,958,505,673","40,695,165,899","65,027,712,666","44,719,426,253","47,357,990,702","44,657,832,203","46,355,123,434","47,831,627,255","83,659,003,654","88,105,699,189","45,850,456,194","48,466,850,319","72,481,466,415","57,573,306,489","52,124,211,682","49,968,416,448","53,562,926,997","53,592,690,211","52,110,272,401","53,204,834,726",,"56,275,654,136","56,017,533,428"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,"176,155,011,410","127,474,984,444","127,474,984,444",,"161,089,740,287","129,395,620,509","241,046,641,868","211,546,783,467","180,193,415,059","152,486,966,611","206,896,533,493","149,970,803,797","153,990,774,549","37,522,982,355","47,456,193,503","32,073,462,952","38,661,770,021","69,375,780,761","13,564,470,598","26,591,361,540","40,285,831,045","107,641,936,293",,"27,133,684,079",,,"10,161,363,385","9,074,973,437","10,913,824,822","11,292,663,170","112,107,091,870","253,915,884,368","16,146,580,945","15,365,506,935","17,017,581,967","14,803,772,373","11,299,352,235","9,122,087,894","18,896,503,757","13,475,741,640","13,969,291,945","16,848,856,122","12,244,975,843","11,558,365,797","11,908,504,633","12,707,048,785","9,594,338,841","9,386,719,739","42,685,050,080","11,684,032,044","11,279,089,642","11,354,957,532","21,804,966,561","11,000,032,160","11,993,627,626","12,805,737,384","10,738,262,672","12,484,609,742","13,186,766,491",,"20,748,285,179","16,082,544,001"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,"43,171,810,082","36,604,492,167","36,604,492,167",,"41,670,331,828","51,588,519,326","55,066,289,727","113,478,739,936","41,958,152,798","46,763,208,237","104,058,948,213","32,804,557,907","37,306,385,070","37,267,277,339","32,778,126,435","27,967,108,761","35,606,400,793","40,114,142,361","30,694,586,572","33,207,466,956","49,214,525,806","39,200,487,942",,"24,067,318,256",,,"41,719,662,036","22,606,180,061","23,082,494,486","24,964,117,450","46,711,485,948","89,764,364,829","28,761,832,010","28,251,886,702","29,302,091,688","31,255,189,921","39,865,796,262","29,990,393,275","59,735,441,916","41,482,764,033","26,725,873,954","48,178,856,544","32,474,450,410","35,799,624,905","32,749,327,570","33,648,074,649","38,237,288,414","74,272,283,915","45,420,649,109","34,166,424,150","37,187,760,677","61,126,508,883","35,768,339,928","41,124,179,522","37,974,788,822","40,757,189,613","42,854,427,539","39,625,662,659","40,018,068,235",,"35,527,368,957","39,934,989,427"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,"15,633,204,337","7,723,382,854","7,723,382,854",,"6,946,294,004","4,507,635,302","5,452,652,244","9,193,988,540","8,628,659,059","13,319,791,534","11,941,262,299","14,954,148,957","6,610,659,447","13,613,011,454","4,537,200,069","7,890,880,594","3,994,481,146","2,932,526,469","3,135,165,814","8,087,130,292","2,714,707,046","4,969,028,389",,"5,334,814,088",,,"1,801,056,726","7,210,795,875","3,250,698,807","7,929,972,075","3,300,842,958","14,106,349,156","8,082,805,419","8,054,340,362","11,152,736,970","9,691,380,563","3,323,827,148","4,704,994,955","5,632,795,947","5,956,625,650","11,281,570,313","7,873,560,097","8,999,152,738","11,230,357,733","6,705,100,986","9,631,088,123","8,203,412,606","7,089,672,847","12,835,662,051","7,540,447,014","14,656,680,270","12,593,889,332","6,676,858,571","10,496,015,190","7,057,115,987","12,909,242,096","7,257,702,354","12,770,456,312","7,754,384,057",,"8,859,934,183","10,338,226,540"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,"3,833,532,883","3,431,165,896","3,431,165,896",,"2,557,147,001","3,299,205,548","5,733,767,890","7,472,882,860","8,449,469,948","8,958,822,454","7,325,723,447","4,984,013,428","4,236,138,621","3,053,466,905","2,923,216,408","3,078,068,611","2,118,869,228","2,443,995,503","2,065,180,892","2,063,106,993","928,706,208","1,306,588,311",,"-744,952,248",,,"1,190,773,265","864,926,638","109,853,333","521,332,344","336,000","1,605,541,825","-1,665,619,057","618,421,564","25,324,066","596,064,860",,"815,820,485",,"733,457,727","149,300,421","1,029,913,879",,"826,834,022","4,144,000","751,665,831",,"222,321,680","8,338,877,295","849,205,467","358,130,567","765,246,302","5,995,010,565","132,109,763","249,917,200","2,734,443,762","9,741,000","2,189,777,212","4,542,150",,"6,441,450","-568,786,587"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,"3,833,532,883","3,431,165,896","3,431,165,896",,"2,557,147,001","3,299,205,548","5,733,767,890","7,472,882,860","8,449,469,948","8,958,822,454","7,325,723,447","4,984,013,428","4,236,138,621","3,053,466,905","2,923,216,408","3,078,068,611","2,118,869,228","2,443,995,503","2,065,180,892","2,063,106,993","928,706,208","1,306,588,311",,"719,798,316",,,"1,190,773,265","724,382,826","109,853,333","55,439,148","336,000","283,327,710","67,033,652","68,856,986","11,803,750","32,171,007",,,,"187,510,831","149,300,421","380,825,916",,,,,,"19,056,899","239,003,731","448,999,441","358,130,567","552,946,302","193,018,290","203,450,823",,"552,946,302",,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,169,484",,,"2,636,035,000","4,612,705,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,"14,192,287,785","11,390,694,600","11,390,694,600",,"13,623,905,157","11,130,710,480","13,555,800,820","17,575,624,801","17,790,032,570","20,985,293,586","24,982,474,419","19,085,341,150","11,471,362,079","12,459,296,637","7,128,386,007","7,608,620,579","9,534,501,697","10,270,754,127","11,022,928,440","10,374,656,201","11,842,085,811","23,199,015,034",,"7,196,037,090",,,"7,666,586,375","9,123,063,147","8,110,520,486","8,065,580,198","11,906,808,952","20,911,475,671","11,644,258,735","14,185,100,469","10,295,256,968","9,894,464,596","9,638,356,517","14,287,242,152","11,122,161,147","12,831,754,991","9,953,756,707","13,309,397,659","10,526,360,740","9,786,115,614","9,453,855,032","11,858,485,178","8,544,928,347","14,306,013,414","10,797,823,489","11,407,182,711","10,236,396,238","11,705,014,580","12,706,950,758","14,478,161,796","11,256,855,146","10,613,909,633","10,942,842,219","12,583,406,993","11,403,523,221",,"11,270,355,154","10,069,555,907"
