,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,000,853,956","52,140,429,356","50,302,716,122","62,306,311,874","43,820,185,670","149,602,825,672","63,497,523,940","110,547,653,842","84,314,037,689","96,433,677,741","107,539,448,892","104,750,878,061","80,618,029,128","86,024,053,351","48,263,066,978","98,094,509,978","102,646,863,225","158,607,028,812","133,984,207,372","122,675,205,575","160,978,628,942","120,154,280,855","81,418,316,779","83,399,457,411","32,688,066,204","132,346,587,949","110,816,227,276","166,337,478,964","146,466,669,625","143,954,182,376"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,073,159","15,530,000","47,603,159","47,603,159",,"132,190,000",,"44,373,636",,,"477,135,668",
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,000,853,956","52,140,429,356","50,302,716,122","62,306,311,874","43,820,185,670","149,602,825,672","63,497,523,940","110,547,653,842","84,314,037,689","96,433,677,741","107,539,448,892","104,750,878,061","80,618,029,128","86,024,053,351","48,263,066,978","98,094,509,978","102,646,863,225","158,607,028,812","133,952,134,213","122,659,675,575","160,931,025,783","120,106,677,696","81,418,316,779","83,267,267,411","32,688,066,204","132,302,214,313","110,816,227,276","166,337,478,964","145,989,533,957","143,954,182,376"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,653,630,538","41,779,370,298","40,009,680,459","54,602,306,337","36,377,886,660","143,351,856,494","58,826,603,214","106,493,710,518","78,527,124,285","87,709,681,333","99,915,718,340","97,328,158,161","69,292,416,577","79,261,065,927","44,418,084,326","88,865,924,711","95,743,134,486","145,988,239,049","122,192,103,823","114,715,410,770","152,344,028,824","110,088,427,015","76,749,339,038","78,604,496,098","28,922,176,511","124,453,180,466","102,963,315,789","153,299,227,938","135,000,658,382","131,545,681,483"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,347,223,418","10,361,059,058","10,293,035,663","7,704,005,537","7,442,299,010","6,250,969,178","4,670,920,726","4,053,943,324","5,786,913,404","8,723,996,408","7,623,730,552","7,422,719,900","11,325,612,551","6,762,987,424","3,844,982,652","9,228,585,267","6,903,728,739","12,618,789,763","11,760,030,390","7,944,264,805","8,586,996,959","10,018,250,681","4,668,977,741","4,662,771,313","3,765,889,693","7,849,033,847","7,852,911,487","13,038,251,026","10,988,875,575","12,408,500,893"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"902,896,924","60,912,443","93,249,433","644,609,914","934,282,459","2,088,363,897","1,100,297,893","430,116","217,572,319","-202,351,843","61,291,188","490,617,606","315,808,098","94,093,580","1,963,030,315","-582,338,616","294,073,048","248,846,929","660,607,351","422,690,389","462,095,173","141,887,366","523,138,728","2,400,585,088","1,813,939,252","1,795,943,041","845,694,451","1,088,117,122","750,697,728","598,942,278"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"553,342,948","35,158,869","461,752,071","1,206,416,795","1,578,769,791","3,278,137,490","1,773,261,576","908,903,483","1,285,227,482","1,707,688,400","1,892,673,792","2,660,241,732","1,494,389,872","2,115,376,807","3,260,469,592","293,597,977","1,403,388,351","1,558,077,004","1,605,213,212","1,822,935,439","1,810,911,297","2,212,683,961","2,162,124,774","2,096,376,119","3,304,134,486","2,171,859,494","2,871,585,428","3,215,201,570","2,375,438,089","1,928,211,165"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"379,999,281",,"461,752,071","1,206,416,795","1,175,800,566","3,278,137,490","1,773,261,576","908,903,483","1,285,227,482","1,707,688,400","1,892,673,792",,,,,"511,773,980","1,403,388,351","1,558,077,004","1,595,705,953","1,822,935,439","1,809,177,303","2,213,122,319","2,162,124,774","2,096,376,119","3,304,134,486","2,257,816,972","2,871,585,428","3,215,201,570","2,375,438,089","1,796,311,336"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,027,914","40,221,531","7,222,337",,"13,188,920","16,750,320","5,266,991",,"5,266,991","37,501,155","-86,358,510","97,836,363","-46,700,755","-12,947,886","287,935,787",,"22,193,125","17,356,294","2,866,047","8,135,533","4,018,357","36,067,246",,,,,"-2,792,234","-12,496",,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,043,408",,"1,052,768,527","290,443,023","392,126,460","1,661,764,538","3,337,737,246","3,248,204,261","74,244,228","875,527,614","157,301,778","1,232,857,186","1,605,452,269","2,444,355,299","2,534,235,940","4,272,704,231"
