,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,"47,900,145,527","55,200,901,108",,,"59,207,568,709","55,826,526,516","27,424,368,209","34,589,005,118","57,992,888,608","61,778,026,827","37,794,858,302","58,211,132,883","62,947,037,673","50,451,408,415","29,858,786,279","37,122,542,282","54,015,208,236","60,159,066,663","81,732,240,247","9,025,935,182","36,879,398,138","17,089,438,905","61,195,618,603","57,851,020,248","45,157,026,402","26,884,674,158","21,688,882,693","51,783,438,799","22,530,322,856","46,044,995,719","5,609,223,848","25,255,437,098","17,764,237,685","15,244,293,018","15,250,715,900","24,666,345,286","24,631,813,016","18,852,459,125","14,508,281,620","11,988,510,800","10,556,548,125","21,668,028,275","9,956,415,471","15,961,278,970","22,346,356,449","28,270,514,850","10,308,565,879","22,858,262,022","16,240,075,506","19,394,135,716","5,915,299,185","20,650,619,435","5,857,701,510","27,121,162,832","12,161,824,835","17,448,108,567","8,859,904,890","15,115,879,270","14,901,339,703","11,432,719,325","12,114,792,300","31,742,008,500","14,748,479,700","33,204,754,288","20,753,045,860","28,651,547,899","45,561,310,610","25,703,112,583","26,742,534,074","32,732,810,496","39,484,401,756",,"39,453,598,882","42,614,934,053"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,"3,065,334",,,"16,684,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,"47,900,145,527","55,200,901,108",,,"59,207,568,709","55,826,526,516","27,421,302,875","34,589,005,118","57,992,888,608","61,761,342,721","37,794,858,302","58,211,132,883","62,947,037,673","50,451,408,415","29,858,786,279","37,122,542,282","54,015,208,236","60,159,066,663","81,732,240,247","9,025,935,182","36,879,398,138","17,089,438,905","61,195,618,603","57,851,020,248","45,157,026,402","26,884,674,158","21,688,882,693","51,783,438,799","22,530,322,856","46,044,995,719","5,609,223,848","25,255,437,098","17,764,237,685","15,244,293,018","15,250,715,900","24,666,345,286","24,631,813,016","18,852,459,125","14,508,281,620","11,988,510,800","10,556,548,125","21,668,028,275","9,956,415,471","15,961,278,970","22,346,356,449","28,270,514,850","10,308,565,879","22,858,262,022","16,240,075,506","19,394,135,716","5,915,299,185","20,650,619,435","5,857,701,510","27,121,162,832","12,161,824,835","17,448,108,567","8,859,904,890","15,115,879,270","14,901,339,703","11,432,719,325","12,114,792,300","31,742,008,500","14,748,479,700","33,204,754,288","20,753,045,860","28,651,547,899","45,561,310,610","25,703,112,583","26,742,534,074","32,732,810,496","39,484,401,756",,"39,453,598,882","42,614,934,053"
4. Giá vốn hàng bán,,,,,,,"34,604,891,203","35,153,471,051",,,"41,086,777,869","37,775,165,905","19,941,814,310","28,192,741,496","49,544,738,406","70,503,208,355","27,646,782,555","44,698,859,467","51,840,329,140","36,107,089,935","15,354,657,837","29,458,933,124","39,803,964,511","34,470,095,729","29,846,056,273","8,480,109,585","21,997,404,934","13,904,086,010","36,309,683,924","36,167,287,687","39,635,092,582","23,934,617,338","18,196,868,647","45,482,366,168","19,597,013,098","42,549,227,207","4,965,293,028","24,287,478,629","17,388,836,993","16,543,712,309","14,858,527,150","24,230,730,331","25,526,965,771","20,287,990,308","12,951,836,751","11,319,314,959","10,829,210,191","20,849,806,684","6,761,299,815","12,406,817,344","19,373,680,082","23,235,638,342","8,329,249,072","18,817,332,313","15,569,723,028","18,445,731,634","5,280,725,439","17,826,505,572","5,249,244,677","26,488,204,156","10,783,350,543","18,050,716,212","7,920,902,358","12,056,743,570","11,682,736,507","9,597,286,181","10,928,509,992","24,822,764,954","11,182,957,758","24,412,063,123","17,265,056,412","22,434,584,572","39,384,744,398","20,962,938,181","23,309,525,072","25,368,201,805","33,388,953,250",,"26,946,590,793","27,308,559,787"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,"13,295,254,324","20,047,430,057",,,"18,120,790,840","18,051,360,611","7,479,488,565","6,396,263,622","8,448,150,202","-8,741,865,634","10,148,075,747","13,512,273,416","11,106,708,533","14,344,318,480","14,504,128,442","7,663,609,158","14,211,243,725","25,688,970,934","51,886,183,974","545,825,597","14,881,993,204","3,185,352,895","24,885,934,679","21,683,732,561","5,521,933,820","2,950,056,820","3,492,014,046","6,301,072,631","2,933,309,758","3,495,768,512","643,930,820","967,958,469","375,400,692","-1,299,419,291","392,188,750","435,614,955","-895,152,755","-1,435,531,183","1,556,444,869","669,195,841","-272,662,066","818,221,591","3,195,115,656","3,554,461,626","2,972,676,367","5,034,876,508","1,979,316,807","4,040,929,709","670,352,478","948,404,082","634,573,746","2,824,113,863","608,456,833","632,958,676","1,378,474,292","-602,607,645","939,002,532","3,059,135,700","3,218,603,196","1,835,433,144","1,186,282,308","6,919,243,546","3,565,521,942","8,792,691,165","3,487,989,448","6,216,963,327","6,176,566,212","4,740,174,402","3,433,009,002","7,364,608,691","6,095,448,506",,"12,507,008,089","15,306,374,266"
6. Doanh thu hoạt động tài chính,,,,,,,"1,080,733,782","1,433,835,379",,,"398,296,626","662,293,052","258,689,249","933,367,101","371,284,001","1,503,601,544","89,576,035","1,660,415,595","871,753,223","648,576,397","1,479,311,156","2,195,767,396","1,248,215,113","2,376,736,330","3,228,410,912","4,337,886,041","2,848,016,697","7,920,627,140","3,933,285,512","5,089,186,375","3,640,485,260","7,080,710,613","3,574,191,844","3,388,220,622","5,895,417,267","2,099,274,510","1,071,231,452","6,809,736,872","1,068,261,446","1,702,284,571","717,237,558","1,685,405,708","1,616,176,654","2,006,173,100","1,028,239,214","19,617,869,354","1,771,944,343","2,586,862,975","1,106,940,367","17,285,869,049","1,036,648,829","2,755,550,482","2,082,265,154","17,673,160,166","664,758,908","3,865,555,660","2,388,749,939","36,135,144,018","2,770,999,275","2,766,306,520","25,439,572,959","21,576,689,097","3,346,569,588","2,847,528,545","5,786,869,765","16,748,212,093","12,138,931,272","2,604,132,580","2,180,516,569","26,090,307,113","2,293,336,950","2,327,860,318","2,339,078,223","15,400,951,471","3,412,728,713","3,002,905,366","2,569,220,998",,"1,457,099,536","1,681,097,784"
7. Chi phí tài chính,,,,,,,,,,,"34,776,900",,,,,,,,"19,583,861","-257,865",,"104,632,763","85,353,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,150,685",,,"59,983,562",,,,,,,,,,,,"14,190,712","364,668,493","99,087,672",,"2,025,205",,,,
- Trong đó: Chi phí lãi vay,,,,,,,,,,,"34,776,900",,,,,,,,"19,583,861","-257,865",,"104,632,763","85,353,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-39,286,464",,"-61,176,908","-33,428,241","-101,519,877","-198,132,727","-3,870,000",,"-15,334,000",,,,,"-9,375,000","-4,148,000",,"-69,091,823",,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,"271,947,778","526,050,358",,,"189,159,094","635,767,076","130,629,198","170,189,857","473,867,849","494,490,260","98,095,843","441,550,559","253,545,941","133,908,120","38,706,401","44,006,166","44,601,509","680,026,350","96,375,625","36,269,898","36,338,377","23,966,659","28,975,586","65,248,734","38,801,475","116,459,978","30,265,165","48,788,572","50,249,498","113,095,648","19,586,609","74,309,134","16,243,405","10,895,876","10,800,000","28,942,680","1,840,000","1,800,000","12,800,000","21,061,220","10,900,000","10,342,800","7,547,471","14,650,887","2,062,386,611","48,816,291","1,930,803,203","2,593,209,616","2,143,099,526","3,779,837,040","1,350,053,994","44,119,182","1,116,516,039","27,120,000","11,935,000","10,545,000","11,860,000","5,787,097,894","1,409,915,136","248,397,117","1,049,119,614","486,001,657","456,815,309","416,380,785","967,637,381","861,735,174","698,151,374","532,597,741","188,562,251","402,727,880","2,114,360,994",,"1,114,477,992","2,211,306,033"
