,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,937,963,104","54,138,397,800","91,324,421,839","88,740,907,158","101,620,952,728","75,535,024,185","109,008,464,549","123,948,794,657","103,749,804,674","88,908,232,533","118,595,118,766","130,526,109,754","125,233,186,472","106,120,492,297","123,464,416,102","186,193,360,855","116,170,631,207","92,484,754,753","130,002,262,620","109,940,029,504","110,722,324,179"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,937,963,104","54,138,397,800","91,324,421,839","88,740,907,158","101,620,952,728","75,535,024,185","109,008,464,549","123,948,794,657","103,749,804,674","88,908,232,533","118,595,118,766","130,526,109,754","125,233,186,472","106,120,492,297","123,464,416,102","186,193,360,855","116,170,631,207","92,484,754,753","130,002,262,620","109,940,029,504","110,722,324,179"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,642,239,312","27,810,503,153","53,102,460,150","44,779,293,432","53,300,217,028","43,580,392,852","55,685,313,616","47,642,650,751","54,830,708,966","57,407,572,301","60,702,581,063","68,969,360,800","65,876,380,269","61,969,783,514","64,686,831,165","120,333,524,635","66,030,563,637","65,376,272,756","76,408,226,960","83,868,263,431","93,583,296,742"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,295,723,792","26,327,894,647","38,221,961,689","43,961,613,726","48,320,735,700","31,954,631,333","53,323,150,933","76,306,143,906","48,919,095,708","31,500,660,232","57,892,537,703","61,556,748,954","59,356,806,203","44,150,708,783","58,777,584,937","65,859,836,220","50,140,067,570","27,108,481,997","53,594,035,660","26,071,766,073","17,139,027,437"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,241,091","1,531,332","546,268","1,149,560","4,718,759","1,423,382","1,881,668","3,115,880","5,340,042","6,407,414","4,243,723","5,640,844","7,667,458","13,046,142","72,843,539","981,623,533","799,413,489","26,214,557","12,993,123","9,976,673","31,814,309"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,770,155,273","5,242,410,336","4,202,141,112","6,667,336,834","11,035,217,914","11,790,695,073","9,580,016,765","10,570,670,467","10,062,436,625","9,997,327,993","9,932,361,149","8,764,940,944","7,877,190,073","9,339,756,721","9,116,739,050","4,536,625,284","3,092,155,534","3,666,165,180","3,649,772,939","3,807,257,932","6,765,860,743"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,242,410,336","4,202,141,112","6,667,336,834","10,851,577,914","11,563,775,073","9,353,096,765","10,343,750,467","9,835,516,625","9,770,407,993","9,705,441,149","8,764,940,944","7,877,190,073","9,339,756,721","9,116,739,050","4,536,625,284","3,092,155,534","3,666,165,180","3,649,772,939","3,807,257,932","6,765,860,743"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"650,187,128","880,649,807","694,305,930","795,169,411"
