,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,"243,165,876,281","311,547,374,555",,,"348,128,881,852","386,420,815,908","422,622,084,205","299,445,496,659","396,329,172,851","467,629,134,860","392,756,762,589","459,966,455,275",,"735,504,981,935","427,307,412,476","438,219,675,250","605,579,558,762","870,271,026,902","457,135,504,122","790,799,373,118","732,404,420,510","1,065,705,929,985","481,218,685,330","650,103,861,114","669,941,867,211","1,293,475,304,148","476,246,227,889","775,906,002,041","834,256,147,462","1,307,512,612,443","427,274,349,331","894,303,099,268","794,670,847,006","1,223,997,268,761","736,308,602,328","745,029,458,180","805,482,103,183","1,168,036,809,871","485,081,629,702","762,392,091,340","767,989,502,835","1,087,366,143,728","483,424,733,868","669,240,088,140","800,112,110,722","949,678,442,051","399,558,191,708","406,473,407,066","402,925,351,328","1,010,124,771,976","426,266,344,909","528,987,576,155","547,947,268,388","710,459,553,505","444,989,219,454","564,228,507,375","549,355,051,072","813,880,876,547","487,080,893,554",,"609,557,876,741","892,741,204,790"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,"34,503,587","356,626,968",,,"27,807,090","30,714,267","167,321,089","76,949,752","166,618,958","42,575,024","389,133,491","15,333,327,037",,"7,176,841,388","10,826,957,784","11,443,913,955","12,459,799,401","7,977,883,116","5,667,999,717","25,080,927,865","22,531,718,488","18,965,436,801","8,748,450,021","34,479,128,135","21,461,701,740","30,525,232,657","32,107,538,866","23,025,334,333","15,540,316,199","13,524,313,221","7,868,977,722","43,113,672,057","12,960,548,137","27,457,780,573","9,655,540,646","6,054,341,230","3,354,964,323","856,836,934","336,828,379","399,467,657","4,528,157,693","119,186,160","135,259,117","399,007,051","116,975,503","511,475,761","620,833,638","820,366,502","363,710,715","367,061,019","192,096,487","1,183,233,994","2,410,727,336","1,474,092,256","5,588,356,151","9,596,225,400","1,810,513,364","2,937,605,471","3,469,215,566",,"4,249,256,747","3,789,082,384"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,"243,131,372,694","311,190,747,587",,,"348,101,074,762","386,390,101,641","422,454,763,116","299,368,546,907","396,162,553,893","467,586,559,836","392,367,629,098","444,633,128,238",,"728,328,140,547","416,480,454,692","426,775,761,295","593,119,759,361","862,293,143,786","451,467,504,405","765,718,445,253","709,872,702,022","1,046,740,493,184","472,470,235,309","615,624,732,979","648,480,165,471","1,262,950,071,491","444,138,689,023","752,880,667,708","818,715,831,263","1,293,988,299,222","419,405,371,609","851,189,427,211","781,710,298,869","1,196,539,488,188","726,653,061,682","738,975,116,950","802,127,138,860","1,167,179,972,937","484,744,801,323","761,992,623,683","763,461,345,142","1,087,246,957,568","483,289,474,751","668,841,081,089","799,995,135,219","949,166,966,290","398,937,358,070","405,653,040,564","402,561,640,613","1,009,757,710,957","426,074,248,422","527,804,342,161","545,536,541,052","708,985,461,249","439,400,863,303","554,632,281,975","547,544,537,708","810,943,271,076","483,611,677,988",,"605,308,619,994","888,952,122,406"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,"177,929,222,786","236,643,005,039",,,"276,291,174,564","303,693,756,302","311,935,984,007","221,488,252,844","302,747,911,784","354,913,385,343","297,612,875,837","325,905,332,038",,"503,186,790,133","307,352,789,298","308,917,208,951","418,396,039,306","579,011,299,633","285,770,942,692","503,676,124,767","454,405,482,462","665,622,059,130","380,199,665,149","366,683,789,118","419,379,914,871","817,899,950,090","316,863,801,263","504,808,081,637","500,883,787,299","789,379,147,391","278,838,273,545","530,147,967,387","479,410,514,003","741,224,976,389","529,087,736,163","547,683,236,484","620,656,315,682","886,182,145,362","342,173,630,693","553,163,535,736","564,126,141,584","773,508,785,516","344,271,946,858","472,923,415,882","546,510,680,736","647,251,336,739","298,658,684,958","306,268,986,064","310,609,369,175","745,898,659,382","308,287,962,190","385,914,025,406","449,000,858,173","575,759,172,929","355,861,978,472","413,437,084,270","422,695,283,363","645,905,645,882","391,692,477,649",,"493,625,813,007","697,229,334,822"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,"65,202,149,908","74,547,742,548",,,"71,809,900,198","82,696,345,339","110,518,779,109","77,880,294,063","93,414,642,109","112,673,174,493","94,754,753,261","118,727,796,200",,"225,141,350,414","109,127,665,394","117,858,552,344","174,723,720,055","283,281,844,153","165,696,561,713","262,042,320,486","255,467,219,560","381,118,434,054","92,270,570,160","248,940,943,861","229,100,250,600","445,050,121,401","127,274,887,760","248,072,586,071","317,832,043,964","504,609,151,831","140,567,098,064","321,041,459,824","302,299,784,866","455,314,511,799","197,565,325,519","191,291,880,466","181,470,823,178","280,997,827,575","142,571,170,630","208,829,087,947","199,335,203,558","313,738,172,052","139,017,527,893","195,917,665,207","253,484,454,483","301,915,629,551","100,278,673,112","99,384,054,500","91,952,271,438","263,859,051,575","117,786,286,232","141,890,316,755","96,535,682,879","133,226,288,320","83,538,884,831","141,195,197,705","124,849,254,345","165,037,625,194","91,919,200,339",,"111,682,806,987","191,722,787,584"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,"3,688,882,524","5,983,531,451",,,"7,981,683,000","7,342,884,161","10,137,955,179","5,415,456,515","7,977,270,992","9,962,408,983","4,977,033,991","3,840,002,014",,"4,992,361,457","3,075,793,991","2,723,255,616","2,367,699,415","8,827,659,462","20,216,018,291","16,367,638,896","12,817,831,322","11,133,023,103","12,890,242,210","10,704,715,960","11,868,232,917","12,727,284,398","14,579,666,111","19,496,073,274","18,503,588,811","20,178,785,274","19,432,297,085","20,123,793,907","23,079,165,311","29,337,843,725","13,425,459,872","5,813,075,492","7,304,889,274","6,517,226,407","2,767,314,800","1,827,495,967","3,595,178,848","2,324,030,954","8,118,412,722","15,757,313,102","21,467,012,096","20,422,710,771","16,322,748,644","16,006,471,968","16,236,989,233","14,315,252,505","10,000,005,984","9,357,869,158","10,402,191,393","13,486,374,254","16,980,633,144","19,381,123,699","24,683,772,183","29,161,154,783","27,631,029,591",,"25,170,988,574","22,412,816,150"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,"108,972,456","1,441,967,959",,,"32,500,000","1,937,955,461","245,801,337","232,791,666","17,709,333","3,050,724,383","508,800,000",,,,,,"128,805,460",,,"2,946,771,301",,"4,616,252,996","8,052,414,680","10,933,734,134","88,052,084","5,844,588,239","2,801,834,605","2,516,194,941","4,943,723,830","3,243,504,441","1,652,127,110","2,831,626,409","3,036,506,710","4,618,208,827","4,353,124,514","3,420,310,337","4,934,482,402","5,691,315,318","7,278,130,157","4,269,700,992","4,040,026,084","5,035,362,236","8,830,731,178","6,457,199,200","2,907,772,810","2,187,801,007","1,833,392,233","1,178,097,879","808,522,314","1,732,893,985","2,350,356,265","1,107,665,290","2,052,574,930","5,305,709,930","3,447,945,162","1,668,707,532","2,017,777,585","2,751,654,587","1,294,972,934",,"2,826,558,983","2,355,900,246"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,"108,972,456","1,441,967,959",,,"32,500,000","1,937,955,461","245,801,337","232,791,666","17,709,333","3,050,724,383","508,800,000",,,,,,"128,805,460",,,"2,946,771,301",,"4,616,252,996","4,850,502,572","1,872,573,051",,"2,561,173,500","2,017,582,222",,,"2,889,251,463","1,250,069,253",,"2,990,264,855","4,600,126,401","4,324,658,712","3,403,019,978","4,759,437,590","5,591,420,897","6,901,779,447","4,203,013,342","3,644,298,705","4,513,675,361","4,084,250,901","3,810,322,961","2,901,227,810","2,142,736,490","1,740,290,065","1,443,756,990","688,755,561","1,492,528,348","2,102,071,557","1,028,754,196","1,544,748,998","1,921,580,397","3,170,950,803","1,665,903,925","1,725,044,940","2,367,195,317","1,139,739,446",,"2,040,427,346","2,006,334,746"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,"20,732,592,143","28,333,282,155",,,"26,759,395,625","30,637,422,700","30,476,862,043","25,706,489,934","53,538,561,738","58,989,679,245","40,338,161,396","53,767,837,750",,"61,629,322,539","68,262,550,336","101,918,138,971","104,158,094,914","115,926,476,638","88,322,687,665","193,861,318,882","158,882,459,941","162,260,267,058","78,787,995,847","198,015,824,595","167,717,354,354","206,263,205,074","122,991,773,943","185,341,871,111","183,377,299,013","216,748,144,020","167,439,323,598","231,673,022,403","136,406,218,061","187,511,314,416","19,616,442,107","4,981,452,881","11,314,696,591","7,585,403,355","4,845,215,629","5,013,767,147","2,399,843,985","4,959,445,322","1,952,938,853","1,156,443,660","2,038,380,622","1,752,508,215","6,315,287,448","1,807,185,246","1,118,095,470","6,440,055,137","2,961,799,363","2,717,867,639","4,693,978,378","1,954,487,228","784,693,209","1,349,078,827","802,479,152","5,172,170,258","1,434,935,993",,"1,526,906,462","7,354,068,973"
