,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,"3,148,839,896,557","2,912,457,828,794","3,230,541,158,334","2,110,784,094,895","3,248,798,199,748","2,379,148,556,215","5,410,342,807,466","2,836,109,240,898","3,153,324,845,351","3,771,067,742,859","6,387,447,794,628","2,598,457,042,805","3,376,396,555,348","3,800,941,655,851","5,551,502,222,921","2,636,714,166,515","2,971,964,074,907","2,229,392,542,638","4,983,906,511,670","2,524,222,068,105","2,295,321,787,736","2,719,025,235,265","2,932,195,133,413","1,588,772,854,141","1,569,908,676,997","2,350,950,495,890","2,844,724,563,278","1,493,211,028,928","1,964,039,067,473","2,009,947,203,609","2,878,409,786,789","1,239,461,265,225","2,034,651,146,996","2,372,836,323,222","3,004,910,746,126","2,041,266,496,193","2,399,143,197,204","2,435,540,703,763","4,389,752,713,327","1,764,739,678,224","2,588,471,831,610","2,221,910,040,459","3,340,600,907,500","1,660,972,990,757","2,300,077,949,212","2,294,962,472,747","3,612,946,746,149","1,000,504,935,847","1,589,855,626,420","1,270,011,597,607","1,692,163,687,470","952,020,814,871","1,408,647,165,808",,"2,133,418,244,988","1,333,139,849,458","2,172,622,299,609",,"1,929,356,983,956","1,965,138,074,948","4,566,852,927,000","2,381,678,187,981","3,789,517,752,175","2,655,815,894,059","2,799,543,462,064","2,675,285,873,620","4,733,925,536,140"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,"6,476,070,162","3,330,887,792","7,155,602,321","3,599,766,420","8,361,024,700","5,823,636,725","12,210,022,843","7,388,771,516","15,959,735,095","17,908,028,623","36,540,529,825","15,206,672,400","13,386,334,437","11,675,462,201","19,001,142,136","18,539,468,772","23,399,194,904","11,713,670,501","26,867,780,383","17,337,666,090","22,337,964,461","18,301,996,601","10,329,515,939","882,053,722","313,908,341","292,510,875","-219,057,014","234,644,878",,"156,776,599","-157,445,410","535,345,087","18,597,813",,"120,259,062","186,609,031","31,741,425","29,636,364","35,809,403",,"6,818,182",,"19,636,364","326,824,199","2,927,142,061","1,299,009,308","1,639,225,873",,,"67,404,545","82,717,168","85,580,801","156,435,883",,"1,359,860,802","52,004,111","50,199,461",,,,,,,"5,976,603,534",,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,"3,142,363,826,395","2,909,126,941,002","3,223,385,556,013","2,107,184,328,475","3,240,437,175,048","2,373,324,919,490","5,398,132,784,623","2,828,720,469,382","3,137,365,110,256","3,753,159,714,236","6,350,907,264,803","2,583,250,370,405","3,363,010,220,911","3,789,266,193,650","5,532,501,080,785","2,618,174,697,743","2,948,564,880,003","2,217,678,872,137","4,957,038,731,287","2,506,884,402,015","2,272,983,823,275","2,700,723,238,664","2,921,865,617,474","1,587,890,800,419","1,569,594,768,656","2,350,657,985,015","2,844,943,620,292","1,492,976,384,050","1,964,039,067,473","2,009,790,427,010","2,878,567,232,199","1,238,925,920,138","2,034,632,549,183","2,372,836,323,222","3,004,790,487,064","2,041,079,887,162","2,399,111,455,779","2,435,511,067,399","4,389,716,903,924","1,764,739,678,224","2,588,465,013,428","2,221,910,040,459","3,340,581,271,136","1,660,646,166,558","2,297,150,807,151","2,293,663,463,439","3,611,307,520,276","1,000,504,935,847","1,589,855,626,420","1,269,944,193,062","1,692,080,970,302","951,935,234,070","1,408,490,729,925",,"2,132,058,384,186","1,333,087,845,347","2,172,572,100,148",,"1,929,356,983,956","1,965,138,074,948","4,566,852,927,000","2,381,678,187,981","3,789,517,752,175","2,649,839,290,525","2,799,543,462,064","2,675,285,873,620","4,733,925,536,140"
4. Giá vốn hàng bán,,,,,,,,,,,,,,"2,767,492,442,561","2,616,011,790,271","3,089,406,270,021","1,857,268,464,838","2,852,044,407,271","2,028,966,811,452","4,661,863,461,754","2,399,649,720,501","2,482,405,743,837","3,236,483,686,010","5,785,598,969,466","2,248,920,283,538","2,885,933,431,888","3,220,821,913,984","4,533,133,292,011","2,188,859,935,005","2,441,780,113,656","1,886,342,267,860","4,469,226,972,738","2,169,984,825,995","1,936,025,482,857","2,334,197,260,061","2,460,838,652,773","1,388,344,716,644","1,324,846,838,427","2,106,441,092,574","2,539,299,806,453","1,267,962,161,125","1,697,530,074,183","1,692,819,714,990","2,487,391,593,650","994,740,480,290","1,737,062,654,822","2,017,633,820,833","2,565,154,440,020","1,750,267,191,304","2,034,085,645,043","2,116,959,036,594","3,482,468,077,658","1,576,717,302,806","2,326,472,163,085","1,914,350,996,145","2,893,751,053,929","1,462,485,575,659","2,013,553,996,784","1,867,443,113,402","3,209,932,038,390","893,899,052,583","1,404,787,325,923","984,524,813,865","1,429,336,631,621","797,910,652,844","1,223,706,740,072",,"1,889,711,997,821","1,167,692,005,362","1,861,976,617,174",,"1,553,851,193,702","1,650,296,680,043","4,136,823,683,813","2,318,482,603,835","3,498,329,969,197","1,895,493,044,331","2,459,857,580,275","2,283,999,574,491","4,201,407,701,763"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,"374,871,383,834","293,115,150,731","133,979,285,992","249,915,863,637","388,392,767,777","344,358,108,038","736,269,322,869","429,070,748,881","654,959,366,419","516,676,028,226","565,308,295,337","334,330,086,867","477,076,789,023","568,444,279,666","999,367,788,774","429,314,762,737","506,784,766,347","331,336,604,277","487,811,758,549","336,899,576,021","336,958,340,417","366,525,978,603","461,026,964,701","199,546,083,775","244,747,930,229","244,216,892,441","305,643,813,839","225,014,222,925","266,508,993,290","316,970,712,020","391,175,638,549","244,185,439,848","297,569,894,361","355,202,502,389","439,636,047,044","290,812,695,858","365,025,810,736","318,552,030,805","907,248,826,266","188,022,375,418","261,992,850,343","307,559,044,314","446,830,217,207","198,160,590,899","283,596,810,367","426,220,350,037","401,375,481,886","106,605,883,264","185,068,300,497","285,419,379,197","262,744,338,681","154,024,581,226","184,783,989,853",,"242,346,386,365","165,395,839,985","310,595,482,974",,"375,505,790,254","314,841,394,905","430,029,243,187","63,195,584,146","291,187,782,978","754,346,246,194","339,685,881,789","391,286,299,129","532,517,834,377"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,"124,954,051,209","121,557,476,665","130,538,378,336","36,324,345,801","54,301,167,048","190,721,795,709","63,954,296,407","137,712,240,220","127,208,813,417","339,308,381,089","251,689,396,705","347,836,210,694","180,353,200,988","228,138,012,937","30,815,750,609","149,477,952,867","188,627,447,985","180,841,936,344","149,368,676,492","175,025,284,512","68,226,768,771","59,327,434,896","175,846,397,841","24,611,553,984","57,829,025,160","53,027,835,563","45,069,543,878","67,937,305,916","71,570,817,890","125,950,944,179","39,220,711,434","33,561,031,111","41,883,128,661","37,747,480,918","85,171,085,656","50,708,478,467","42,859,049,840","124,122,045,409","688,028,497,797","54,403,534,954","59,832,908,123","54,453,343,848","84,302,745,508","43,860,458,881","52,845,165,255","68,934,127,242","81,831,882,721","678,333,378,462","47,301,668,972","2,185,280,435,811","139,687,711,191","496,463,856,817","-296,924,989,450",,"220,759,123,601","736,519,307,887","164,911,967,155",,"78,060,734,778","92,919,351,287","119,252,624,701","44,661,879,378","97,952,272,845","70,664,807,981","55,317,799,562","40,570,814,953","211,676,589,174"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,"324,366,428,536",,"203,747,176,801","194,012,336,754","282,743,618,883","223,102,387,030","317,710,588,684","49,435,982,504","555,733,290,617","169,886,073,475","273,494,103,865","268,500,802,784","194,024,220,719","280,980,951,602","174,367,957,434","172,084,276,360","111,890,406,572","211,033,831,627","62,785,493,934","55,712,321,870","47,403,465,618","55,882,458,508","95,020,603,517","92,510,404,681","100,224,939,819","112,625,027,907","79,359,140,238","76,301,962,762","81,624,446,616","72,261,546,097","70,657,290,545","74,075,837,192","73,886,059,461","113,186,102,934","66,587,594,567","82,258,585,252","70,494,938,998","70,628,906,185","70,128,309,542","62,862,086,506","97,897,103,927","82,224,004,651","89,185,627,745","74,908,988,711","72,689,163,200","49,927,605,597","52,443,807,040","53,225,022,339",,"198,927,596,084","196,553,443,447","196,948,264,765",,"199,032,733,026","226,849,224,058","245,132,994,344","159,033,585,906","179,268,752,699","134,762,231,118","101,389,726,243","99,087,803,927","108,422,230,377"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,"324,366,428,536",,"203,747,176,801","194,012,336,754","282,743,618,883","223,102,387,030","317,710,588,684","49,435,982,504","555,733,290,617","169,886,073,475","273,494,103,865","268,500,802,784","194,024,220,719","280,980,951,602","174,367,957,434","172,084,276,360","111,890,406,572","211,033,831,627","62,785,493,934","55,712,321,870","47,403,465,618","55,882,458,508","83,320,198,724","74,040,613,834","81,414,630,532","82,696,448,728","65,454,456,463","76,431,224,847","77,366,449,428","75,691,402,168","71,271,474,327","73,574,449,597","79,122,236,336","112,543,549,966","66,121,173,590","69,501,307,793","68,110,292,432","73,314,623,058","61,169,969,027","61,210,681,324","61,731,499,251","171,518,661,556","87,556,387,912","56,614,691,339","55,158,129,801","53,793,869,143","49,708,929,758","76,477,765,632",,"195,158,986,496","192,973,378,410","193,092,178,918",,"190,076,405,527","217,535,605,282","213,316,618,472","158,309,999,235","171,652,831,509","134,299,972,810","103,782,267,413","96,209,724,372",
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,218,786,862","-15,495,056,630","-75,982,489,223","-90,937,930,847","10,122,465,124","27,432,881,682","20,903,040,490","-28,977,315,447","6,844,910,962","36,580,038,283","47,519,141,630","25,129,065,303","20,633,344,250","28,705,908,846","10,522,103,520","34,839,705,280","38,838,751,151","36,832,935,110","39,354,225,166","22,877,291,659","716,308,651","22,223,365,015","10,797,584,113","13,652,280,360","-9,907,362,387","22,371,556,002",,"21,158,598,739","-13,830,324,960","1,582,718,167",,"-9,243,056,642","-38,917,165,552","-12,230,175,040","-35,485,922,524","-26,108,502,108","-22,094,076,132","-17,932,980,674","-15,607,385,389","-18,780,009,369"
9. Chi phí bán hàng,,,,,,,,,,,,,,"41,935,841,534","26,704,329,672","34,285,512,368","52,214,710,508","92,833,216,303","88,999,387,056","127,831,766,012","93,592,704,405","172,932,442,657","85,206,588,011","92,194,618,350","33,046,103,930","40,932,891,355","55,395,005,700","87,692,058,792","52,847,653,363","58,370,067,574","51,783,147,696","69,939,816,296","51,791,721,602","61,175,029,085","52,844,198,900","40,526,966,934","10,281,812,673","15,920,916,566","14,622,908,773","11,279,047,494","15,973,171,134","6,031,513,681","10,249,088,909","7,828,687,979","9,391,620,305","10,837,480,212","16,644,303,055","10,249,394,964","20,965,766,269","20,595,025,650","33,602,459,485","21,188,756,634","10,274,472,828","24,429,737,220","15,828,008,767","29,647,017,960","13,437,494,083","20,959,909,948","24,954,036,352","19,921,621,360","21,699,613,908","10,369,940,194","21,436,267,902","10,580,094,350","18,935,556,837","7,264,325,882",,"6,443,270,613","15,039,066,497","19,193,126,148",,"10,484,885,121","14,684,326,685","23,944,671,885","31,293,055,771","27,377,927,060","24,627,991,291","1,070,536,183","30,962,939,032","8,835,615,422"
