,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,"62,932,127,990","74,870,658,984","38,898,026,004","58,164,874,109","61,470,687,535","67,472,059,642","64,854,712,319","87,384,650,569","105,185,639,434","96,657,972,517","78,860,714,314","105,659,726,133","103,634,058,535","116,222,777,426","100,702,120,628","110,656,699,791","62,048,203,272","131,974,960,169","110,053,308,113","141,829,223,232","158,823,431,174","172,249,768,451","149,777,514,439","159,393,488,893","172,698,928,541","186,500,579,775","158,649,592,103","188,351,277,139","206,956,636,373","193,358,509,432","154,539,544,332","173,034,190,656","181,868,533,177","199,349,083,839","188,462,425,603","204,809,651,198","208,710,381,526","222,860,938,650","200,285,148,439","235,226,043,250","244,469,503,183","261,617,767,042","206,918,164,845","245,584,899,656","216,014,659,445","231,394,794,290","239,396,208,337","363,556,974,039","273,935,935,831","325,368,780,985","334,200,687,125","373,519,646,449","269,017,973,835","487,298,937,923","379,629,925,021","327,201,046,813","249,612,589,386","206,121,471,675","163,870,016,473","171,501,471,660","175,500,771,962","218,282,143,113","218,326,738,270","285,655,726,941","330,545,514,171","318,210,741,675"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,"62,932,127,990","74,870,658,984","38,898,026,004","58,164,874,109","61,470,687,535","67,472,059,642","64,854,712,319","87,384,650,569","105,185,639,434","96,657,972,517","78,860,714,314","105,659,726,133","103,634,058,535","116,222,777,426","100,702,120,628","110,656,699,791","62,048,203,272","131,974,960,169","110,053,308,113","141,829,223,232","158,823,431,174","172,249,768,451","149,777,514,439","159,393,488,893","172,698,928,541","186,500,579,775","158,649,592,103","188,351,277,139","206,956,636,373","193,358,509,432","154,539,544,332","173,034,190,656","181,868,533,177","199,349,083,839","188,462,425,603","204,809,651,198","208,710,381,526","222,860,938,650","200,285,148,439","235,226,043,250","244,469,503,183","261,617,767,042","206,918,164,845","245,584,899,656","216,014,659,445","231,394,794,290","239,396,208,337","363,556,974,039","273,935,935,831","325,368,780,985","334,200,687,125","373,519,646,449","269,017,973,835","487,298,937,923","379,629,925,021","327,201,046,813","249,612,589,386","206,121,471,675","163,870,016,473","171,501,471,660","175,500,771,962","218,282,143,113","218,326,738,270","285,655,726,941","330,545,514,171","318,210,741,675"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,"64,607,781,363","66,318,052,287","34,268,335,877","53,471,747,159","55,651,135,795","63,909,898,327","60,937,350,329","79,322,043,829","98,780,400,735","94,328,841,594","73,505,141,289","97,735,654,043","96,670,639,434","112,675,670,963","94,649,741,115","104,520,571,889","60,180,451,697","126,940,774,566","103,213,708,729","135,282,862,151","149,911,983,823","166,808,684,022","142,648,544,255","150,851,061,884","163,842,686,297","181,817,832,199","151,408,129,087","178,518,215,835","194,871,002,224","187,900,076,176","147,876,209,611","162,567,787,773","172,323,831,597","195,059,457,673","181,356,038,993","195,644,416,748","201,474,164,657","218,662,095,947","192,999,256,242","224,756,365,821","233,182,844,462","256,515,196,143","201,164,354,378","234,570,041,224","208,202,103,524","227,586,709,076","231,316,578,504","350,334,646,604","266,294,583,083","314,932,271,204","322,568,912,042","356,005,399,661","260,737,792,517","467,827,307,099","367,594,821,760","310,116,766,188","235,504,192,066","189,839,931,165","153,805,598,627","159,778,010,596","167,544,592,213","206,244,923,627","206,337,242,904","263,892,804,209","309,470,805,271","292,631,756,148"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,"-1,675,653,373","8,552,606,697","4,629,690,127","4,693,126,950","5,819,551,740","3,562,161,315","3,917,361,990","8,062,606,740","6,405,238,699","2,329,130,923","5,355,573,025","7,924,072,090","6,963,419,101","3,547,106,463","6,052,379,513","6,136,127,902","1,867,751,575","5,034,185,603","6,839,599,384","6,546,361,081","8,911,447,351","5,441,084,429","7,128,970,184","8,542,427,009","8,856,242,244","4,682,747,576","7,241,463,016","9,833,061,304","12,085,634,149","5,458,433,256","6,663,334,721","10,466,402,883","9,544,701,580","4,289,626,166","7,106,386,610","9,165,234,450","7,236,216,869","4,198,842,703","7,285,892,197","10,469,677,429","11,286,658,721","5,102,570,899","5,753,810,467","11,014,858,432","7,812,555,921","3,808,085,214","8,079,629,833","13,222,327,435","7,641,352,748","10,436,509,781","11,631,775,083","17,514,246,788","8,280,181,318","19,471,630,824","12,035,103,261","17,084,280,625","14,108,397,320","16,281,540,510","10,064,417,846","11,723,461,064","7,956,179,749","12,037,219,486","11,989,495,366","21,762,922,732","21,074,708,900","25,578,985,527"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,"10,473,359,163","5,481,585,580","1,157,899,511","8,742,703,385","7,926,684,108","4,818,303,169","5,211,445,131","5,113,155,857","8,995,028,328","9,047,173,186","5,362,755,447","5,065,347,466","8,877,091,376","6,560,563,160","4,832,747,742","3,257,096,633","11,126,054,572","3,397,240,449","2,285,586,642","2,446,593,916","2,434,622,302","4,205,474,037","2,825,041,272","3,161,881,842","678,149,615","1,624,691,495","2,127,471,707","4,088,522,294","4,149,907,114","6,262,810,293","1,558,278,861","1,767,041,449","1,838,583,706","3,975,131,609","1,688,917,569","1,402,163,999","1,308,518,059","6,981,853,390","1,510,638,571","1,719,803,233","2,443,260,007","1,650,178,229","894,166,835","1,700,584,874","930,020,011","1,170,269,046","1,505,400,680","1,830,504,987","973,973,580","1,041,342,174","827,230,234","757,168,706","466,516,943","3,439,854,866","2,104,419,033","14,983,383,055","2,585,558,000","3,374,072,091","2,388,368,383","13,118,834,751","10,663,738,790","5,878,212,363","3,696,321,430","3,935,337,536","3,039,354,056","4,571,986,613"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,285,941,866","1,513,354,183","3,331,887,795","2,265,632,327","1,485,808,865","936,548,455","825,337,092","2,049,872,650","673,263,176","378,598,295","335,828,056","414,924,792","460,929,756","757,169,315","1,102,434,232","1,380,855,950","436,586,165","916,646,988","712,691,428","592,226,497","565,862,550","1,523,559,281","588,480,164","615,514,987","233,043,971","215,901,774","421,792,030","1,771,951,090","1,008,549,388","344,504,902","622,262,323","1,249,382,129","855,913,292","985,478,150","1,887,056,884","1,231,030,962","1,494,887,865","2,896,897,489","1,131,420,079","63,964,011"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,432,083,536","4,720,299,410","3,493,122,672","2,246,730,721","2,191,366,670","2,248,523,093","2,188,884,775","1,798,363,687","2,168,610,783","2,850,269,064","2,971,405,098","409,778,215","1,194,821,728","1,515,039,370","2,127,935,960","370,936,921","1,344,850,447","1,582,276,721","1,230,980,340","1,858,750,801","990,101,771","2,162,593,376","2,277,707,351","2,194,517,822","3,385,549,558","4,439,408,500","5,752,110,763",,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,"3,006,962,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
