,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,"423,166,572,093","434,426,756,663","498,176,889,262","593,794,348,420","611,912,458,277","696,606,547,798","679,197,909,532","739,223,577,486","714,315,051,826","805,066,992,471","753,014,738,164","720,239,285,523","584,025,438,762","653,314,019,053","596,667,465,964","598,517,425,791","536,116,005,693","556,910,339,541","521,471,818,671","598,839,314,583","541,556,368,067","519,052,687,022","515,356,752,714","469,539,488,577","382,150,923,046","410,489,294,214","440,498,516,615","447,169,343,356","372,042,596,568","311,886,326,423","266,998,813,844","311,842,142,300","365,943,841,874","365,540,983,662","369,359,799,419","513,337,002,560","444,096,455,828","383,678,341,227","404,566,674,258","458,132,239,046","424,500,482,201","415,367,336,040","333,311,233,064","371,553,955,512","344,303,419,171","336,907,637,250","293,803,101,077","307,853,110,485","254,647,486,277","324,865,060,956","384,652,649,750","459,686,495,387","402,187,792,732","690,201,420,603","711,862,912,205","616,173,970,981","519,308,388,929","1,042,979,691,976","715,868,936,820","910,533,169,144","1,097,453,432,490","1,872,035,563,529","1,269,851,061,499","1,336,808,059,970"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,"2,732,383,739","5,704,469,291","596,674,422","1,120,876,004","1,333,896,006","1,975,727,788","626,462,283","1,097,181,801","2,449,653,686","1,128,599,327","836,680,038","808,464,101","1,870,738,688","838,846,034","1,944,932,573","3,966,606,727","2,203,882,981","1,513,961,729","1,463,119,441","1,534,024,140","2,114,693,892","1,442,118,174","2,889,004,676","2,033,631,359","517,460,881","980,476,215","1,181,749,059","2,727,894,891","2,839,518,018","970,441,305","563,252,615","275,392,145","462,913,406","934,365,665","23,831,406","816,204,639","1,655,492,523","1,379,459,437","1,301,151,629","3,201,370,153","3,319,397,783","863,730,987","1,245,813,675","560,321,650","825,070,147","1,833,249,762","572,815,344","751,376,583","2,000,000","-2,000,000",,,,,,,"146,490,190","401,185,632",,"669,930,359",,,,"25,160,000"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,"420,434,188,354","428,722,287,372","497,580,214,840","592,673,472,416","610,578,562,271","694,630,820,010","678,571,447,249","738,126,395,685","711,865,398,140","803,938,393,144","752,178,058,126","719,430,821,422","582,154,700,074","652,475,173,019","594,722,533,391","594,550,819,064","533,912,122,712","555,396,377,812","520,008,699,230","597,305,290,443","539,441,674,175","517,610,568,848","512,467,748,038","467,505,857,218","381,633,462,165","409,508,817,999","439,316,767,556","444,441,448,465","369,203,078,550","310,915,885,117","266,435,561,229","311,566,750,155","365,480,928,468","364,606,617,997","369,335,968,013","512,520,797,921","442,440,963,305","382,298,881,790","403,265,522,629","454,930,868,893","421,181,084,418","414,503,605,053","332,065,419,389","370,993,633,862","343,478,349,024","335,074,387,488","293,230,285,733","307,101,733,902","254,645,486,277","324,867,060,956","384,652,649,750","459,686,495,387","402,187,792,732","690,201,420,603","711,862,912,205","616,173,970,981","519,161,898,739","1,042,578,506,344","715,868,936,820","909,863,238,785","1,097,453,432,490","1,872,035,563,529","1,269,851,061,499","1,336,782,899,970"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,"409,711,782,532","447,545,553,550","494,277,311,242","457,424,840,068","533,564,368,599","589,530,597,780","569,684,945,364","654,605,704,457","611,955,818,923","700,831,566,089","703,715,374,438","692,610,358,309","559,064,379,835","614,181,495,419","539,624,603,554","429,120,019,734","544,405,265,268","584,317,172,162","544,375,496,042","570,210,064,046","489,019,174,919","492,201,216,904","477,797,767,750","445,057,572,971","396,634,918,137","407,659,031,925","415,000,495,600","393,988,708,212","367,747,559,213","336,287,704,639","322,884,794,390","368,893,958,109","395,171,115,519","402,497,798,333","391,123,634,173","545,575,970,993","434,950,559,923","366,890,674,627","387,127,587,088","441,575,363,387","427,793,919,394","418,901,536,081","356,559,797,121","352,111,449,418","368,089,443,803","330,852,857,279","301,285,502,814","312,834,772,857","250,958,757,435","226,882,322,025","209,495,046,302","283,405,385,132","306,119,021,328","395,542,170,578","454,488,979,821","526,519,014,781","416,262,344,036","1,012,144,876,056","718,948,347,671","858,308,463,648","993,488,349,173","1,895,115,050,520","1,245,720,960,769","1,314,660,702,787"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,"10,722,405,822","-18,823,266,178","3,302,903,598","135,248,632,348","77,014,193,672","105,100,222,230","108,886,501,885","83,520,691,228","99,909,579,217","103,106,827,055","48,462,683,688","26,820,463,113","23,090,320,239","38,293,677,600","55,097,929,837","165,430,799,330","-10,493,142,556","-28,920,794,350","-24,366,796,812","27,095,226,397","50,422,499,256","25,409,351,944","34,669,980,288","22,448,284,247","-15,001,455,972","1,849,786,074","24,316,271,956","50,452,740,253","1,455,519,337","-25,371,819,522","-56,449,233,161","-57,327,207,954","-29,690,187,051","-37,891,180,336","-21,787,666,160","-33,055,173,072","7,490,403,382","15,408,207,163","16,137,935,541","13,355,505,506","-6,612,834,976","-4,397,931,028","-24,494,377,732","18,882,184,444","-24,611,094,779","4,221,530,209","-8,055,217,081","-5,733,038,955","3,686,728,842","97,984,738,931","175,157,603,448","176,281,110,255","96,068,771,404","294,659,250,025","257,373,932,384","89,654,956,200","102,899,554,703","30,433,630,288","-3,079,410,851","51,554,775,137","103,965,083,317","-23,079,486,991","24,130,100,730","22,122,197,183"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,"3,725,989,611","16,833,661,313","29,912,312,283","44,865,174,584","6,622,292,026","4,548,203,490","14,735,932,662","10,335,469,085","4,656,936,156","489,137,947","1,071,559,264","2,866,000,308","487,968,288","539,234,355","311,701,313","9,666,787,686","290,026,771","315,482,146","621,531,498","190,388,872","764,320,819","422,427,311","224,444,376","826,371,798","2,118,606,166","2,307,125,584","2,908,805,507","3,079,863,834","18,735,028,825","724,288,207","4,045,562,192","-11,479,593,585","3,972,883,506","4,793,343,058","2,283,910,336","4,625,146,788","2,695,376,216","3,114,793,228","2,857,586,085","3,410,121,885","2,386,131,352","4,770,333,698","3,011,677,619","3,363,321,967","3,211,184,320","2,839,369,160","2,009,798,259","3,404,530,067","24,596,496,358","103,658,798,836","12,242,779,808","17,474,809,130","2,559,069,538","15,852,997,636","8,706,676,410","24,681,021,895","13,589,983,366","16,963,749,896","19,232,818,885","14,612,547,203","15,764,285,147","16,176,460,647","11,793,863,102","36,404,692,727"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,"22,022,271,001","16,374,749,991","21,679,007,883","24,945,708,770","22,710,809,773","30,882,129,210","36,350,921,395","36,260,390,095","48,258,880,541","49,846,053,056","42,316,660,427","41,548,030,661","39,241,603,700","39,025,204,583","37,746,372,171","36,375,307,315","34,347,786,330","40,403,245,067","44,991,467,073","44,573,684,917","43,452,176,517","43,298,077,535","44,249,874,659","30,027,648,468","59,626,008,535","63,158,291,000","96,171,060,668","43,455,730,004","40,199,136,108","40,270,357,670","39,611,284,450","58,189,966,967","33,883,405,310","33,391,576,731","34,478,090,087","-42,701,211,573","18,966,575,055","24,076,547,420","36,223,495,906","10,543,735,439","15,363,054,866","18,101,205,062","30,198,190,480","30,535,168,748","40,530,557,093","22,901,553,274","32,491,542,523","27,250,119,571","26,714,518,450","29,358,215,197","33,631,704,772","20,460,364,572","19,370,821,301","24,004,701,887","14,800,997,697","17,464,027,805","7,879,790,919","7,058,779,985","9,105,607,522","8,061,057,978","1,285,901,421","3,481,921,806","19,385,333,134","1,454,192,221"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,"22,022,271,001","16,374,749,991","21,679,007,883","24,945,708,770","22,710,809,773","30,882,129,210","36,350,921,395","36,260,390,095","48,258,880,541","49,846,053,056","42,316,660,427","41,548,030,661","39,241,603,700","39,025,204,583","37,746,372,171","36,375,307,315","34,347,786,330","40,403,245,067","44,991,467,073","44,573,684,917","43,452,176,517","43,298,077,535","44,249,874,659","30,027,648,468","36,231,591,668",,"35,597,203,993","34,655,069,150","33,538,617,458","33,637,768,213","33,868,003,005","34,065,688,901","33,223,866,863","33,660,946,603","34,288,014,484","-42,871,619,980","14,227,227,768","14,741,446,716","15,752,288,394","15,868,688,899","15,141,757,298","14,104,691,897","32,309,925,369","30,650,143,207","30,183,332,136","31,082,132,589","32,469,573,741","27,983,224,031","26,363,450,905","27,548,342,459","27,726,205,019","20,010,676,525","19,053,532,572","18,598,521,042","14,633,509,877","7,356,357,376","6,565,329,020","6,638,277,121","6,711,225,219","5,981,744,218",,"64,876,712",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"572,141,549","461,358,078","581,379,027","282,280,382","658,211,795","758,788,476","816,053,364","1,397,292,516","-217,952,911","484,647,121","187,427,221","1,018,178,488","28,554,346","464,896,087","334,817,395","101,984,599","1,493,236,679",,,,,"727,006,291","841,966,811","252,212,361","756,631,495","136,023,942","783,921,063","613,610,678","701,563,934","348,766,775","787,173,165","1,550,805,361","1,610,644,371","-442,649,296"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,"9,535,935,581","10,278,373,876","14,921,573,674","18,032,536,846","17,551,676,415","20,328,362,411","21,361,038,939","24,140,539,760","20,462,389,765","23,864,818,898","24,302,728,272","22,489,058,024","17,413,525,138","21,311,724,599","17,911,460,150","16,235,034,294","15,756,003,873","17,098,199,753","15,707,555,030","20,280,396,856","15,233,601,264","15,601,992,852","14,549,960,000","15,046,211,693","11,349,494,904","11,583,379,983","13,724,124,098","11,445,585,194","8,628,765,214","9,402,545,008","6,153,421,532","6,927,430,949","8,287,194,925","8,310,742,832","7,749,486,084","11,198,188,179","8,035,240,434","10,155,238,856","12,874,799,622","13,711,697,308","12,204,609,054","12,290,334,149","9,028,751,990","9,658,845,605","8,229,027,275","6,991,924,333","6,105,659,454","5,684,445,754","6,142,471,013","9,193,653,318","12,761,868,161","15,028,585,528","12,693,116,054","23,567,234,793","24,080,667,912","18,831,043,804","14,674,208,448","15,806,191,566","13,411,969,758","15,944,904,636","17,281,409,578","17,266,464,674","13,928,540,342","14,863,729,872"
