a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.05374549701809883
1,1,gelu,mape,43.82044982910156
1,1,relu,mse,0.05723269656300545
1,1,relu,mape,41.8543815612793
1,2,gelu,mse,0.07661067694425583
1,2,gelu,mape,57.21842956542969
1,2,relu,mse,0.06430509686470032
1,2,relu,mape,54.34757995605469
1,3,gelu,mse,0.0959806889295578
1,3,gelu,mape,64.87853240966797
1,3,relu,mse,0.11082407832145691
1,3,relu,mape,61.482547760009766
2,1,gelu,mse,0.0622413270175457
2,1,gelu,mape,41.99827194213867
2,1,relu,mse,0.06293617933988571
2,1,relu,mape,39.05870819091797
2,2,gelu,mse,0.0952940434217453
2,2,gelu,mape,56.79037094116211
2,2,relu,mse,0.054387204349040985
2,2,relu,mape,50.37545394897461
2,3,gelu,mse,0.13144099712371826
2,3,gelu,mape,73.82939147949219
2,3,relu,mse,0.09046454727649689
2,3,relu,mape,64.78443908691406
3,1,gelu,mse,0.06091855838894844
3,1,gelu,mape,40.19957733154297
3,1,relu,mse,0.08354158699512482
3,1,relu,mape,51.631736755371094
3,2,gelu,mse,0.1093616634607315
3,2,gelu,mape,55.88409423828125
3,2,relu,mse,0.07932251691818237
3,2,relu,mape,48.577354431152344
3,3,gelu,mse,0.1349179446697235
3,3,gelu,mape,65.37528228759766
3,3,relu,mse,0.09558828920125961
3,3,relu,mape,64.68498992919922
