a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.041363123804330826
1,1,gelu,mape,45.70564270019531
1,1,relu,mse,0.037284545600414276
1,1,relu,mape,44.30817413330078
1,1,linear,mse,0.06213518977165222
1,1,linear,mape,42.839908599853516
1,2,gelu,mse,0.0933976098895073
1,2,gelu,mape,54.456382751464844
1,2,relu,mse,0.09659450501203537
1,2,relu,mape,52.91242980957031
1,2,linear,mse,0.07222095131874084
1,2,linear,mape,56.713279724121094
1,3,gelu,mse,0.08087605237960815
1,3,gelu,mape,60.66450881958008
1,3,relu,mse,0.10670962184667587
1,3,relu,mape,60.84247970581055
1,3,linear,mse,0.10496988147497177
1,3,linear,mape,65.66553497314453
1,4,gelu,mse,0.09651687741279602
1,4,gelu,mape,69.66439056396484
1,4,relu,mse,0.2808859050273895
1,4,relu,mape,71.44133758544922
1,4,linear,mse,0.3902665972709656
1,4,linear,mape,68.95761108398438
1,5,gelu,mse,0.14863255620002747
1,5,gelu,mape,69.41044616699219
1,5,relu,mse,0.18444766104221344
1,5,relu,mape,67.93773651123047
1,5,linear,mse,0.15798047184944153
1,5,linear,mape,73.71914672851562
2,1,gelu,mse,0.04641122743487358
2,1,gelu,mape,58.639888763427734
2,1,relu,mse,0.059510957449674606
2,1,relu,mape,52.70280838012695
2,1,linear,mse,0.07577434927225113
2,1,linear,mape,41.51349639892578
2,2,gelu,mse,0.08118956536054611
2,2,gelu,mape,56.1933708190918
2,2,relu,mse,0.07492789626121521
2,2,relu,mape,51.107444763183594
2,2,linear,mse,0.08287426829338074
2,2,linear,mape,63.25786590576172
2,3,gelu,mse,0.1398969441652298
2,3,gelu,mape,74.1579360961914
2,3,relu,mse,0.1550542116165161
2,3,relu,mape,58.8704833984375
2,3,linear,mse,0.12227844446897507
2,3,linear,mape,58.64801025390625
2,4,gelu,mse,0.17890292406082153
2,4,gelu,mape,69.64716339111328
2,4,relu,mse,0.10535953938961029
2,4,relu,mape,72.68329620361328
2,4,linear,mse,0.11704360693693161
2,4,linear,mape,71.85780334472656
2,5,gelu,mse,0.18112950026988983
2,5,gelu,mape,82.67352294921875
2,5,relu,mse,0.13618361949920654
2,5,relu,mape,78.22038269042969
2,5,linear,mse,0.14639614522457123
2,5,linear,mape,71.67717742919922
3,1,gelu,mse,0.06072743237018585
3,1,gelu,mape,38.24910354614258
3,1,relu,mse,0.05792544409632683
3,1,relu,mape,39.56065368652344
3,1,linear,mse,0.0714215561747551
3,1,linear,mape,41.454524993896484
3,2,gelu,mse,0.10091149806976318
3,2,gelu,mape,57.7117919921875
3,2,relu,mse,0.07333970814943314
3,2,relu,mape,75.90718078613281
3,2,linear,mse,0.0859198048710823
3,2,linear,mape,49.883148193359375
3,3,gelu,mse,0.12209182977676392
3,3,gelu,mape,68.33183288574219
3,3,relu,mse,0.12775738537311554
3,3,relu,mape,71.60572814941406
3,3,linear,mse,0.1282964050769806
3,3,linear,mape,65.17619323730469
3,4,gelu,mse,0.1329374760389328
3,4,gelu,mape,69.41759490966797
3,4,relu,mse,0.10625513643026352
3,4,relu,mape,74.2423095703125
3,4,linear,mse,0.12414921820163727
3,4,linear,mape,70.77154541015625
3,5,gelu,mse,0.1374150663614273
3,5,gelu,mape,74.140380859375
3,5,relu,mse,0.16950008273124695
3,5,relu,mape,72.52203369140625
3,5,linear,mse,0.16820402443408966
3,5,linear,mape,76.72666931152344
4,1,gelu,mse,0.05607210099697113
4,1,gelu,mape,47.456077575683594
4,1,relu,mse,0.04696863144636154
4,1,relu,mape,41.077613830566406
4,1,linear,mse,0.050176169723272324
4,1,linear,mape,36.1961669921875
4,2,gelu,mse,0.1234951838850975
4,2,gelu,mape,52.31301498413086
4,2,relu,mse,0.09522976726293564
4,2,relu,mape,69.38870239257812
4,2,linear,mse,0.0982811227440834
4,2,linear,mape,67.98281860351562
4,3,gelu,mse,0.18273362517356873
4,3,gelu,mape,56.3619384765625
4,3,relu,mse,0.10391302406787872
4,3,relu,mape,57.12453079223633
4,3,linear,mse,0.1342591792345047
4,3,linear,mape,77.63399505615234
4,4,gelu,mse,0.1509428769350052
4,4,gelu,mape,69.3310775756836
4,4,relu,mse,0.08713113516569138
4,4,relu,mape,58.74663543701172
4,4,linear,mse,0.11751874536275864
4,4,linear,mape,63.011478424072266
4,5,gelu,mse,0.10873054713010788
4,5,gelu,mape,68.49268341064453
4,5,relu,mse,0.099774569272995
4,5,relu,mape,73.7735366821289
4,5,linear,mse,0.14736776053905487
4,5,linear,mape,70.99026489257812
5,1,gelu,mse,0.060198165476322174
5,1,gelu,mape,53.07151412963867
5,1,relu,mse,0.05089429393410683
5,1,relu,mape,55.43073272705078
5,1,linear,mse,0.0493323914706707
5,1,linear,mape,47.8786506652832
5,2,gelu,mse,0.09803138673305511
5,2,gelu,mape,55.67715835571289
