a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.05749187618494034
1,1,gelu,mape,36.36769104003906
1,1,relu,mse,0.05557343363761902
1,1,relu,mape,51.09870529174805
1,1,linear,mse,0.05648863688111305
1,1,linear,mape,39.04196548461914
1,2,gelu,mse,0.09589200466871262
1,2,gelu,mape,68.69996643066406
1,2,relu,mse,0.08181912451982498
1,2,relu,mape,48.75545883178711
1,2,linear,mse,0.07313280552625656
1,2,linear,mape,48.97530746459961
1,3,gelu,mse,0.07803194969892502
1,3,gelu,mape,61.51449966430664
1,3,relu,mse,0.09979048371315002
1,3,relu,mape,61.52831268310547
1,3,linear,mse,0.10867658257484436
1,3,linear,mape,56.570396423339844
1,4,gelu,mse,0.10438188165426254
1,4,gelu,mape,57.89189147949219
1,4,relu,mse,0.13363488018512726
1,4,relu,mape,65.62725067138672
1,4,linear,mse,0.14655256271362305
1,4,linear,mape,63.1066780090332
1,5,gelu,mse,0.11836618930101395
1,5,gelu,mape,65.137451171875
1,5,relu,mse,0.14549879729747772
1,5,relu,mape,73.80719757080078
1,5,linear,mse,0.16318447887897491
1,5,linear,mape,67.54639434814453
2,1,gelu,mse,0.09012335538864136
2,1,gelu,mape,44.172080993652344
2,1,relu,mse,0.22809770703315735
2,1,relu,mape,44.84014129638672
2,1,linear,mse,0.0612148642539978
2,1,linear,mape,41.03888702392578
2,2,gelu,mse,0.0825170949101448
2,2,gelu,mape,55.85890197753906
2,2,relu,mse,0.09137683361768723
2,2,relu,mape,62.18674087524414
2,2,linear,mse,0.08242234587669373
2,2,linear,mape,55.18239974975586
2,3,gelu,mse,0.10064323246479034
2,3,gelu,mape,57.19062423706055
2,3,relu,mse,0.0954863429069519
2,3,relu,mape,80.54297637939453
2,3,linear,mse,0.11599277704954147
2,3,linear,mape,55.685768127441406
2,4,gelu,mse,0.15560248494148254
2,4,gelu,mape,70.82378387451172
2,4,relu,mse,0.1093326061964035
2,4,relu,mape,62.086753845214844
2,4,linear,mse,0.1858023703098297
