Date,Open,High,Low,Close,Volume
2010-02-22,14257.0,14371.900390625,13567.099609375,14371.900390625,35007
2010-02-23,13682.099609375,14257.0,13682.099609375,14257.0,21569
2010-02-24,13682.099609375,13797.099609375,13682.099609375,13797.099609375,15264
2010-02-25,13567.099609375,13912.0,13337.099609375,13337.099609375,30136
2010-02-26,13682.099609375,13797.099609375,13337.099609375,13337.099609375,12176
2010-03-01,13337.099609375,13797.099609375,13337.099609375,13682.099609375,35703
2010-03-02,13682.099609375,13797.099609375,13682.099609375,13797.099609375,55577
2010-03-03,14142.0,14142.0,14027.0,14027.0,35268
2010-03-04,14257.0,14257.0,13797.099609375,14027.0,52924
2010-03-05,14027.0,14027.0,13337.099609375,14027.0,94846
2010-03-08,14257.0,14257.0,14027.0,14257.0,100238
2010-03-09,14486.900390625,14486.900390625,14027.0,14027.0,15568
2010-03-10,14257.0,14716.900390625,14142.0,14716.900390625,1256703
2010-03-11,15406.7001953125,15406.7001953125,15406.7001953125,15406.7001953125,963988
2010-03-12,16096.599609375,16096.599609375,16096.599609375,16096.599609375,435353
2010-03-15,16901.400390625,16901.400390625,16786.400390625,16901.400390625,378124
2010-03-16,16211.5,17361.30078125,16096.599609375,16096.599609375,500715
2010-03-17,16441.5,16441.5,15751.599609375,15751.599609375,323199
2010-03-18,16096.599609375,16096.599609375,15176.7998046875,15866.599609375,248444
2010-03-19,16096.599609375,16096.599609375,15866.599609375,15981.599609375,436136
2010-03-22,15751.599609375,15866.599609375,15751.599609375,15866.599609375,54272
2010-03-23,15636.7001953125,15866.599609375,15521.7001953125,15521.7001953125,75755
2010-03-24,15751.599609375,15751.599609375,15636.7001953125,15636.7001953125,19351
2010-03-25,15636.7001953125,15636.7001953125,15291.7001953125,15521.7001953125,143726
2010-03-26,15636.7001953125,15866.599609375,15521.7001953125,15636.7001953125,300151
2010-03-29,15751.599609375,15751.599609375,15636.7001953125,15751.599609375,82887
2010-03-30,15636.7001953125,15751.599609375,15406.7001953125,15406.7001953125,151597
2010-03-31,15291.7001953125,15406.7001953125,15176.7998046875,15176.7998046875,101760
2010-04-01,14946.7998046875,15521.7001953125,14716.900390625,15521.7001953125,188127
2010-04-05,15866.599609375,15981.599609375,15636.7001953125,15981.599609375,237050
2010-04-06,16326.5,16326.5,15866.599609375,15981.599609375,90062
2010-04-07,16096.599609375,16211.5,15981.599609375,15981.599609375,60056
2010-04-08,16096.599609375,16096.599609375,15866.599609375,15981.599609375,106327
2010-04-09,16326.5,16671.400390625,16211.5,16671.400390625,278972
2010-04-12,17476.30078125,17476.30078125,17476.30078125,17476.30078125,54750
2010-04-13,18281.099609375,18281.099609375,17706.19921875,18281.099609375,501107
2010-04-14,18970.900390625,19085.900390625,17821.19921875,19085.900390625,563337
2010-04-15,19660.80078125,19775.80078125,18511.0,18856.0,135594
2010-04-16,19775.80078125,19775.80078125,19200.900390625,19775.80078125,228831
2010-04-19,20695.599609375,20695.599609375,19545.80078125,20465.599609375,242138
2010-04-20,20350.69921875,20810.599609375,19890.69921875,20465.599609375,317981
2010-04-21,20580.599609375,20695.599609375,19775.80078125,20235.69921875,531330
2010-04-22,19890.69921875,20810.599609375,19890.69921875,20235.69921875,227265
2010-04-23,20235.69921875,20235.69921875,20235.69921875,20235.69921875,0
2010-04-26,20120.69921875,20235.69921875,19315.900390625,19315.900390625,545159
2010-04-27,19315.900390625,19430.80078125,19200.900390625,19430.80078125,111197
2010-04-28,20120.69921875,20120.69921875,19085.900390625,19430.80078125,160947
2010-04-29,19890.69921875,19890.69921875,19200.900390625,19775.80078125,176515
2010-04-30,19775.80078125,19775.80078125,19775.80078125,19775.80078125,0
2010-05-03,19775.80078125,19775.80078125,19775.80078125,19775.80078125,0
2010-05-04,19545.80078125,19775.80078125,19315.900390625,19430.80078125,146422
2010-05-05,19545.80078125,19545.80078125,19085.900390625,19085.900390625,92541
2010-05-06,19200.900390625,19200.900390625,18166.099609375,18970.900390625,161121
2010-05-07,18281.099609375,18856.0,18051.099609375,18166.099609375,403955
2010-05-10,17936.19921875,17936.19921875,17476.30078125,17591.19921875,51967
2010-05-11,17591.19921875,18396.099609375,17591.19921875,18396.099609375,36660
2010-05-12,19315.900390625,19315.900390625,18396.099609375,19315.900390625,176733
2010-05-13,18856.0,19315.900390625,18626.0,18856.0,99151
2010-05-14,18281.099609375,19660.80078125,18166.099609375,19660.80078125,146813
2010-05-17,19660.80078125,19660.80078125,18741.0,18856.0,209783
2010-05-18,18281.099609375,18396.099609375,18281.099609375,18281.099609375,185300
2010-05-19,17591.19921875,17936.19921875,17476.30078125,17476.30078125,166600
2010-05-20,16786.400390625,18281.099609375,16786.400390625,18281.099609375,128897
2010-05-21,17476.30078125,17476.30078125,17476.30078125,17476.30078125,131984
2010-05-24,16786.400390625,18166.099609375,16786.400390625,18166.099609375,25875
2010-05-25,18166.099609375,18166.099609375,18166.099609375,18166.099609375,0
2010-05-26,17936.19921875,17936.19921875,17476.30078125,17936.19921875,16133
2010-05-27,17936.19921875,17936.19921875,17936.19921875,17936.19921875,64318
2010-05-28,17936.19921875,17936.19921875,17821.19921875,17821.19921875,104109
2010-06-01,17706.19921875,17821.19921875,17131.30078125,17821.19921875,14002
2010-06-02,17246.30078125,17821.19921875,17246.30078125,17821.19921875,13524
2010-06-03,17821.19921875,17821.19921875,17821.19921875,17821.19921875,15568
2010-06-04,17821.19921875,17821.19921875,17476.30078125,17821.19921875,31180
2010-06-07,17246.30078125,17246.30078125,17016.400390625,17016.400390625,165861
2010-06-08,16786.400390625,17016.400390625,16786.400390625,17016.400390625,12002
2010-06-09,17016.400390625,17246.30078125,17016.400390625,17016.400390625,46618
2010-06-10,17131.30078125,17246.30078125,17016.400390625,17016.400390625,74755
2010-06-11,17246.30078125,17821.19921875,17246.30078125,17821.19921875,258359
2010-06-14,17821.19921875,18626.0,17246.30078125,18396.099609375,344856
2010-06-15,18396.099609375,18396.099609375,18396.099609375,18396.099609375,0
2010-06-16,18051.099609375,18396.099609375,18051.099609375,18281.099609375,182386
2010-06-17,18626.0,18970.900390625,18626.0,18741.0,278363
2010-06-18,18051.099609375,18511.0,18051.099609375,18396.099609375,244660
2010-06-21,18396.099609375,18396.099609375,17936.19921875,18051.099609375,227396
2010-06-22,18051.099609375,18166.099609375,17706.19921875,17821.19921875,275711
