Date,Open,High,Low,Close,Volume
2020-03-17,10500.0,11500.0,9600.0,11200.0,1626550
2020-03-18,11500.0,11500.0,10450.0,10500.0,1432550
2020-03-19,10300.0,10300.0,9800.0,9800.0,858400
2020-03-20,9800.0,10000.0,9120.0,9130.0,1380930
2020-03-23,8620.0,8630.0,8500.0,8500.0,1698240
2020-03-24,8250.0,8890.0,8250.0,8700.0,683830
2020-03-25,8800.0,9100.0,8710.0,8900.0,1559590
2020-03-26,8800.0,8990.0,8550.0,8550.0,811930
2020-03-27,8600.0,9000.0,8360.0,8460.0,612810
2020-03-30,8250.0,8600.0,7870.0,8300.0,1792710
2020-03-31,8000.0,8700.0,8000.0,8380.0,572600
2020-04-01,8380.0,8580.0,8100.0,8560.0,262480
2020-04-02,8560.0,8560.0,8560.0,8560.0,0
2020-04-03,8600.0,8900.0,8500.0,8700.0,356910
2020-04-06,8800.0,9100.0,8750.0,9100.0,591020
2020-04-07,9100.0,9100.0,8810.0,8960.0,277730
2020-04-08,8900.0,8990.0,8800.0,8990.0,212500
2020-04-09,9100.0,9530.0,9090.0,9450.0,574950
2020-04-13,10800.0,10800.0,10150.0,10150.0,2160110
2020-04-14,10400.0,10850.0,10000.0,10800.0,957110
2020-04-15,10500.0,11300.0,10500.0,11150.0,788140
2020-04-16,11000.0,11150.0,10600.0,10800.0,634220
2020-04-17,11050.0,11150.0,10700.0,10800.0,649460
2020-04-20,11000.0,11250.0,10700.0,10700.0,1221230
2020-04-21,10600.0,10700.0,9960.0,9960.0,1336580
2020-04-22,9700.0,10400.0,9600.0,10050.0,867890
2020-04-23,10300.0,10350.0,10000.0,10100.0,653970
2020-04-24,10100.0,10150.0,9950.0,9960.0,837180
2020-04-27,10100.0,10650.0,10100.0,10650.0,1663520
2020-04-28,11000.0,11200.0,10700.0,10800.0,1444690
2020-04-29,10800.0,11350.0,10800.0,11150.0,1497360
2020-04-30,11150.0,11150.0,11150.0,11150.0,0
2020-05-01,11150.0,11150.0,11150.0,11150.0,0
2020-05-04,10900.0,11000.0,10600.0,10700.0,951850
2020-05-05,10700.0,11200.0,10000.0,11100.0,1071460
2020-05-06,11150.0,11850.0,11150.0,11850.0,2682000
2020-05-07,12000.0,12650.0,11800.0,12500.0,2699550
2020-05-08,12500.0,12600.0,12000.0,12000.0,1499440
2020-05-11,11950.0,12500.0,11750.0,12400.0,1857810
2020-05-12,12200.0,12750.0,12050.0,12500.0,1423970
2020-05-13,12500.0,13100.0,12400.0,12600.0,3516310
2020-05-14,12600.0,12600.0,12300.0,12300.0,1400950
2020-05-15,12300.0,12300.0,12300.0,12300.0,0
2020-05-18,12300.0,12300.0,12300.0,12300.0,0
2020-05-19,12650.0,12750.0,12300.0,12750.0,2001060
2020-05-20,12750.0,12750.0,12750.0,12750.0,0
2020-05-21,12900.0,13250.0,12700.0,12800.0,2381570
2020-05-22,12700.0,12850.0,12400.0,12500.0,1401180
2020-05-26,13350.0,13450.0,13050.0,13450.0,2026130
2020-05-27,13200.0,13200.0,12700.0,12700.0,2320830
2020-05-28,12650.0,12900.0,12550.0,12750.0,1925610
2020-05-29,12700.0,12900.0,12650.0,12750.0,1380440
2020-06-01,12800.0,12950.0,12800.0,12850.0,1375080
2020-06-02,12850.0,12950.0,12500.0,12550.0,1401600
2020-06-03,12550.0,13000.0,12500.0,13000.0,1682780
2020-06-04,13000.0,13150.0,12700.0,12700.0,1429580
2020-06-05,12700.0,12900.0,12600.0,12900.0,1368660
2020-06-08,12900.0,12900.0,12900.0,12900.0,0
2020-06-09,12900.0,12900.0,12900.0,12900.0,0
2020-06-10,13650.0,13650.0,13150.0,13250.0,2746460
2020-06-11,13250.0,13550.0,12500.0,12500.0,3535100
2020-06-12,12000.0,12450.0,11800.0,12150.0,3343630
2020-06-15,12500.0,13000.0,12250.0,12400.0,3865010
2020-06-16,13000.0,13000.0,12650.0,12750.0,1094900
2020-06-17,12800.0,12800.0,12400.0,12400.0,1329740
2020-06-18,12100.0,12800.0,12100.0,12300.0,1281740
2020-06-19,12450.0,12750.0,12450.0,12600.0,1155640
2020-06-22,12700.0,12700.0,12400.0,12450.0,1125510
2020-06-23,12450.0,12800.0,12350.0,12550.0,1512990
2020-06-24,12600.0,12600.0,12250.0,12300.0,967980
2020-06-25,12200.0,12300.0,12050.0,12050.0,1042720
2020-06-26,12100.0,12350.0,11900.0,11900.0,1459690
2020-06-29,11900.0,12000.0,11300.0,11400.0,2278110
2020-06-30,11400.0,11750.0,11000.0,11000.0,1132600
2020-07-01,11050.0,11600.0,11050.0,11500.0,736830
2020-07-02,11400.0,11700.0,11350.0,11550.0,878030
2020-07-06,11800.0,11900.0,11700.0,11900.0,575100
2020-07-07,11900.0,11950.0,11600.0,11650.0,1010980
2020-07-08,11650.0,11800.0,11400.0,11650.0,833270
2020-07-09,11650.0,11850.0,11650.0,11850.0,988260
2020-07-10,11850.0,11850.0,11850.0,11850.0,0
2020-07-13,11900.0,12350.0,11900.0,11900.0,1994010
2020-07-14,12100.0,12300.0,12000.0,12100.0,1279860
2020-07-15,12100.0,12100.0,12100.0,12100.0,0
2020-07-16,12150.0,12250.0,12000.0,12050.0,751420
2020-07-17,11950.0,12250.0,11900.0,12100.0,900470
2020-07-20,12100.0,12450.0,12050.0,12100.0,1427490
2020-07-21,12200.0,12200.0,11900.0,11950.0,755830
2020-07-22,11950.0,12100.0,11700.0,11750.0,730770
2020-07-23,11700.0,11750.0,11500.0,11500.0,1064300
2020-07-24,11550.0,11900.0,11000.0,11000.0,2730370
2020-07-27,10500.0,10700.0,10250.0,10250.0,2885330
2020-07-28,10050.0,10600.0,10050.0,10600.0,1756390
2020-07-29,10000.0,10350.0,9860.0,10250.0,1869490
2020-07-30,10200.0,10300.0,10050.0,10100.0,1120870
2020-07-31,9800.0,10250.0,9800.0,10000.0,998760
2020-08-03,10000.0,10350.0,10000.0,10350.0,820600
2020-08-04,10500.0,10600.0,10350.0,10450.0,995960
2020-08-05,10450.0,10850.0,10300.0,10650.0,1450080
2020-08-06,10550.0,10750.0,10550.0,10600.0,608120
2020-08-07,10550.0,10700.0,10500.0,10600.0,631730
