Date,Open,High,Low,Close,Volume
2017-08-21,12983.599609375,12983.599609375,12983.599609375,12983.599609375,110
2017-08-22,12983.599609375,13885.2998046875,12983.599609375,13885.2998046875,221
2017-08-23,14832.0,14832.0,14832.0,14832.0,11090
2017-08-24,15868.900390625,15868.900390625,15868.900390625,15868.900390625,11090
2017-08-25,16950.80078125,16950.80078125,16950.80078125,16950.80078125,110
2017-08-28,18123.0,18123.0,18123.0,18123.0,110
2017-08-29,19385.30078125,19385.30078125,19385.30078125,19385.30078125,110
2017-08-30,20737.69921875,20737.69921875,20737.69921875,20737.69921875,67765
2017-08-31,22180.30078125,22180.30078125,22180.30078125,22180.30078125,249545
2017-09-01,23713.099609375,23713.099609375,23713.099609375,23713.099609375,318308
2017-09-05,25155.80078125,25155.80078125,24344.30078125,25065.599609375,290304
2017-09-06,25065.599609375,25065.599609375,23352.5,23352.5,251086
2017-09-07,22676.19921875,24614.80078125,22676.19921875,23352.5,132125
2017-09-08,23442.599609375,23442.599609375,22495.900390625,22495.900390625,69828
2017-09-11,21909.80078125,22495.900390625,21098.400390625,21459.0,126724
2017-09-12,21639.400390625,22946.69921875,21639.400390625,22946.69921875,113637
2017-09-13,24163.900390625,24254.099609375,23442.599609375,24254.099609375,115622
2017-09-14,24795.099609375,24795.099609375,23442.599609375,24163.900390625,226919
2017-09-15,23623.0,25832.0,23623.0,25696.69921875,459740
2017-09-18,25696.69921875,27454.900390625,25696.69921875,27409.80078125,495175
2017-09-19,27950.80078125,28852.5,26868.900390625,26868.900390625,312120
2017-09-20,26688.5,27860.69921875,26327.900390625,27409.80078125,307839
2017-09-21,27950.80078125,27950.80078125,26868.900390625,27319.69921875,117996
2017-09-22,27139.400390625,27500.0,27049.19921875,27049.19921875,136651
2017-09-25,26868.900390625,27004.099609375,25155.80078125,25245.900390625,269863
2017-09-26,24434.400390625,25245.900390625,24389.400390625,25245.900390625,134100
2017-09-27,25245.900390625,26508.19921875,24795.099609375,26147.599609375,170888
2017-09-28,26147.599609375,26327.900390625,25426.19921875,25426.19921875,80797
2017-09-29,25426.19921875,25786.900390625,24704.900390625,24795.099609375,82616
2017-10-02,24614.80078125,25426.19921875,24614.80078125,25110.69921875,160152
2017-10-03,24930.30078125,25110.69921875,24163.900390625,24254.099609375,64249
2017-10-04,24254.099609375,24750.0,24254.099609375,24750.0,129087
2017-10-05,24795.099609375,25606.599609375,24750.0,24840.19921875,187669
2017-10-06,24840.19921875,25381.19921875,24840.19921875,25065.599609375,64704
2017-10-09,25155.80078125,25606.599609375,25065.599609375,25561.5,355396
2017-10-10,25561.5,27049.19921875,25516.400390625,27049.19921875,409764
2017-10-11,27049.19921875,27500.0,26237.69921875,26418.0,223204
2017-10-12,26508.19921875,26733.599609375,25877.099609375,26237.69921875,175502
2017-10-13,26237.69921875,26327.900390625,25877.099609375,26147.599609375,78445
2017-10-16,26327.900390625,26643.5,26147.599609375,26237.69921875,118628
2017-10-17,26373.0,26688.5,26327.900390625,26373.0,174914
2017-10-18,26327.900390625,26418.0,25877.099609375,25877.099609375,174448
2017-10-19,25877.099609375,25967.19921875,25651.69921875,25786.900390625,219211
2017-10-20,25786.900390625,26147.599609375,25786.900390625,26147.599609375,213888
2017-10-23,26327.900390625,26418.0,24344.30078125,24344.30078125,159099
2017-10-24,24795.099609375,25516.400390625,24704.900390625,24885.30078125,110931
2017-10-25,24885.30078125,24885.30078125,24344.30078125,24704.900390625,134288
2017-10-26,22991.80078125,24885.30078125,22991.80078125,24885.30078125,324719
