TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"4,111,431,948,547","4,442,517,788,903","4,663,735,385,097","4,611,509,279,524","4,308,710,794,353","4,497,303,554,102","4,695,523,292,727","4,726,493,731,103","4,352,591,940,954","5,032,877,783,108","5,064,347,451,759","5,541,877,409,668","6,812,390,817,788","8,018,052,904,303","8,190,480,268,282","7,638,404,644,801","7,713,479,312,548","8,113,903,797,548","8,302,656,973,594","7,751,317,421,879","7,991,899,101,155","8,085,892,969,281","8,451,240,697,605","8,241,100,250,428"
I. Tiền và các khoản tương đương tiền,"48,075,862,344","73,212,280,615","74,207,288,817","86,421,954,986","81,223,688,501","143,510,329,619","199,865,328,441","40,754,357,119","143,561,786,870","114,006,916,583","140,588,249,846","195,219,000,716","138,773,564,925","52,997,354,742","479,581,473,622","553,858,564,359","847,919,314,368","185,704,955,580","360,318,836,282","237,792,140,072","100,334,857,880","158,594,783,490","611,765,184,322","570,012,125,911"
1. Tiền,"48,075,862,344","69,222,280,615","74,207,288,817","86,421,954,986","65,723,688,501","76,010,329,619","198,003,087,641","40,754,357,119","92,561,786,870","70,281,916,583","70,243,249,846","156,564,000,716","64,533,964,925","44,997,354,742","465,809,240,022","547,896,430,759","847,100,214,368","185,704,955,580","360,318,836,282","237,792,140,072","100,334,857,880","89,594,783,490","610,665,184,322","568,912,125,911"
2. Các khoản tương đương tiền,,"3,990,000,000",,,"15,500,000,000","67,500,000,000","1,862,240,800",,"51,000,000,000","43,725,000,000","70,345,000,000","38,655,000,000","74,239,600,000","8,000,000,000","13,772,233,600","5,962,133,600","819,100,000",,,,,"69,000,000,000","1,100,000,000","1,100,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,"1,024,074,887,456","1,109,404,887,456","1,265,849,887,456","1,491,779,322,456","1,455,368,822,456","1,579,122,942,287","1,456,816,113,537","1,364,500,116,682","1,016,289,137,838","1,148,109,153,447","1,228,794,774,177","1,271,745,955,341","1,264,227,124,400","1,659,334,877,890","1,757,485,875,403","1,767,174,638,828","1,269,741,929,299","1,778,366,375,699","1,645,317,320,000","2,068,273,497,500","2,323,106,780,151","2,470,950,293,273","2,229,881,360,823","2,340,406,525,686"
1. Chứng khoán kinh doanh,,,,,,"193,575,564,296","117,686,210,336","562,792","8,642,788,448","57,070,774,527","141,271,381,274","79,896,536,481","145,023,435,129","199,967,060,999","190,950,017,352","179,319,459,356","178,807,092,663","174,554,178,241","178,114,545,398","181,207,601,155","160,089,278,722","161,593,749,801","161,593,749,801","161,593,749,801"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,"-6,303,525,210","-46,000,000",,"-53,204,500","-96,174,970","-9,731,160,987",,"-5,677,883,894","-62,793,756,274","-78,646,940,579","-76,598,519,158","-83,855,163,364","-50,937,802,542","-45,347,225,398","-38,884,103,655","-26,566,998,571","-31,411,627,761","-36,980,560,211","-41,752,806,201"
3. Đầu tư nắm giữ đến ngày đáo hạn,"1,024,074,887,456","1,109,404,887,456","1,265,849,887,456","1,491,779,322,456","1,455,368,822,456","1,391,850,903,201","1,339,175,903,201","1,364,499,553,890","1,007,699,553,890","1,091,134,553,890","1,097,254,553,890","1,191,849,418,860","1,124,881,573,165","1,522,161,573,165","1,645,182,798,630","1,664,453,698,630","1,174,790,000,000","1,654,750,000,000","1,512,550,000,000","1,925,950,000,000","2,189,584,500,000","2,340,768,171,233","2,105,268,171,233","2,220,565,582,086"
III. Các khoản phải thu ngắn hạn,"1,225,654,527,253","1,286,371,914,541","1,451,255,377,318","1,516,291,620,145","1,297,961,865,234","1,179,771,956,052","1,478,653,914,573","1,698,965,042,269","1,310,934,224,183","1,517,523,097,931","1,748,046,845,108","2,134,438,779,725","2,788,724,202,461","3,209,782,845,631","2,943,123,938,948","2,432,417,095,338","2,072,526,768,240","2,009,020,785,580","2,129,165,570,807","1,581,851,416,354","1,818,396,644,614","1,764,819,678,291","1,998,752,805,065","2,206,754,716,374"
1. Phải thu ngắn hạn của khách hàng,"1,131,874,621,329","1,210,803,678,015","1,273,772,801,616","1,421,607,853,952","1,217,345,863,582","1,095,040,329,536","1,350,671,230,732","1,273,274,300,139","1,231,451,354,439","1,298,897,577,855","1,482,661,386,545","1,928,643,423,173","2,522,882,216,201","2,784,909,102,611","2,572,857,437,751","2,122,221,445,140","1,750,897,667,820","1,806,110,588,583","1,916,226,169,895","1,444,117,613,963","1,652,214,142,328","1,559,193,879,018","1,836,835,992,966","1,855,601,681,421"
2. Trả trước cho người bán ngắn hạn,"69,989,616,414","53,462,097,659","108,139,651,936","66,389,022,579","55,331,866,610","57,163,766,030","46,345,653,313","396,474,888,730","46,212,445,698","194,540,323,174","245,805,198,829","152,185,036,868","180,390,004,001","318,724,646,391","236,041,440,307","177,930,883,338","201,026,313,797","81,055,675,797","70,379,195,365","104,546,082,428","121,589,923,639","172,573,883,992","109,587,025,857","316,004,511,380"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,"1,000,000,000",,,,,"470,450,967",,,,"167,393,018",,,,,,
6. Phải thu ngắn hạn khác,"26,857,128,762","25,175,343,193","72,412,128,092","31,363,947,940","28,353,339,368","30,637,064,812","84,706,234,854","32,285,057,726","36,250,643,448","28,063,349,214","23,550,734,283","57,580,203,635","89,423,638,002","109,663,146,894","138,227,132,389","138,588,947,779","127,289,048,958","127,489,181,226","148,383,224,791","38,066,355,389","51,115,244,973","39,574,581,607","58,852,452,568","42,115,189,899"
7. Dự phòng phải thu ngắn hạn khó đòi,"-3,066,839,252","-3,069,204,326","-3,069,204,326","-3,069,204,326","-3,069,204,326","-3,069,204,326","-3,069,204,326","-3,069,204,326","-3,980,219,402","-3,978,152,312","-3,970,474,549","-3,969,883,951","-3,971,655,743","-3,984,501,232","-4,002,071,499","-6,324,180,919","-6,686,262,335","-5,802,053,044","-5,823,019,244","-4,878,635,426","-6,522,666,326","-6,522,666,326","-6,522,666,326","-6,966,666,326"
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho,"1,710,837,934,972","1,874,558,305,507","1,778,724,414,042","1,413,752,203,473","1,339,738,568,764","1,450,082,817,700","1,440,164,186,199","1,498,486,540,527","1,742,352,848,447","2,108,145,875,052","1,795,154,717,047","1,790,039,136,261","2,428,565,928,707","2,905,775,494,208","2,805,808,519,206","2,712,850,643,054","3,316,604,257,573","3,926,979,001,591","3,925,092,559,390","3,618,083,778,073","3,466,927,703,623","3,412,579,019,109","3,354,616,735,452","2,911,355,345,930"
1. Hàng tồn kho,"1,826,906,674,718","2,031,518,240,249","1,914,056,356,683","1,492,289,086,177","1,484,616,874,468","1,599,498,020,286","1,648,644,294,023","1,615,321,568,960","1,842,701,966,791","2,185,931,686,450","1,951,751,727,950","1,880,055,503,417","2,658,903,948,248","3,036,722,074,242","3,177,124,786,457","3,112,968,562,188","3,712,933,614,876","4,301,300,257,276","4,349,663,520,511","4,040,277,298,742","3,874,763,054,336","3,752,972,755,084","3,695,279,401,436","3,157,827,203,347"
2. Dự phòng giảm giá hàng tồn kho,"-116,068,739,746","-156,959,934,742","-135,331,942,641","-78,536,882,704","-144,878,305,704","-149,415,202,586","-208,480,107,824","-116,835,028,433","-100,349,118,344","-77,785,811,398","-156,597,010,903","-90,016,367,156","-230,338,019,541","-130,946,580,034","-371,316,267,251","-400,117,919,134","-396,329,357,303","-374,321,255,685","-424,570,961,121","-422,193,520,669","-407,835,350,713","-340,393,735,975","-340,662,665,984","-246,471,857,417"
V.Tài sản ngắn hạn khác,"102,788,736,522","98,970,400,784","93,698,417,464","103,264,178,464","134,417,849,398","144,815,508,444","120,023,749,977","123,787,674,506","139,453,943,616","145,092,740,095","151,762,865,581","150,434,537,625","192,099,997,295","190,162,331,832","204,480,461,103","172,103,703,222","206,687,043,068","213,832,679,098","242,762,687,115","245,316,589,880","283,133,114,887","278,949,195,118","256,224,611,943","212,571,536,527"
1. Chi phí trả trước ngắn hạn,"7,075,721,933","9,967,128,128","8,396,062,756","6,536,514,481","8,166,770,447","8,998,284,357","7,735,929,668","7,237,710,342","11,510,288,764","13,990,673,418","9,354,189,717","9,457,859,044","12,026,796,065","12,390,505,349","14,138,109,448","14,170,227,615","15,578,561,847","14,400,131,992","15,118,233,479","13,360,715,097","14,622,588,682","15,361,591,375","16,141,832,132","15,730,131,188"
2. Thuế GTGT được khấu trừ,"95,713,014,589","89,003,272,656","85,302,354,708","96,727,663,983","126,251,078,951","135,817,224,087","112,287,820,309","116,549,964,164","127,943,654,852","130,975,896,677","142,408,675,864","140,976,678,581","180,073,201,230","177,771,826,483","174,115,535,563","156,750,799,293","191,084,728,499","199,432,547,106","225,129,892,205","231,955,874,783","268,360,526,205","263,437,603,743","239,953,461,667","196,771,851,030"
3. Thuế và các khoản khác phải thu Nhà nước,,,,,,,,,,"126,170,000",,,,,"16,226,816,092","1,182,676,314","23,752,722",,"2,514,561,431",,"150,000,000","150,000,000","129,318,144","69,554,309"
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"2,146,585,909,785","1,804,396,715,393","1,835,914,872,935","2,001,455,506,405","2,131,628,045,856","2,242,978,657,917","2,312,044,773,731","2,465,487,607,410","2,881,254,398,265","2,932,737,721,462","3,047,471,370,125","3,192,287,461,255","3,470,562,713,527","3,513,095,151,889","3,716,633,606,741","3,941,972,402,487","3,951,651,481,950","4,055,688,313,408","4,063,376,793,900","4,054,430,239,785","4,100,818,319,501","4,133,254,848,765","4,070,863,405,791","4,007,952,460,919"
I. Các khoản phải thu dài hạn,"1,384,206,875","1,384,206,875","5,884,206,875","5,884,206,875","1,384,206,875","1,384,206,875","1,384,206,875","1,409,400,875","1,409,400,875","1,422,400,875","1,422,400,875","1,422,400,875","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,871,356,075","2,871,356,075","3,407,337,275","3,407,337,275","3,407,337,275","3,407,337,275"
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
