,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"626,573,521,892","695,024,129,303","517,328,979,679","709,660,280,738","767,267,922,830","605,259,122,463","649,772,340,343","575,378,624,439","474,200,464,453","268,624,996,127","327,899,724,143","425,205,891,354","311,396,707,442","249,983,287,424","452,048,272,549","599,649,577,856","195,019,990,179","474,731,201,197","84,253,840,521","90,052,954,361","38,677,126,971","76,948,760,465","69,184,308,855","234,623,700,914"
2. Các khoản giảm trừ doanh thu,,"1,290,301,650",,,,,,,,,,,,,,,,,,,,,,"463,119,419"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"626,573,521,892","693,733,827,653","517,328,979,679","709,660,280,738","767,267,922,830","605,259,122,463","649,772,340,343","575,378,624,439","474,200,464,453","268,624,996,127","327,899,724,143","425,205,891,354","311,396,707,442","249,983,287,424","452,048,272,549","599,649,577,856","195,019,990,179","474,731,201,197","84,253,840,521","90,052,954,361","38,677,126,971","76,948,760,465","69,184,308,855","234,160,581,495"
4. Giá vốn hàng bán,"617,170,910,856","687,726,168,671","517,596,969,312","679,862,831,991","745,356,489,646","594,129,888,291","627,215,875,874","544,685,101,429","450,016,436,716","252,927,127,451","317,020,074,332","410,257,493,682","298,766,356,258","233,798,075,996","466,983,253,275","748,070,968,247","203,629,625,285","583,848,508,593","81,869,878,297","85,720,940,066","41,206,612,284","76,970,226,355","67,110,073,761","230,453,226,086"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"9,402,611,036","6,007,658,982","-267,989,633","29,797,448,747","21,911,433,184","11,129,234,172","22,556,464,469","30,693,523,010","24,184,027,737","15,697,868,676","10,879,649,811","14,948,397,672","12,630,351,184","16,185,211,428","-14,934,980,726","-148,421,390,391","-8,609,635,106","-109,117,307,396","2,383,962,224","4,332,014,295","-2,529,485,313","-21,465,890","2,074,235,094","3,707,355,409"
6. Doanh thu hoạt động tài chính,"5,466,768,999","118,307,180,113","26,843,582,740","5,689,636,824","6,127,282,324","142,469,442,474","74,375,370,909","23,486,600,781","5,136,116,805","110,937,986,202","4,578,987,538","5,388,937,422","4,610,324,802","67,328,983,589","42,207,122,277","26,205,642,075","1,585,296,925,868","29,265,567,549","28,093,794,431","48,972,592,642","21,630,432,822","27,225,936,866","20,073,950,981","38,223,449,755"
7. Chi phí tài chính,"9,196,915,353","15,853,292,589","8,920,678,435","-1,021,658,186","6,189,745,181","5,730,202,007","5,274,322,521","2,941,572,750","2,145,841,845","1,563,340,704","1,368,345,724","2,012,455,299","2,015,385,356","1,692,767,388","2,737,711,350","4,846,111,352","11,998,840,206","834,528,609","245,321,150","617,609,539","16,432,060","20,225,065","181,122,408","32,654,297"
- Trong đó: Chi phí lãi vay,"8,524,667,567","15,393,393,674","8,919,860,553","8,718,071,088","5,792,293,241","5,198,936,418","5,253,681,888","2,941,146,505","2,117,934,645","1,525,226,401","1,320,885,599","1,509,108,447","1,791,756,033","1,496,234,524","2,203,939,558","4,158,957,966","11,385,611,084","496,569,624",,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","80,786,097,845","-51,996,309,405","38,020,660,882","76,802,394,039","62,393,139,951","-85,286,318,928","-20,602,021,849","38,786,111,680",,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"11,320,212,392","12,270,721,899","9,701,530,468","11,265,718,609","11,096,757,771","10,231,319,972","10,034,318,768","10,832,948,678","8,870,212,296","7,661,343,211","7,070,118,746","8,650,664,935","7,397,055,117","7,394,675,294","7,312,005,193","7,179,985,455","6,847,416,001","5,965,185,127","5,228,623,503","5,244,069,693","3,877,159,424","4,047,986,797","3,739,893,234","4,599,268,677"
