,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,025,988,184,950","2,036,896,901,959","1,565,505,960,924","1,600,099,409,591","899,916,327,034","1,698,978,704,553","1,416,823,986,723","1,507,205,853,978","1,798,910,817,652","2,372,591,376,129","1,812,253,686,135","1,867,103,384,833","2,630,288,056,113","1,847,309,309,265","2,306,197,965,742","1,918,912,787,739","1,363,519,002,648","2,366,515,909,840","2,748,060,463,001","2,229,192,206,944","1,968,962,597,842",,"2,058,972,231,091","2,501,138,345,240"
2. Các khoản giảm trừ doanh thu,"13,846,988,504","27,219,391,387","21,520,603,971","33,471,594,886","11,846,479,802","42,802,591,150","15,820,257,813","29,198,005,288","32,163,131,439","37,237,701,534","20,882,206,949","30,877,814,558","36,317,565,283","41,960,833,271","20,767,976,605","24,059,997,261","20,610,041,751","31,958,202,027","39,150,424,117","26,317,907,101","28,513,591,689",,"27,989,168,406","30,334,770,660"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"1,012,141,196,446","2,009,677,510,572","1,543,985,356,953","1,566,627,814,705","888,069,847,232","1,656,176,113,403","1,401,003,728,910","1,478,007,848,690","1,766,747,686,213","2,335,353,674,595","1,791,371,479,186","1,836,225,570,275","2,593,970,490,830","1,805,348,475,994","2,285,429,989,137","1,894,852,790,478","1,342,908,960,897","2,334,557,707,813","2,708,910,038,884","2,202,874,299,843","1,940,449,006,153",,"2,030,983,062,685","2,470,803,574,580"
4. Giá vốn hàng bán,"913,041,938,536","1,813,538,627,307","1,332,624,922,288","1,337,806,259,654","779,930,129,400","1,424,536,022,960","1,166,650,788,758","1,296,729,124,162","1,543,832,651,072","2,069,848,871,679","1,616,381,734,949","1,594,334,867,230","2,281,598,883,377","1,602,971,765,498","2,102,328,603,236","1,727,772,811,941","1,259,616,396,719","2,074,057,942,090","2,370,071,446,997","1,975,449,849,538","1,676,778,702,068",,"1,741,492,221,186","2,119,148,715,034"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"99,099,257,910","196,138,883,265","211,360,434,665","228,821,555,051","108,139,717,832","231,640,090,443","234,352,940,152","181,278,724,528","222,915,035,141","265,504,802,916","174,989,744,237","241,890,703,045","312,371,607,453","202,376,710,496","183,101,385,901","167,079,978,537","83,292,564,178","260,499,765,723","338,838,591,887","227,424,450,305","263,670,304,085",,"289,490,841,499","351,654,859,546"
6. Doanh thu hoạt động tài chính,"813,453,840","1,366,622,549","2,458,853,070","2,743,163,385","2,176,916,515","1,494,021,086","1,233,304,619","2,325,711,400","872,778,601","2,094,783,803","2,563,235,126","1,702,870,689","1,452,879,535","3,506,866,662","3,714,688,435","5,261,768,452","3,009,190,479","2,259,332,057","8,409,880,601","7,186,551,805","4,339,093,284",,"3,963,189,919","11,235,875,932"
7. Chi phí tài chính,"28,776,206,504","41,770,450,474","33,448,070,612","42,574,156,803","22,989,640,893","32,087,884,707","23,375,049,663","27,813,614,943","17,741,924,406","22,129,318,118","24,073,165,805","23,224,886,378","28,312,044,678","27,114,340,123","39,354,782,267","48,230,398,835","35,250,470,535","42,428,575,446","25,797,840,912","36,859,287,845","20,479,935,795",,"19,913,526,613","21,926,850,058"
- Trong đó: Chi phí lãi vay,"27,574,949,324","29,783,990,199","28,860,542,034","31,441,184,591","22,027,698,376","22,270,147,463","21,620,510,153","19,058,531,726","12,949,358,171","13,910,705,880","14,979,568,828","17,044,606,730","18,779,372,310","21,150,425,475","27,030,918,603","31,107,348,360","32,976,379,697","35,956,359,896","24,810,520,928","23,779,353,930","17,634,552,262",,"11,424,265,837","11,171,191,084"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"41,182,035,851","101,381,071,622","100,213,412,242","106,883,281,126","55,078,661,770","66,131,321,895","121,456,378,372","66,355,561,732","89,562,578,886","103,170,618,090","73,830,239,022","22,648,133,078","132,549,619,232","43,955,263,214","102,557,992,167","56,025,954,228","64,511,065,036","98,888,604,516","176,665,095,397","85,213,772,853","118,683,566,482",,"123,979,504,738","163,453,344,430"
10. Chi phí quản lý doanh nghiệp,"23,400,138,155","37,128,174,236","30,690,871,411","38,024,072,381","26,090,225,927","46,795,963,665","38,093,081,486","37,237,270,918","32,988,107,609","41,587,205,782","35,390,914,517","56,986,227,367","45,744,189,590","36,153,707,143","37,618,589,976","45,330,845,744","25,533,245,670","41,226,920,864","58,408,305,654","45,451,543,341","34,956,643,601",,"67,008,109,121","56,619,080,110"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"6,554,331,240","17,225,809,482","49,466,933,470","44,083,208,126","6,158,105,757","88,118,941,262","52,661,735,250","52,197,988,335","83,495,202,841","100,712,444,729","44,258,660,019","140,734,326,911","107,218,633,488","98,660,266,678","7,284,709,926","22,754,548,182","-38,993,026,584","80,214,996,954","86,377,230,525","67,086,398,071","93,889,251,491",,"82,552,890,946","120,891,460,880"
