,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"285,276,075,743","459,746,034,999","509,003,080,212","456,555,361,084","150,598,949,562","352,971,299,229","518,700,990,361","831,794,004,805","303,545,377,619","573,492,422,117","479,366,345,790","766,359,642,213","303,907,101,346","394,763,552,388","406,474,096,351","721,217,552,972","471,286,237,936","601,187,954,785","726,135,784,312","894,197,649,770","481,699,161,062","586,617,421,951","595,350,297,866",
2. Các khoản giảm trừ doanh thu,"287,156,056","-287,156,056","59,323,400","1,208,992,472",,"390,189,250","110,000","622,145,094","359,735,950","250,476,080","374,099,394","33,604,100",,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"284,988,919,687","460,033,191,055","508,943,756,812","455,346,368,612","150,598,949,562","352,581,109,979","518,700,880,361","831,171,859,711","303,185,641,669","573,241,946,037","478,992,246,396","766,326,038,113","303,907,101,346","394,763,552,388","406,474,096,351","721,217,552,972","471,286,237,936","601,187,954,785","726,135,784,312","894,197,649,770","481,699,161,062","586,617,421,951","595,350,297,866",
4. Giá vốn hàng bán,"261,628,525,182","414,791,652,583","467,484,978,231","406,636,654,565","124,424,007,311","329,851,097,180","466,250,795,078","773,602,109,752","264,486,245,556","519,123,292,123","408,413,657,988","693,671,599,881","266,176,533,533","366,312,863,068","357,209,086,001","671,545,336,942","417,955,483,637","519,852,173,487","629,802,148,647","779,724,745,678","424,795,861,391","532,509,775,318","513,111,827,972",
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"23,360,394,505","45,241,538,472","41,458,778,581","48,709,714,047","26,174,942,251","22,730,012,799","52,450,085,283","57,569,749,959","38,699,396,113","54,118,653,914","70,578,588,408","72,654,438,232","37,730,567,813","28,450,689,320","49,265,010,350","49,672,216,030","53,330,754,299","81,335,781,298","96,333,635,665","114,472,904,092","56,903,299,671","54,107,646,633","82,238,469,894",
6. Doanh thu hoạt động tài chính,"719,604,249","7,579,497,961","1,153,088,218","1,560,296,408","1,087,757,247","1,212,066,083","1,129,973,568","1,228,336,158","1,473,281,352","2,441,294,599","1,202,177,255","902,573,711","2,036,383,827","2,256,793,675","1,329,434,692","1,178,769,062","2,767,721,370","3,227,224,249","3,871,852,359","2,880,712,547","3,474,110,914","5,229,259,331","3,981,624,632",
7. Chi phí tài chính,"7,329,552,327","11,323,975,296","8,292,269,552","7,555,087,542","6,480,889,840","1,855,422,158","8,449,983,995","12,612,307,549","3,542,682,576","5,065,363,834","5,964,175,147","13,985,685,850","5,877,119,649","4,332,830,793","10,527,461,871","10,326,704,703","11,469,741,491","10,316,180,272","15,930,584,905","16,619,103,370","12,701,633,008","13,266,998,130","16,927,313,285",
- Trong đó: Chi phí lãi vay,"7,071,103,515","8,244,020,629","7,800,204,282","5,086,315,567","6,075,393,436","495,228,569","7,025,766,269","6,976,706,992","3,133,490,256","3,602,174,805","2,286,305,194","13,524,973,320","5,814,661,169","3,688,648,284","8,181,284,064","9,670,364,959","10,580,192,176","8,892,912,131","14,468,760,712","13,282,555,736","9,481,704,243","10,966,248,582","16,373,417,587",
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"5,513,559,865","14,013,884,372","12,521,989,891","14,049,654,437","10,485,892,797","6,701,887,182","18,713,904,015","7,670,404,853","15,783,966,805","27,925,659,485","35,500,044,450","17,391,748,118","11,768,005,078","12,007,897,981","17,120,874,633","13,518,635,211","10,317,926,039","11,879,981,708","21,941,771,908","24,929,637,924","10,279,874,833","17,738,645,184","24,853,245,696",
10. Chi phí quản lý doanh nghiệp,"9,206,661,560","15,846,583,442","13,842,272,730","15,427,554,160","7,672,058,984","13,632,294,922","19,549,659,620","17,899,762,678","10,820,100,780","16,522,547,589","19,477,458,144","15,868,408,418","12,699,232,036","13,768,284,328","14,215,385,490","19,880,313,660","12,338,042,184","19,347,954,355","21,947,077,579","30,019,906,137","10,069,942,337","10,184,422,088","14,030,827,749",
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"2,030,225,002","11,636,593,323","7,955,334,626","13,237,714,316","2,623,857,877","1,752,474,620","6,866,511,221","20,615,611,037","10,025,927,304","7,046,377,605","10,839,087,922","26,311,169,557","9,422,594,877","598,469,893","8,730,723,048","7,125,331,518","21,972,765,955","43,018,889,212","40,386,053,632","45,784,969,208","27,325,960,407","18,146,840,562","30,408,707,796",
12. Thu nhập khác,"205,827,697","-97,107,720","165,191,113","295,229,416","76,253,233","7,016,180,497","218,157,955","380,145,004","8,099,760","3,595,273","532,381","365,854,483","172,134,116","884,686,469","3,187,464,760","876,869,904","151,285,645","137,501,867","602,557,547","1,216,588,298","7,291,900","1,152,418,985","124,142,193",
13. Chi phí khác,"142,457,119","1,509,669,590","-82,818,275","3,559,801,952","843,834,829","5,339,427,846","1,895,098,434","1,421,616,883","872,162,763","-606,062,222","908,722,903","3,147,043,658","75,009,989","68,851,949","2,420,875,733","238,553,544","200,390,013","202,189,910","207,281,324","9,238,387,687","288,179,278","333,801,305","550,452,766",
14. Lợi nhuận khác(40=31-32),"63,370,578","-1,606,777,310","248,009,388","-3,264,572,536","-767,581,596","1,676,752,651","-1,676,940,479","-1,041,471,879","-864,063,003","609,657,495","-908,190,522","-2,781,189,175","97,124,127","815,834,520","766,589,027","638,316,360","-49,104,368","-64,688,043","395,276,223","-8,021,799,389","-280,887,378","818,617,680","-426,310,573",
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"2,093,595,580","10,029,816,013","8,203,344,014","9,973,141,780","1,856,276,281","3,429,227,271","5,189,570,742","19,574,139,158","9,161,864,301","7,656,035,100","9,930,897,400","23,529,980,382","9,519,719,004","1,414,304,413","9,497,312,075","7,763,647,878","21,923,661,587","42,954,201,169","40,781,329,855","37,763,169,819","27,045,073,029","18,965,458,242","29,982,397,223",
16. Chi phí thuế TNDN hiện hành,"200,243,309","2,593,578,752","683,051,488","2,805,040,183","291,343,245","936,563,267","544,642,581","3,556,979,230","1,730,950,075","935,387,768","2,741,848,758","2,940,290,518","1,927,535,390","341,125,083","698,775,439","3,193,821,065","4,911,500,520","2,811,665,485","5,365,201,537","6,526,430,683","4,173,363,164","2,913,978,380","5,218,867,452",
17. Chi phí thuế TNDN hoãn lại,"1,284,996,884","-1,270,528,858","87,168,766","-87,168,766",,,,,,,,"-3,299,340,589",,"-172,891,097",,"-684,699,853",,"-16,714,492",,"-29,743,898",,"-29,743,898",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"608,355,387","8,706,766,119","7,433,123,760","7,255,270,363","1,564,933,036","2,492,664,004","4,644,928,161","16,017,159,928","7,430,914,226","6,720,647,332","7,189,048,642","23,889,030,453","7,592,183,614","1,246,070,427","8,798,536,636","5,254,526,666","17,012,161,067","40,159,250,176","35,416,128,318","31,266,483,034","22,871,709,865","16,051,479,862","24,763,529,771",
19. Lợi nhuận sau thuế công ty mẹ,"644,801,941","9,937,900,599","7,087,159,153","7,480,802,169","1,597,886,591","2,575,324,880","2,967,185,973","17,312,158,345","7,376,335,713","6,821,267,309","5,827,830,939","25,286,586,995","8,040,822,843","761,254,861","7,071,251,957","6,267,370,290","17,401,782,730","40,207,627,916","31,922,256,077","30,131,663,819","22,692,051,149","16,755,223,146","19,114,418,061",
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"-36,446,554","-1,231,134,480","345,964,607","-225,531,806","-32,953,555","-82,660,876","1,677,742,188","-1,294,998,417","54,578,513","-100,619,977","1,361,217,703","-1,397,556,542","-448,639,229","484,815,566","1,727,284,679","-1,012,843,624","-389,621,663","-48,377,740","3,493,872,241","1,134,819,215","179,658,716","-703,743,284","5,649,111,710",
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
