quarter,P,EPS,D/E,P/E,SIZE
2019Q1,24.172361874189534,,1.080946724527247,,
2019Q2,25.195566419571165,,1.0783860857318741,,
2019Q3,26.6003378033638,,1.0819054646690847,,
2019Q4,26.719919472932816,,1.0781242786625695,,
2020Q1,27.049660621150846,,,,
2020Q2,27.122962467254155,,,,
2020Q3,28.65506401658058,,,,
2020Q4,28.539571583271027,,,,
2021Q1,28.51273983814677,,,,
2021Q2,28.48626236688523,,,,
2021Q3,29.43251445889473,,,,
2021Q4,29.134153008461,,,,
2022Q1,27.731962911544308,,,,
2022Q2,25.00223781216529,,,,
2022Q3,24.642840325832367,,,,
2022Q4,23.29620727660164,,,,
2023Q1,24.42800583377961,,,,
2023Q2,24.73729675046859,,,,
2023Q3,24.264454765925333,,,,
2023Q4,24.170475339132643,,,,
2024Q1,25.34383451743204,,,,
2024Q2,25.262401671636674,,,,
2024Q3,26.47565186023712,,,,
2024Q4,26.285445864238437,,,,
