TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"633,154,000,000","822,871,721,497","853,435,820,913","945,669,521,452","839,808,066,956","1,077,607,502,507",,"985,235,000,000","888,245,000,000","974,560,000,000","954,923,000,000","1,001,628,000,000","1,027,935,000,000","939,296,000,000","961,776,000,000","1,062,738,000,000","1,032,576,000,000","1,066,331,000,000","1,102,147,000,000","1,132,969,113,436","1,303,912,854,836",,"1,123,709,763,689","1,148,488,607,439"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"836,096,000,000","1,600,648,088,002","1,858,617,876,444","3,055,468,636,768","2,616,139,810,350","4,498,225,386,205",,"4,428,378,000,000","1,931,878,000,000","6,769,790,000,000","2,993,736,000,000","5,131,299,000,000","6,002,271,000,000","3,940,254,000,000","4,068,195,000,000","1,975,334,000,000","4,069,979,000,000","13,542,188,000,000","7,669,685,000,000","16,268,047,103,302","8,990,240,020,370",,"4,720,850,571,711","13,632,931,751,360"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"9,807,734,000,000","9,989,074,050,411","11,287,488,360,421","11,795,654,208,550","13,297,485,179,343","10,638,799,818,186",,"11,893,543,000,000","12,153,565,000,000","15,304,648,000,000","18,465,192,000,000","17,770,233,000,000","19,580,483,000,000","24,028,178,000,000","23,398,160,000,000","23,905,527,000,000","31,046,695,000,000","25,924,496,000,000","31,584,497,000,000","22,591,302,470,968","26,515,418,483,954",,"40,434,864,830,423","36,809,782,707,411"
1. Phải thu ngắn hạn của khách hàng,"9,786,214,000,000","9,601,353,050,411","11,128,247,360,421","11,586,996,208,550","13,088,827,179,343","10,430,141,818,186",,"11,654,314,000,000","11,914,336,000,000","15,074,763,000,000","18,235,307,000,000","17,540,348,000,000","19,350,598,000,000","23,738,293,000,000","23,108,275,000,000","23,220,381,000,000","30,359,101,000,000","23,134,611,000,000","28,494,612,000,000","20,801,417,470,968","25,325,533,483,954",,"39,244,979,830,423","36,519,897,707,411"
