TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"1,315,204,000,000","1,936,606,000,000","1,567,186,000,000","1,654,531,000,000","1,608,090,000,000","181,339,877,000,000","1,789,875,000,000","2,214,265,000,000","1,829,035,000,000","2,022,546,000,000","2,558,712,000,000","292,827,078,000,000","2,476,525,000,000","1,834,965,000,000","2,392,363,000,000","2,426,932,000,000","3,421,333,000,000","2,182,092,000,000","2,102,795,000,000","2,338,561,000,000","1,789,390,000,000",,"1,692,781,000,000","1,292,735,000,000"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"4,912,162,000,000","5,394,560,000,000","6,087,591,000,000","7,760,937,000,000","3,249,808,000,000","7,702,277,000,000","8,870,437,000,000","9,108,762,000,000","10,467,415,000,000","16,421,498,000,000","11,574,314,000,000","2,553,309,000,000","14,077,084,000,000","14,590,366,000,000","9,188,049,000,000","11,988,501,000,000","8,982,501,000,000","9,213,239,000,000","10,397,108,000,000","9,211,968,000,000","11,378,128,000,000",,"13,214,550,000,000","22,708,369,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"19,121,044,000,000","17,084,356,000,000","21,379,254,000,000","21,023,865,000,000","23,885,054,000,000","23,349,975,000,000","19,326,156,000,000","12,698,296,000,000","14,595,304,000,000","24,762,767,000,000","28,117,144,000,000","48,752,914,000,000","37,628,452,000,000","40,738,575,000,000","46,897,369,000,000","53,364,944,000,000","56,285,508,000,000","56,630,247,000,000","58,926,396,000,000","52,351,827,000,000","56,447,319,000,000",,"54,515,768,000,000","70,520,700,000,000"
1. Phải thu ngắn hạn của khách hàng,"18,461,044,000,000","17,084,356,000,000","21,279,254,000,000","19,261,332,000,000","20,490,801,000,000","18,961,680,000,000","16,100,752,000,000","8,685,780,000,000","8,733,887,000,000","14,085,647,000,000","27,187,801,000,000","35,868,051,000,000","28,992,946,000,000","26,523,222,000,000","31,424,834,000,000","36,886,065,000,000","38,777,945,000,000","39,363,356,000,000","41,232,919,000,000","33,887,940,000,000","41,430,265,000,000",,"42,047,089,000,000","62,182,536,000,000"
2. Trả trước cho người bán ngắn hạn,"660,000,000,000",,"100,000,000,000","1,762,533,000,000","3,394,253,000,000","4,388,295,000,000","3,225,404,000,000","4,012,516,000,000","5,861,417,000,000","10,677,120,000,000","10,929,343,000,000","12,884,863,000,000","8,635,506,000,000","14,215,353,000,000","15,472,535,000,000","16,478,879,000,000","17,507,563,000,000","17,266,891,000,000","17,693,477,000,000","18,463,887,000,000","15,017,054,000,000",,"12,468,679,000,000","8,338,164,000,000"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho,,,,,,,,,,,,,,,,,,,,,"3,898,000,000",,"1,000,000","1,000,000"
1. Hàng tồn kho,,,,,,,,,,,,,,,,,,,,,"3,904,000,000",,"1,000,000","1,000,000"
2. Dự phòng giảm giá hàng tồn kho,,,,,,,,,,,,,,,,,,,,,"-6,000,000",,,
V.Tài sản ngắn hạn khác,"20,563,000,000","56,401,000,000","86,725,000,000","12,987,000,000","85,730,000,000","59,364,000,000","72,291,000,000","77,344,000,000","153,807,000,000","195,550,000,000","189,844,000,000",,,,"95,137,000,000","203,247,000,000","282,297,000,000","294,883,000,000",,,,,,
1. Chi phí trả trước ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Thuế GTGT được khấu trừ,,,,,,,,,,,,,,,,,,,,,,,,
