TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"10,339,124,000,000","12,291,257,000,000","12,321,593,000,000","13,778,357,000,000","13,051,765,000,000","11,863,544,000,000","11,526,350,000,000","15,095,394,000,000","12,277,634,000,000","13,122,285,000,000","13,356,519,000,000","18,011,766,000,000","14,868,054,000,000","15,097,807,000,000","16,293,080,000,000","18,348,519,000,000","15,537,950,000,000","16,134,106,000,000","13,913,670,000,000","14,504,849,000,000","12,915,997,000,000",,"13,157,642,000,000","14,268,065,000,000"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"39,616,873,000,000","49,621,074,000,000","32,427,277,000,000","34,684,091,000,000","16,569,663,000,000","72,917,405,000,000","24,743,965,000,000","33,139,373,000,000","24,008,360,000,000","23,485,760,000,000","60,969,106,000,000","22,506,711,000,000","38,888,399,000,000","28,813,961,000,000","16,293,080,000,000","92,557,809,000,000","139,256,635,000,000","56,430,924,000,000","29,312,980,000,000","58,104,503,000,000","37,836,619,000,000",,"13,749,051,000,000","49,340,493,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"169,677,886,000,000","171,372,397,000,000","216,739,273,000,000","249,729,494,000,000","176,540,624,000,000","149,653,058,000,000","174,497,813,000,000","267,774,393,000,000","203,604,117,000,000","184,869,194,000,000","204,916,285,000,000","225,394,684,000,000","194,999,348,000,000","255,548,453,000,000","302,927,159,000,000","313,591,813,000,000","334,747,844,000,000","286,406,768,000,000","320,952,135,000,000","335,616,377,000,000","273,301,211,000,000",,"316,566,672,000,000","389,295,778,000,000"
1. Phải thu ngắn hạn của khách hàng,"115,193,607,000,000","124,439,999,000,000","169,161,049,000,000","189,359,451,000,000","124,434,685,000,000","127,712,223,000,000","149,619,503,000,000","204,518,531,000,000","167,652,939,000,000","163,577,251,000,000","166,228,757,000,000","180,894,919,000,000","156,548,126,000,000","206,466,934,000,000","254,958,471,000,000","283,682,088,000,000","324,773,255,000,000","266,930,956,000,000","298,187,035,000,000","311,149,645,000,000","254,973,480,000,000",,"304,724,737,000,000","383,375,770,000,000"
