,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"155,978,000,000","148,318,000,000","181,003,000,000","161,492,000,000","38,812,000,000","53,255,000,000","33,215,000,000","115,664,000,000","42,924,000,000","65,165,000,000","22,976,000,000","139,539,000,000","128,928,000,000","275,852,000,000","27,544,000,000","98,538,000,000","91,122,000,000","81,837,000,000","70,880,000,000","686,717,000,000","59,345,000,000",,"124,527,000,000","657,697,000,000"
4. Giá vốn hàng bán,"118,424,000,000","96,155,000,000","80,485,000,000","67,599,000,000","2,409,000,000","1,654,000,000","3,920,000,000","26,939,000,000","1,287,000,000","3,299,000,000","2,057,000,000","10,129,000,000","2,688,000,000","3,801,000,000","5,346,000,000","91,061,000,000","1,218,000,000","8,028,000,000","39,201,000,000","47,030,000,000","10,557,000,000",,"35,350,000,000","61,621,000,000"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,"202,935,000,000","133,797,000,000",,"182,442,000,000","374,965,000,000"
6. Doanh thu hoạt động tài chính,"280,528,000,000","240,903,000,000","271,862,000,000","-16,302,000,000","366,069,000,000","74,928,000,000","430,123,000,000","199,061,000,000","172,128,000,000","272,695,000,000","329,441,000,000","191,173,000,000","647,228,000,000","871,387,000,000","1,023,545,000,000","403,592,000,000","696,121,000,000","422,618,000,000","241,811,000,000","804,549,000,000","527,251,000,000",,"721,211,000,000","1,435,504,000,000"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,"2,171,395,000,000","1,577,190,000,000",,"1,969,972,000,000","3,042,791,000,000"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,"804,549,000,000","527,251,000,000",,"721,211,000,000","1,435,504,000,000"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
