,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"54,027,197,596","137,468,144,477","65,981,794,248","574,830,439,363","32,066,458,517","131,952,844,492","48,397,159,681","111,315,025,462","157,708,875,677","172,885,839,266","46,469,421,798","186,447,606,217","112,131,531,455","226,866,158,815","98,764,514,591","345,899,650,902","56,978,571,813","47,989,198,756","80,373,530,944","2,793,064,884,368","746,779,338,011",,"761,186,631,058","526,745,567,903"
4. Giá vốn hàng bán,"7,100,935,220","21,211,583,559","23,554,595,802","9,573,263,953","5,444,666,382","46,886,306,652","8,920,289,647","51,482,786,794","73,454,934,451","29,570,400,220","26,772,131,886","32,816,594,797","55,024,053,985","34,267,084,410","20,923,133,057","29,306,199,285","18,427,881,067","20,708,697,998","43,359,756,601","2,580,607,603,433","612,972,442,710",,"765,570,841,930","384,336,824,972"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,"264,119,696,363","260,876,950,715",,"92,946,661,265","296,802,126,891"
6. Doanh thu hoạt động tài chính,"428,545,824,842","893,999,766,592","659,730,504,475","1,028,942,622,872","885,522,268,857","605,696,071,240","517,342,466,215","1,526,588,178,371","1,011,751,779,244","1,107,921,561,933","885,158,417,965","1,400,127,208,660","668,258,665,539","722,469,050,279","727,299,080,235","1,391,719,656,546","786,410,836,125","1,260,936,594,778","1,083,200,763,536","1,047,956,118,417","953,593,023,311",,"347,196,837,368","1,156,322,419,960"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,"2,603,951,458,801","2,287,006,218,209",,"2,291,871,867,212","3,217,857,673,242"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,"1,047,956,118,417","953,593,023,311",,"347,196,837,368","1,156,322,419,960"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
