,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"25,156,000,000","36,104,000,000","35,896,000,000","929,849,000,000","413,936,000,000","110,032,000,000","110,289,000,000","462,379,000,000","142,259,000,000","59,155,000,000","106,005,000,000","188,342,000,000","275,189,000,000","362,916,000,000","362,283,000,000","324,561,000,000","185,811,000,000","169,226,000,000","186,589,000,000","330,653,000,000","222,614,000,000",,"293,891,000,000","394,415,000,000"
4. Giá vốn hàng bán,"3,209,000,000","16,897,000,000","29,006,000,000","49,675,000,000","108,424,000,000","35,064,000,000","128,180,000,000","130,687,000,000","157,883,000,000","2,447,000,000","4,411,000,000","85,243,000,000","115,059,000,000","144,854,000,000","147,247,000,000","215,648,000,000","144,565,000,000","184,969,000,000","275,659,000,000","372,410,000,000","239,053,000,000",,"158,919,000,000","257,154,000,000"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,"135,676,000,000","365,797,000,000",,"347,561,000,000","431,288,000,000"
6. Doanh thu hoạt động tài chính,"682,226,000,000","613,129,000,000","627,342,000,000","1,171,246,000,000","809,289,000,000","818,718,000,000","791,509,000,000","1,090,578,000,000","1,138,029,000,000","1,268,915,000,000","1,109,879,000,000","1,315,133,000,000","1,299,400,000,000","1,731,843,000,000","1,711,622,000,000","1,519,328,000,000","1,413,242,000,000","1,293,167,000,000","1,262,841,000,000","493,932,000,000","1,462,797,000,000",,"1,383,025,000,000","1,705,194,000,000"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000","1,000,000"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,"4,443,231,000,000","4,685,167,000,000",,"3,995,301,000,000","5,121,126,000,000"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,"493,932,000,000","1,462,797,000,000",,"1,383,026,000,000","1,705,193,000,000"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
