quarter,P,EPS,D/E,P/E,SIZE
2019Q1,66.12991195428567,-0.14619047155531484,3.7766351619702334,-452.3544609353268,26.75688644672109
2019Q2,68.7913073585147,-0.1277169190834402,4.312527364395222,-538.6232916687558,26.685951298695894
2019Q3,72.18846237659454,,4.436959782868048,,26.85349843060913
2019Q4,73.37523758411407,0.2630722750102763,4.53336798375625,278.9166497353164,27.008723730444487
2020Q1,73.78352226749543,0.02164862061315687,3.588467060903823,3408.2320340841375,26.82751112402793
2020Q2,75.18754565526568,-0.0206466858638374,4.364720506881997,-3641.627821100161,26.873115904790197
2020Q3,79.07293677330017,,2.9827488410601726,,26.592210739880453
2020Q4,79.52557528018951,0.1932383640932049,2.8804373990445105,411.5413399061474,26.668022578498555
2021Q1,78.53041952164446,,2.070700155298387,,26.37604859785289
2021Q2,78.35372985355438,,1.805210822465327,,26.24468036608872
2021Q3,80.49340164661407,-0.07648447135155256,1.7968999570539335,-1052.4149572353701,26.198507273775956
2021Q4,79.73441934585571,,1.884909155701657,,26.261928716401506
2022Q1,75.75561080440399,-0.07230984046119078,2.0839312420306424,-1047.6528550088915,26.29175097397086
2022Q2,69.800718615132,,2.3557899336679515,,26.410531553154843
2022Q3,68.80345237255096,,1.96271576060734,,26.27429154791381
2022Q4,66.35429327828544,0.10840436633459001,1.9536905129868827,612.099821454451,26.330358856992632
2023Q1,68.9635377699329,-0.12113987711634915,1.8315116165505068,-569.2884903927768,26.12677075797585
2023Q2,69.49681940386373,-0.14033315986341752,2.3672480800930447,-495.22735375946144,26.15211786253296
2023Q3,68.74205549936445,-0.060655256383228336,2.533829514580048,-1133.323962313218,26.15316090520336
2023Q4,68.90755208333333,0.10840436633459001,1.9536905129868827,635.6529207564408,26.330358856992632
2024Q1,72.24174912249455,-0.1419764729543061,2.315512071117092,-508.8290166621123,26.218815971927448
2024Q2,72.05279625786676,-0.1372983031718113,3.2130354507300556,-524.790143747821,26.28122032807099
2024Q3,75.21075415611267,-0.03248487043012365,2.7989498469018383,-2315.2548605017287,26.162526687413532
2024Q4,75.47357153514075,0.39282674547533064,2.204699214647338,192.12941176857944,26.27510654794881
