TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"336,453,834,058","415,331,373,597","417,475,696,352",,"410,426,216,179","441,660,708,611","470,083,646,974","502,023,534,720","499,666,117,556","438,246,399,835","515,562,158,585","556,342,407,834","512,071,370,615","479,558,511,974","511,500,942,971","490,135,197,942","463,268,185,453","435,190,570,684","466,272,694,913","419,803,030,181","329,109,961,242","439,701,824,279","540,133,683,464",
I. Tiền và các khoản tương đương tiền,"55,331,816,023","62,845,534,397","54,108,806,202",,"19,039,766,039","35,987,930,703","37,785,133,265","38,524,681,196","41,680,571,665","80,245,075,702","78,857,025,468","71,487,869,936","86,988,471,845","41,236,266,154","57,770,868,586","79,539,149,212","38,422,636,100","70,226,730,381","69,887,466,174","122,643,933,023","56,119,636,204","57,250,110,006","77,575,646,647",
1. Tiền,"17,544,073,522","28,945,700,707","33,208,972,512",,"11,939,766,039","29,087,930,703","32,885,133,265","34,424,681,196","22,880,571,665","69,645,075,702","71,857,025,468","54,487,869,936","40,977,761,658","20,209,294,437","27,197,753,812","38,849,963,529","18,797,999,951","31,661,730,381","41,522,466,174","82,468,933,023","25,442,385,519","27,065,129,110","44,897,230,428",
2. Các khoản tương đương tiền,"37,787,742,501","33,899,833,690","20,899,833,690",,"7,100,000,000","6,900,000,000","4,900,000,000","4,100,000,000","18,800,000,000","10,600,000,000","7,000,000,000","17,000,000,000","46,010,710,187","21,026,971,717","30,573,114,774","40,689,185,683","19,624,636,149","38,565,000,000","28,365,000,000","40,175,000,000","30,677,250,685","30,184,980,896","32,678,416,219",
II. Các khoản đầu tư tài chính ngắn hạn,"44,848,385,268","74,767,511,584","83,946,763,038",,"73,035,957,385","76,620,904,833","75,902,917,970","84,996,869,484","74,014,000,000","59,324,000,000","76,874,000,000","84,874,000,000","78,004,000,000","68,104,000,000","59,899,000,000","55,045,000,000","66,065,000,000","81,765,000,000","96,765,000,000","85,565,000,000","58,695,000,000","40,145,000,000","31,750,000,000",
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"44,848,385,268","74,767,511,584","83,946,763,038",,"73,035,957,385","76,620,904,833","75,902,917,970","84,996,869,484","74,014,000,000","59,324,000,000","76,874,000,000","84,874,000,000","78,004,000,000","68,104,000,000","59,899,000,000","55,045,000,000","66,065,000,000","81,765,000,000","96,765,000,000","85,565,000,000","58,695,000,000","40,145,000,000","31,750,000,000",
III. Các khoản phải thu ngắn hạn,"173,190,253,281","182,074,651,712","176,994,776,533",,"231,683,103,686","225,211,836,792","200,395,044,656","236,053,125,830","290,381,590,588","179,099,440,651","273,251,530,587","326,038,427,157","233,233,851,805","281,680,112,421","339,607,969,384","296,743,633,812","298,282,612,441","225,598,574,517","235,967,192,015","168,705,376,983","174,878,357,640","146,775,450,068","126,901,011,172",
1. Phải thu ngắn hạn của khách hàng,"170,840,260,148","154,949,698,947","164,811,886,199",,"223,897,716,788","202,739,893,889","175,707,971,062","228,042,602,797","296,509,125,001","187,431,609,606","192,216,590,984","244,576,497,785","183,826,753,700","273,047,298,329","349,411,106,667","298,699,368,353","299,238,071,764","204,041,574,719","285,871,085,271","235,451,080,390","198,354,282,505","167,385,829,950","179,371,415,238",
2. Trả trước cho người bán ngắn hạn,"11,275,222,672","24,877,806,927","17,202,286,667",,"18,343,944,794","34,393,393,300","34,069,394,755","30,468,507,720","20,980,276,421","18,987,480,419","74,079,216,425","72,421,182,462","17,576,159,128","15,708,500,083","4,938,140,629","5,362,773,049","7,322,897,654","31,642,232,021","23,792,999,833","16,448,413,966","63,324,087,370","62,885,733,016","30,103,057,021",
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,"2,000,000,000",,"355,000,000","355,000,000","355,000,000","120,000,000",,,,,,"60,000,000","60,000,000","60,000,000",
6. Phải thu ngắn hạn khác,"11,818,103,039","23,602,109,682","16,676,632,453",,"14,736,447,884","13,701,445,536","16,470,758,104","10,038,221,353","10,598,190,890","8,440,719,393","38,559,651,069","35,401,719,415","58,011,665,824","19,105,040,856","14,174,448,935","31,287,616,721","30,327,767,330","28,237,669,460","11,460,304,809","9,749,102,424","6,142,803,189","6,903,943,192","7,905,900,001",
7. Dự phòng phải thu ngắn hạn khó đòi,"-20,859,811,010","-21,471,442,276","-21,812,507,218",,"-25,411,484,212","-25,739,374,365","-25,969,557,697","-32,612,684,472","-37,706,001,724","-37,760,368,767","-31,603,927,891","-26,715,972,505","-26,535,726,847","-26,535,726,847","-29,035,726,847","-38,606,124,311","-38,606,124,307","-38,322,901,683","-85,157,197,898","-92,943,219,797","-93,002,815,424","-90,460,056,090","-90,539,361,088",
8. Tài sản Thiếu chờ xử lý,"116,478,432","116,478,432","116,478,432",,"116,478,432","116,478,432","116,478,432","116,478,432",,,,,,,,,,,,,,,,
IV. Hàng tồn kho,"53,713,209,549","83,375,601,696","89,390,886,048",,"76,805,800,353","90,929,264,252","139,441,784,356","127,659,690,792","84,006,797,535","107,043,626,300","80,020,886,488","67,668,084,242","107,044,740,303","83,690,114,194","51,817,500,743","54,417,138,350","52,835,420,181","49,367,608,738","52,712,698,507","35,284,114,966","30,026,974,466","174,058,989,107","275,010,613,646",
1. Hàng tồn kho,"67,146,834,841","96,794,920,723","102,796,311,470",,"91,265,678,927","105,324,753,018","153,263,911,031","139,466,824,098","95,054,373,903","118,196,581,206","89,776,320,208","77,115,969,205","116,483,684,426","93,263,443,149","61,785,385,793","64,454,918,710","62,869,885,713","58,514,729,460","66,961,540,504","56,886,444,434","51,887,183,903","195,787,974,536","294,628,383,370",
2. Dự phòng giảm giá hàng tồn kho,"-13,433,625,292","-13,419,319,027","-13,405,425,422",,"-14,459,878,574","-14,395,488,766","-13,822,126,675","-11,807,133,306","-11,047,576,368","-11,152,954,906","-9,755,433,720","-9,447,884,963","-9,438,944,123","-9,573,328,955","-9,967,885,050","-10,037,780,360","-10,034,465,532","-9,147,120,722","-14,248,841,997","-21,602,329,468","-21,860,209,437","-21,728,985,429","-19,617,769,724",
V.Tài sản ngắn hạn khác,"9,370,169,937","12,268,074,208","13,034,464,531",,"9,861,588,716","12,910,772,031","16,558,766,727","14,789,167,418","9,583,157,768","12,534,257,182","6,558,716,042","6,274,026,499","6,800,306,662","4,848,019,205","2,405,604,258","4,390,276,568","7,662,516,731","8,232,657,048","10,940,338,217","7,604,605,209","9,389,992,932","21,472,275,098","28,896,411,999",
1. Chi phí trả trước ngắn hạn,"4,460,125,935","4,021,698,578","5,055,380,992",,"3,405,525,511","4,813,815,309","3,977,088,166","4,793,651,641","3,641,538,929","3,485,478,353","4,571,508,638","499,716,580","951,367,055","683,662,584","508,507,262","300,850,510","897,394,060","711,636,058","551,346,111","295,584,082","1,062,471,127","955,354,166","835,479,986",
2. Thuế GTGT được khấu trừ,"4,763,016,691","7,975,742,874","7,979,083,539",,"6,456,063,205","8,096,956,722","12,577,189,601","9,654,730,573","5,897,080,838","8,957,781,591","1,896,210,166","2,535,330,671","5,757,942,369","4,164,356,621","1,897,096,996","4,089,426,058","6,765,122,671","7,521,020,990","10,388,992,106","7,309,021,127","8,327,521,805","18,636,932,025","28,004,223,991",
3. Thuế và các khoản khác phải thu Nhà nước,"147,027,311","270,632,756",,,,,"4,488,960","340,785,204","44,538,001","90,997,238","90,997,238","3,238,979,248","90,997,238",,,,,,,,,"1,879,988,907","56,708,022",
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"105,734,790,048","94,936,790,048","94,461,554,375",,"94,502,370,911","91,785,445,508","97,122,035,082","103,655,556,521","93,734,572,410","91,134,921,139","88,942,448,740","70,764,354,065","78,441,772,515","159,149,805,018","161,246,883,863","160,729,301,440","164,081,789,771","159,516,507,553","161,276,717,431","151,646,102,871","147,505,988,625","144,184,873,388","142,260,594,736",
I. Các khoản phải thu dài hạn,"5,856,016,000","5,856,016,000","5,832,016,000",,"5,866,619,695","5,862,319,695","5,829,069,695","5,829,069,695","5,827,118,000","5,881,858,000","5,836,308,000","971,667,454","46,440,000","35,440,000","35,440,000","1,333,676,000","1,320,169,600","1,279,564,800","6,097,926,589","2,783,210,589","1,255,617,500","1,403,655,200","1,413,655,200",
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,"20,000,000","20,000,000","20,000,000",,"20,000,000","15,000,000","15,000,000","15,000,000","15,000,000","10,000,000","10,000,000",,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,"60,000,000","60,000,000","60,000,000","4,878,361,789","1,558,645,789",,,,
6. Phải thu dài hạn khác,"5,836,016,000","5,836,016,000","5,812,016,000",,"5,846,619,695","5,847,319,695","5,814,069,695","5,814,069,695","5,812,118,000","5,871,858,000","5,826,308,000","971,667,454","46,440,000","35,440,000","35,440,000","1,273,676,000","1,260,169,600","1,219,564,800","1,219,564,800","1,224,564,800","1,255,617,500","1,403,655,200","1,413,655,200",
7. Dự phòng phải thu dài hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
II.Tài sản cố định,"65,924,417,463","64,956,589,257","63,901,795,310",,"63,797,209,028","62,737,642,827","61,607,617,775","68,087,377,369","59,295,501,937","58,469,448,234","57,420,828,302","62,407,233,645","70,501,250,964","71,555,462,495","71,156,646,056","72,317,890,040","69,883,251,705","68,095,272,390","71,763,700,683","71,198,033,479","71,458,145,849","70,205,279,452","68,636,837,050",
