quarter,P,EPS,D/E,P/E,SIZE
2019Q1,51.49865153578461,,,,
2019Q2,52.90693168034629,,,,
2019Q3,54.28696149587631,,,,
2019Q4,54.50550198554993,,,,
2020Q1,54.79644363157211,,,,
2020Q2,55.15331244090247,,,,
2020Q3,56.560820519924164,,,,
2020Q4,56.68695330619812,,,,
2021Q1,56.97828918206887,,,,
2021Q2,57.226908608088415,,,,
2021Q3,57.57857805490494,,,,
2021Q4,57.31475019454956,,,,
2022Q1,55.72785512862667,,,,
2022Q2,52.527618654312626,,,,
2022Q3,52.891381204128265,,,,
2022Q4,52.11521572536893,,,,
2023Q1,53.6191473314839,,,,
2023Q2,53.990927726991714,,,,
2023Q3,53.615880512055895,,,,
2023Q4,53.53640680464487,,,,
2024Q1,55.6828878433978,,,,
2024Q2,55.288130502852184,,,,
2024Q3,56.35422933101654,,,,
2024Q4,56.683690570649645,,,,
