,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"931,856,937,524","1,179,758,561,682","1,070,108,464,635","1,161,230,989,683",,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,"561,644,359","2,460,073,704","372,280,495","2,221,544,348",,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"931,295,293,165","1,177,298,487,978","1,069,736,184,140","1,159,009,445,335",,,,,,,,,,,,,,,,,,,,
4. Giá vốn hàng bán,"720,986,791,043","902,229,429,441","819,292,268,029","905,035,946,378",,,,,,,,,,,,,,,,,,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"210,308,502,122","275,069,058,537","250,443,916,111","253,973,498,957",,,,,,,,,,,,,,,,,,,,
6. Doanh thu hoạt động tài chính,"510,259,817","10,948,683,784","9,727,201,993","15,935,174,044",,,,,,,,,,,,,,,,,,,,
7. Chi phí tài chính,"22,491,363,391","30,501,028,132","27,817,446,625","30,161,188,194",,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay,"38,404,854","31,331,252","31,188,959","24,249,285",,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,"239,235,513","1,169,798,001","88,330,051",,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"57,238,319,168","66,914,307,280","73,949,785,270","72,249,914,957",,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,"17,451,396,149","40,665,788,068","10,225,510,793","48,361,627,713",,,,,,,,,,,,,,,,,,,,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"113,637,683,231","148,175,854,354","149,348,173,417","119,224,272,188",,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,"218,262,115","484,027,706","83,910,798","187,186,477",,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,"3,883,192","83,940,161","19,587,525","184,079,180",,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),"214,378,923","400,087,545","64,323,273","3,107,297",,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"113,852,062,154","148,575,941,899","149,412,496,690","119,227,379,485",,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,"23,501,322,709","29,440,467,911","28,947,398,190","27,759,419,227",,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,"-731,122,434","226,873,366","460,060,012","-3,093,243,349",,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"91,081,861,879","118,908,600,622","120,005,038,488","94,561,203,607",,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,"91,081,861,879","118,908,600,622","120,005,038,488","94,561,203,607",,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),"1,113","1,453","1,466","1,155",,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),"1,113","1,453","1,466","1,155",,,,,,,,,,,,,,,,,,,,
