quarter,P,EPS,D/E,P/E,SIZE
2019Q1,51.4986490968798,,,,
2019Q2,52.90692937941778,,,,
2019Q3,54.28695887327194,,,,
2019Q4,54.50550192594528,,,,
2020Q1,54.79644043214859,,,,
2020Q2,55.15331219869947,,,,
2020Q3,56.56082087755203,,,,
2020Q4,56.686953127384186,,,,
2021Q1,56.97828768120437,,,,
2021Q2,57.22690788147941,,,,
2021Q3,57.57857829332352,,,,
2021Q4,57.314752638339996,,,,
2022Q1,55.72785549779092,,,,
2022Q2,52.527619208059,,,,
2022Q3,52.89138221740723,,,,
2022Q4,52.115216633630176,,,,
2023Q1,53.61914843897666,,,,
2023Q2,53.990927296300086,,,,
2023Q3,53.615880027649894,,,,
2023Q4,53.53640765235538,,,,
2024Q1,55.68289072005475,,,,
2024Q2,55.28813020009843,,,,
2024Q3,56.3542286157608,,,,
2024Q4,56.68368972293914,,,,
