quarter,P,EPS,D/E,P/E,SIZE
2019Q1,103.34839755198995,,,,
2019Q2,108.62417747860863,,,,
2019Q3,119.57768654823303,,,,
2019Q4,120.41711866855621,,,,
2020Q1,129.58101592525358,,,,
2020Q2,143.71968635680184,,,,
2020Q3,145.29892349243164,,,,
2020Q4,139.57742619514465,,,,
2021Q1,127.83203612780962,,,,
2021Q2,123.52865649026538,,,,
2021Q3,131.9919786453247,,,,
2021Q4,131.5359344482422,,,,
2022Q1,123.53519956527218,,,,
2022Q2,105.94990084248204,,,,
2022Q3,101.86994242668152,,,,
2022Q4,91.83578648642889,,,,
2023Q1,96.03434470392042,,,,
2023Q2,95.93035298009073,,,,
2023Q3,89.60511234828404,,,,
2023Q4,85.09166765969897,,,,
2024Q1,89.87199989694064,,,,
2024Q2,87.43988194541326,,,,
2024Q3,93.46749269962311,,,,
2024Q4,90.20025646875776,,,,
