quarter,P,EPS,D/E,P/E,SIZE
2019Q1,151.93505546694897,0.26597449052674627,0.520284685306022,571.2392010453741,28.11763739586603
2019Q2,175.02771722702752,0.3688030062623571,0.655141154068058,474.5832172054401,28.18813218811391
2019Q3,163.07719206809998,0.09795122728235216,0.5305204646856584,1664.881559860573,28.12007693236451
2019Q4,167.16341304779053,0.4152799228384076,0.6104871840995318,402.5318919952618,28.228517823460496
2020Q1,165.22105776879096,,,,
2020Q2,152.4485316200862,,,,
2020Q3,181.6623523235321,,,,
2020Q4,206.71983671188354,,,,
2021Q1,231.07010713170786,,,,
2021Q2,252.7236054435609,,,,
2021Q3,235.7242202758789,,,,
2021Q4,257.7013554573059,,,,
2022Q1,255.38764190673828,,,,
2022Q2,228.67274647374308,,,,
2022Q3,225.01202988624573,,,,
2022Q4,222.57521129789808,,,,
2023Q1,218.82437035345262,,,,
2023Q2,202.19818804340977,,,,
2023Q3,206.98589264400422,,,,
2023Q4,202.0675053672185,,,,
2024Q1,240.06864453925462,,,,
2024Q2,226.39021979437933,,,,
2024Q3,235.26513695716858,,,,
2024Q4,251.1701386466859,,,,
