quarter,P,EPS,D/E,P/E,SIZE
2019Q1,51.49865184846472,,,,
2019Q2,52.90693028767904,,,,
2019Q3,54.286960542201996,,,,
2019Q4,54.505500972270966,,,,
2020Q1,54.79644252407935,,,,
2020Q2,55.153311350988965,,,,
2020Q3,56.560820043087006,,,,
2020Q4,56.68695384263992,,,,
2021Q1,56.97829218379787,,,,
2021Q2,57.22690891084217,,,,
2021Q3,57.57857793569565,,,,
2021Q4,57.31475073099136,,,,
2022Q1,55.72785672833842,,,,
2022Q2,52.52761877736738,,,,
2022Q3,52.891382455825806,,,,
2022Q4,52.11521584647043,,,,
2023Q1,53.61914905425041,,,,
2023Q2,53.99092748088221,,,,
2023Q3,53.61588033040365,,,,
2023Q4,53.53640819731213,,,,
2024Q1,55.68288953187036,,,,
2024Q2,55.28813141111343,,,,
2024Q3,56.354229271411896,,,,
2024Q4,56.683690207345144,,,,
