quarter,P,EPS,D/E,PE
2019Q1,24.172362030529584,,1.080946724527247,
2019Q2,25.195566601223415,,1.0783860857318741,
2019Q3,26.600336581468582,,1.0819054646690847,
2019Q4,26.71992063522339,,1.0781242786625695,
2020Q1,27.04966083649666,,,
2020Q2,27.122962709457155,,,
2020Q3,28.655062645673752,,,
2020Q4,28.539569526910782,,,
2021Q1,28.51273971307473,,,
2021Q2,28.48626182192848,,,
2021Q3,29.4325148165226,,,
2021Q4,29.134154349565506,,,
2022Q1,27.73196275772587,,,
2022Q2,25.0022367969636,,,
2022Q3,24.642839521169662,,,
2022Q4,23.296206489441886,,,
2023Q1,24.428006848981305,,,
2023Q2,24.737298011779785,,,
2023Q3,24.264456098041837,,,
2023Q4,24.170475581335644,,,
2024Q1,25.343834048411885,,,
2024Q2,25.262401611085924,,,
2024Q3,26.475651621818542,,,
2024Q4,26.28544571286156,,,
