quarter,P,EPS,D/E,PE
2019Q1,20512.29508196721,,1.1265472249368622,
2019Q2,18903.174603174604,,1.123044948127625,
2019Q3,19789.84375,,1.1274330590474317,
2019Q4,21059.016393442624,,1.1260237966728512,
2020Q1,23543.548387096773,,,
2020Q2,22024.603174603173,,,
2020Q3,22325.0,,,
2020Q4,26314.84375,,,
2021Q1,39039.34426229508,,,
2021Q2,61404.76190476191,,,
2021Q3,60661.692138671875,,,
2021Q4,36187.88757324219,,,
2022Q1,35670.833333333336,,,
2022Q2,,,,
2022Q3,,,,
2022Q4,,,,
2023Q1,,,,
2023Q2,,,,
2023Q3,,,,
2023Q4,,,,
2024Q1,,,,
2024Q2,,,,
2024Q3,,,,
2024Q4,,,,
