,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"15,000,000","14,596,000,000","43,369,000,000","74,561,000,000","12,388,000,000","64,290,000,000","83,688,000,000","9,162,000,000","269,000,000","102,909,000,000","3,218,000,000","136,347,000,000","1,871,000,000","125,682,000,000","236,691,000,000","58,227,000,000","501,000,000","44,864,000,000","48,986,000,000","4,122,140,277","21,800,402,031",,"4,362,481,128","40,067,614,357"
4. Giá vốn hàng bán,"465,000,000",,"518,000,000","519,000,000","72,000,000",,"1,558,000,000","-305,000,000","14,000,000","42,000,000","479,000,000","109,000,000","63,000,000",,"57,795,000,000","13,689,000,000",,"121,000,000","327,000,000","205,294,041","318,253,563",,"249,600,000","-8,280,068"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,"28,062,770,381","33,200,828,284",,"45,764,893,354","35,512,803,433"
6. Doanh thu hoạt động tài chính,"59,353,000,000","28,834,000,000","165,136,000,000","228,648,000,000","90,223,000,000","-3,392,000,000","152,836,000,000","74,970,000,000","117,844,000,000","30,367,000,000","89,384,000,000","92,495,000,000","144,751,000,000","19,283,000,000","242,691,000,000","123,096,000,000","85,350,000,000","160,086,000,000","275,215,000,000","115,130,007,523","131,126,491,388",,"180,800,783,592","131,008,378,116"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay,237,116,661,915,361,-13,535,287,445,115,293,287,449,58,713,335,236,443,761,318,181,,249,167
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,"227,742,320,591","423,011,779,167",,"362,346,254,054","327,087,331,339"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,"115,130,007,523","131,126,491,388",,"180,800,783,592","131,008,378,116"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
