TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"255,421,238,609","253,280,252,886","254,239,456,354","258,530,352,829","209,326,217,383","213,804,842,141","249,164,617,083","258,319,984,484","241,580,213,905","255,857,648,069","278,745,863,099","295,336,129,343","29,008,503,784,700","379,427,247,158","372,777,630,033","299,925,829,753","288,785,865,113","327,971,628,855","259,101,744,861","337,587,701,029","357,291,771,241","350,387,559,901","402,231,964,997","438,491,675,489"
I. Tiền và các khoản tương đương tiền,"33,532,025,439","27,394,991,680","51,358,161,971","24,874,938,365","10,171,796,006","17,649,100,466","38,532,703,800","55,135,132,696","38,412,263,289","44,859,176,640","59,879,246,118","68,066,068,838","8,015,518,259,700","111,753,022,185","144,679,985,599","127,303,560,011","60,472,700,211","106,657,454,136","46,500,445,758","11,064,446,214","56,255,644,556","3,853,541,933","13,173,097,763","57,554,981,757"
1. Tiền,"33,532,025,439","27,394,991,680","36,358,161,971","14,874,938,365","4,721,796,006","12,649,100,466","34,032,703,800","52,135,132,696","29,912,263,289","36,359,176,640","51,379,246,118","49,566,068,838","6,865,518,259,700","101,247,937,253","134,160,197,571","91,765,216,995","58,410,891,134","88,841,438,035","46,500,445,758","11,064,446,214","23,338,644,556","3,853,541,933","13,173,097,763","57,554,981,757"
2. Các khoản tương đương tiền,,,"15,000,000,000","10,000,000,000","5,450,000,000","5,000,000,000","4,500,000,000","3,000,000,000","8,500,000,000","8,500,000,000","8,500,000,000","18,500,000,000","1,150,000,000,000","10,505,084,932","10,519,788,028","35,538,343,016","2,061,809,077","17,816,016,101",,,"32,917,000,000",,,
II. Các khoản đầu tư tài chính ngắn hạn,"40,217,151,855","40,217,151,855","24,217,151,855","24,217,151,855","8,717,151,855","8,717,151,855","7,217,151,855","8,717,151,855","217,151,855","217,151,855","29,454,855","29,454,855","2,945,485,500","48,029,454,855","48,029,454,855","15,029,454,855","61,785,454,855","56,053,454,855","88,102,454,855","145,434,454,855","108,007,454,855","154,194,454,855","196,405,454,855","213,626,183,102"
1. Chứng khoán kinh doanh,"217,151,855","217,151,855","217,151,855","217,151,855","217,151,855","217,151,855","217,151,855","217,151,855","217,151,855","217,151,855","29,454,855","29,454,855","2,945,485,500","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855","29,454,855"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"40,000,000,000","40,000,000,000","24,000,000,000","24,000,000,000","8,500,000,000","8,500,000,000","7,000,000,000","8,500,000,000",,,,,,"48,000,000,000","48,000,000,000","15,000,000,000","61,756,000,000","56,024,000,000","88,073,000,000","145,405,000,000","107,978,000,000","154,165,000,000","196,376,000,000","213,596,728,247"
III. Các khoản phải thu ngắn hạn,"48,850,461,693","45,152,224,022","36,587,763,844","45,504,389,848","39,739,421,253","52,955,445,927","52,252,018,142","37,928,335,018","39,892,597,716","40,227,312,467","37,744,714,479","49,004,070,602","5,838,258,502,500","70,477,177,237","48,070,680,953","42,937,688,322","58,093,172,169","53,243,196,991","37,597,837,734","88,063,011,151","93,670,338,687","72,363,623,627","83,062,459,424","56,562,314,282"
1. Phải thu ngắn hạn của khách hàng,"40,879,812,715","40,785,905,667","30,023,333,951","28,390,887,860","34,905,845,809","38,844,941,265","44,713,183,467","32,015,593,729","28,459,231,764","29,709,323,772","29,880,836,156","39,550,280,525","5,196,631,818,700","66,008,370,034","35,375,893,395","33,514,258,362","41,889,860,829","31,293,074,361","23,853,909,276","41,007,804,301","39,505,760,850","37,240,186,727","49,670,167,264","43,951,324,757"
2. Trả trước cho người bán ngắn hạn,"1,884,419,108","1,314,019,010","4,050,181,078","1,477,324,000","988,050,000","3,595,239,400","4,983,020,000","4,130,031,003","9,873,954,342","9,223,323,115","6,396,810,342","8,269,624,701","410,976,500,000","3,193,974,966","10,975,108,417","8,177,347,001","11,979,479,552","19,701,784,524","11,576,057,924","13,528,818,918","19,626,618,151","12,959,925,486","9,789,299,902","9,169,328,962"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,"30,000,000,000","30,000,000,000","20,000,000,000","20,000,000,000",
6. Phải thu ngắn hạn khác,"6,771,037,473","3,737,106,948","3,199,056,418","16,320,985,591","3,845,525,444","10,515,265,262","2,555,814,675","1,748,494,926","1,559,411,610","1,294,665,580","1,467,067,981","1,184,165,376","230,650,183,800","1,274,832,237","1,719,679,141","1,246,082,959","4,223,831,788","2,248,338,106","2,167,870,534","3,526,387,932","4,537,959,686","2,163,511,414","3,602,992,258","3,441,660,563"
7. Dự phòng phải thu ngắn hạn khó đòi,"-684,807,603","-684,807,603","-684,807,603","-684,807,603",,,,,,,,,,,,,,,,,,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,"34,215,360",,,,,,,,,,,,,,,,
IV. Hàng tồn kho,"127,414,950,993","136,071,088,388","137,847,178,805","162,287,219,983","149,539,939,438","133,624,001,847","149,971,883,942","154,960,169,508","161,620,229,787","168,717,606,938","179,911,264,783","176,659,207,314","14,964,721,446,200","147,224,236,315","128,915,852,594","108,132,084,463","104,694,889,084","108,533,085,118","84,844,376,654","91,616,087,602","94,889,739,438","115,091,296,558","103,386,353,146","108,902,455,756"
1. Hàng tồn kho,"130,372,785,071","143,560,273,078","149,987,187,282","177,861,794,833","166,312,118,579","150,428,033,118","169,825,915,213","173,769,183,361","178,829,243,640","186,070,987,419","196,204,645,264","188,113,294,039","16,309,676,815,500","169,672,972,958","165,518,405,100","155,534,759,622","152,097,564,243","153,097,933,392","130,159,224,928","136,816,525,933","140,090,177,769","159,061,685,981","147,356,742,569","153,774,628,051"
2. Dự phòng giảm giá hàng tồn kho,"-2,957,834,078","-7,489,184,690","-12,140,008,477","-15,574,574,850","-16,772,179,141","-16,804,031,271","-19,854,031,271","-18,809,013,853","-17,209,013,853","-17,353,380,481","-16,293,380,481","-11,454,086,725","-1,344,955,369,300","-22,448,736,643","-36,602,552,506","-47,402,675,159","-47,402,675,159","-44,564,848,274","-45,314,848,274","-45,200,438,331","-45,200,438,331","-43,970,389,423","-43,970,389,423","-44,872,172,295"
