TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"759,355,405,901","672,144,038,947","777,176,850,433","656,523,822,492","628,010,701,566","735,896,614,859","1,134,518,803,559","924,494,801,920","956,755,313,406","942,266,949,122","1,376,886,375,005","986,767,899,232","849,725,625,562","998,959,675,772","1,378,000,612,634","1,096,657,140,864","910,401,215,560","1,293,621,180,574","1,852,841,579,037","1,602,476,975,698","1,356,460,881,118","1,758,295,853,628","2,320,241,866,959",
I. Tiền và các khoản tương đương tiền,"12,039,814,085","33,943,183,693","20,316,348,646","32,764,138,708","54,584,643,321","25,773,961,483","51,784,500,630","33,929,840,038","49,672,189,054","48,949,770,092","23,824,224,617","44,637,749,000","26,791,384,559","47,655,109,783","27,555,072,283","16,661,585,645","40,958,931,394","129,971,060,713","32,384,826,819","61,218,609,271","37,141,538,995","62,833,208,490","73,119,486,991",
1. Tiền,"8,030,981,209","32,943,183,693","20,316,348,646","24,964,138,708","42,384,643,321","21,049,084,934","44,919,655,124","22,493,432,108","40,686,199,867","39,544,847,041","15,405,783,370","37,125,216,062","13,277,141,995","36,045,823,193","14,662,814,317","9,746,243,839","28,826,644,188","33,445,471,787","14,494,806,318","7,930,000,110","20,372,439,415","37,984,140,460","31,943,220,209",
2. Các khoản tương đương tiền,"4,008,832,876","1,000,000,000",,"7,800,000,000","12,200,000,000","4,724,876,549","6,864,845,506","11,436,407,930","8,985,989,187","9,404,923,051","8,418,441,247","7,512,532,938","13,514,242,564","11,609,286,590","12,892,257,966","6,915,341,806","12,132,287,206","96,525,588,926","17,890,020,501","53,288,609,161","16,769,099,580","24,849,068,030","41,176,266,782",
II. Các khoản đầu tư tài chính ngắn hạn,,"30,000,000,000",,,"100,000,000",,,,,,"3,092,000,000","3,114,618,192","1,004,196,700","1,237,366,487",,"9,000,000,000","38,500,000,000","29,500,000,000","17,000,000,000","39,700,000,000","47,115,000,000","40,515,000,000","75,509,938,341",
1. Chứng khoán kinh doanh,,,,,,,,,,,,,"1,004,196,700","1,237,366,487",,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,"30,000,000,000",,,"100,000,000",,,,,,"3,092,000,000","3,114,618,192",,,,"9,000,000,000","38,500,000,000","29,500,000,000","17,000,000,000","39,700,000,000","47,115,000,000","40,515,000,000","75,509,938,341",
III. Các khoản phải thu ngắn hạn,"385,212,967,182","338,948,246,963","307,293,462,885","361,329,957,626","284,179,245,349","320,916,198,687","387,705,767,158","368,967,714,688","412,679,494,016","283,616,520,309","326,206,560,317","284,687,456,201","273,451,553,085","144,611,733,039","260,947,135,609","333,216,621,504","366,853,472,190","434,450,891,781","305,166,343,901","415,155,490,944","339,631,619,343","245,115,582,555","193,539,315,171",
1. Phải thu ngắn hạn của khách hàng,"71,733,818,930","131,805,256,153","141,106,333,594","84,414,859,966","41,252,047,658","83,310,860,013","214,777,702,132","159,820,055,305","101,096,392,881","109,179,776,958","252,374,893,806","170,007,859,130","111,266,159,139","94,072,669,567","129,258,703,280","155,921,459,037","131,426,516,403","180,487,963,073","206,057,753,291","240,637,748,418","77,224,965,819","113,311,073,507","122,696,248,664",
