,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"329,802,867,462","828,124,566,440","489,217,568,407","624,819,355,586","337,604,507,669","592,126,606,170","664,878,604,023","506,197,968,656","545,362,587,773","577,640,482,994","456,931,273,366","645,374,660,710","751,963,615,296","760,982,571,180","841,852,102,480","896,217,889,847","755,514,027,869","781,015,353,866","790,088,707,595","1,232,519,586,474","1,050,461,072,326","949,028,927,746","965,814,940,132","842,354,004,043"
2. Các khoản giảm trừ doanh thu,"11,462,769,311","95,148,375,682","35,808,886,015","59,990,931,837","20,884,360,999","68,560,516,867","42,197,119,386","55,853,841,338","40,534,752,073","43,754,659,136","30,613,799,516","33,428,958,724","52,792,428,974","116,183,499,097","55,526,945,720","49,640,311,860","64,697,981,508","108,561,907,713","48,402,676,403","73,225,138,890","84,653,857,000","98,174,994,652","80,594,847,000","46,630,913,000"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"318,340,098,151","732,976,190,758","453,408,682,392","564,828,423,749","316,720,146,670","523,566,089,303","622,681,484,637","450,344,127,318","504,827,835,700","533,885,823,858","426,317,473,850","611,945,701,986","699,171,186,322","644,799,072,083","786,325,156,760","846,577,577,987","690,816,046,361","672,453,446,153","741,686,031,192","1,159,294,447,584","965,807,215,326","850,853,933,094","885,220,093,132","795,723,091,043"
4. Giá vốn hàng bán,"224,263,330,039","549,904,494,791","333,661,998,179","459,309,459,596","226,801,210,370","387,598,671,021","418,882,817,697","320,040,964,316","396,167,578,235","407,039,322,972","319,502,766,938","445,349,036,438","545,958,878,301","483,035,536,713","603,469,118,914","634,399,371,157","552,647,139,562","491,356,166,819","567,087,618,430","872,377,525,583","735,256,212,463","651,997,150,562","614,105,455,866","585,293,166,848"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"94,076,768,112","183,071,695,967","119,746,684,213","105,518,964,153","89,918,936,300","135,967,418,282","203,798,666,940","130,303,163,002","108,660,257,465","126,846,500,886","106,814,706,912","166,596,665,548","153,212,308,021","161,763,535,370","182,856,037,846","212,178,206,830","138,168,906,799","181,097,279,334","174,598,412,762","286,916,922,001","230,551,002,863","198,856,782,532","271,114,637,266","210,429,924,195"
6. Doanh thu hoạt động tài chính,"5,635,964,278","7,580,765,748","5,378,215,394","10,349,867,047","8,738,489,088","9,934,164,801","3,413,515,365","4,800,219,716","7,342,188,826","7,148,502,508","12,617,821,873","8,635,029,441","13,233,184,233","12,178,554,536","15,587,337,862","15,289,445,620","13,968,337,983","18,032,050,630","21,133,390,542","19,078,550,754","15,590,687,861","19,427,019,120","20,350,311,796","72,756,751,114"
7. Chi phí tài chính,"4,992,652,424","7,700,565,956","6,050,431,033","9,193,084,313","10,407,446,047","6,473,800,406","6,796,623,454","8,595,868,396","9,059,992,716","7,165,903,775","3,892,410,236","9,164,869,922","8,829,353,174","5,532,129,697","11,818,795,662","11,439,279,147","7,376,370,061","13,096,446,270","11,212,628,326","10,219,372,265","6,600,196,277","14,405,255,151","77,056,088,054","8,940,174,557"
- Trong đó: Chi phí lãi vay,"3,580,800,285","5,041,215,531","1,671,930,328","3,178,147,976","7,672,835,774","3,480,524,049","-279,271,862","1,323,061,893","2,713,934,592","845,374,504","1,010,248,406","925,016,715","1,589,476,347","1,993,989,353","3,529,596,755","2,513,242,974","2,340,501,050","6,559,330,115","3,121,642,321","5,729,824,648","2,174,660,006","2,030,679,976","758,139,172","1,139,801,937"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,"168,701,347,473",
9. Chi phí bán hàng,"57,719,095,222","106,951,570,519","66,313,888,375","49,775,127,947","46,987,222,586","87,421,219,312","129,567,525,107","74,393,160,901","52,571,441,130","66,691,761,712","59,690,413,788","94,006,331,533","81,523,983,800","80,215,877,191","104,647,452,327","124,309,724,351","58,962,708,994","102,178,885,286","87,636,190,408","104,057,364,377","117,891,226,849","75,211,001,546","165,727,614,561","80,383,941,342"
10. Chi phí quản lý doanh nghiệp,"7,952,144,088","10,560,873,751","11,758,246,967","9,715,563,302","9,036,762,480","5,473,672,724","12,287,519,517","9,971,226,532","13,059,444,490","6,631,110,880","7,614,668,955","10,676,005,739","11,237,656,317","14,182,792,858","9,440,040,836","8,130,756,264","15,321,128,186","13,378,908,440","13,039,967,099","39,807,804,426","24,070,529,997","15,715,633,294","12,067,690,449","42,099,518,812"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"29,048,840,656","65,439,451,489","41,002,333,232","47,185,055,638","32,225,994,275","46,532,890,641","58,560,514,227","42,143,126,889","41,311,567,955","53,506,227,027","48,235,035,806","61,384,487,795","64,854,498,963","74,011,290,160","72,537,086,883","83,587,892,688","70,477,037,542","70,475,089,968","83,843,017,470","151,910,931,687","97,579,737,601","112,951,911,661","205,314,903,471","151,763,040,599"
12. Thu nhập khác,"132,437,421","475,633,876","672,883,651","148,370,657","204,301,891","311,989,730","53,103,996","52,282,297,218","457,304,437","2,556,313,991","1,245,922,094","826,277,468","492,553,183","559,839,572","3,440,468,268","1,054,290,664","9,853,825","987,951,257","268,709,923","501,176,948","1,244,103,030","1,820,425,263","3,329,567,734","1,135,319,671"
13. Chi phí khác,"1,943,553,514","336,214,915","1,655,181,291","2,863,428,713","1,025,134,063","2,033,069,070","734,269,435","20,213,138,288","1,228,955,787","277,662,445","176,996,556","1,332,620,811","306,337,670","310,531,865","1,299,665,021","679,201,323","462,926,803","433,877,018","917,555,140","1,148,041,718","317,414,210","761,652,205","3,650,721,863","690,041,965"
14. Lợi nhuận khác(40=31-32),"-1,811,116,093","139,418,961","-982,297,640","-2,715,058,056","-820,832,172","-1,721,079,340","-681,165,439","32,069,158,930","-771,651,350","2,278,651,546","1,068,925,538","-506,343,343","186,215,513","249,307,707","2,140,803,247","375,089,341","-453,072,978","554,074,239","-648,845,217","-646,864,769","926,688,820","1,058,773,058","-321,154,129","445,277,706"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"27,237,724,563","65,578,870,450","40,020,035,592","44,469,997,582","31,405,162,103","44,811,811,301","57,879,348,788","74,212,285,819","40,539,916,605","55,784,878,573","49,303,961,344","60,878,144,452","65,040,714,476","74,260,597,867","74,677,890,130","83,962,982,029","70,023,964,564","71,029,164,207","83,194,172,253","151,264,066,917","98,506,426,421","114,010,684,719","204,993,749,342","152,208,318,305"
16. Chi phí thuế TNDN hiện hành,"6,705,708,674","12,698,797,380","7,639,460,953","9,679,628,519","6,702,842,513","8,971,682,307","13,701,674,121","11,877,062,488","8,293,904,506","11,141,537,881","9,468,239,729","12,027,374,298","12,961,010,917","14,773,721,318","14,344,424,181","18,246,984,436","14,331,515,664","14,286,529,882","16,832,774,340","35,593,514,354","19,818,383,528","23,446,297,874","10,735,086,829","33,218,157,096"
17. Chi phí thuế TNDN hoãn lại,"373,100,338","-837,667,371","-18,400,619","162,731,531","-122,966,375","156,191,658","-2,243,525,642","3,056,483,899",,,,,,,"577,580,438",,,,,"-933,410,732",,"9,044,395,747","271,924,196","2,567,757,182"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"20,158,915,551","53,717,740,441","32,398,975,258","34,627,637,532","24,825,285,965","35,683,937,336","46,421,200,309","59,278,739,432","32,246,012,099","44,643,340,692","39,835,721,615","48,850,770,154","52,079,703,559","59,486,876,549","59,755,885,511","65,715,997,593","55,692,448,900","56,742,634,325","66,361,397,913","116,603,963,295","78,688,042,893","81,519,991,098","193,986,738,317","116,422,404,027"
19. Lợi nhuận sau thuế công ty mẹ,"20,158,915,551","53,717,740,441","32,398,975,258","34,627,637,532","24,825,285,965","35,683,937,336","46,421,200,309","59,278,739,432","32,246,012,099","44,643,340,692","39,835,721,615","48,850,770,154","52,079,703,559","59,486,876,549","59,755,885,511","65,715,997,593","55,692,448,900","56,742,634,325","66,361,397,913","116,603,963,295","78,688,042,893","81,519,991,098","193,999,664,139","115,275,046,420"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,"-12,925,822","1,147,357,607"
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,"1,908","1,400"
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
