,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"139,289,143,151","229,717,469,805","98,493,537,749","203,860,390,637","140,129,287,224","138,349,116,639","89,621,816,926","100,178,764,022","36,770,467,119","113,660,397,818","63,407,411,116","112,134,940,476","45,883,100,108","145,023,429,367","49,940,487,030","74,454,326,701","53,350,885,962","99,886,906,565","69,121,814,796","94,167,686,233","70,316,717,278","126,701,282,245","79,088,610,863","118,940,713,314"
2. Các khoản giảm trừ doanh thu,"7,948,492,486","17,524,236,760","20,096,766,703","14,305,135,273","2,220,513,293","6,032,521,818","4,144,332,033","5,379,967,893","1,448,027,817","4,552,060,228","3,355,762,695","6,175,668,996","1,807,581,789","4,642,244,286","2,149,988,410","6,433,215,853","1,271,756,110","4,613,522,923","3,423,296,143","5,246,702,545","1,826,808,888","2,272,671,917","224,430,478","2,660,810,554"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"131,340,650,665","212,193,233,045","78,396,771,046","189,555,255,364","137,908,773,931","132,316,594,821","85,477,484,893","94,798,796,129","35,322,439,302","109,108,337,590","60,051,648,421","105,959,271,480","44,075,518,319","140,381,185,081","47,790,498,620","68,021,110,848","52,079,129,852","95,273,383,642","65,698,518,653","88,920,983,688","68,489,908,390","124,428,610,328","78,864,180,385","116,279,902,760"
4. Giá vốn hàng bán,"86,444,260,410","154,291,711,433","51,942,007,329","145,336,613,979","125,485,335,014","98,120,290,272","53,584,518,097","71,919,639,416","24,808,599,668","72,135,547,057","39,618,188,165","64,836,806,228","28,399,424,045","90,199,087,273","30,032,416,761","35,773,428,774","39,529,519,356","59,403,335,177","43,287,591,552","60,945,044,049","48,449,683,983","87,310,559,420","55,304,748,549","85,809,921,769"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"44,896,390,255","57,901,521,612","26,454,763,717","44,218,641,385","12,423,438,917","34,196,304,549","31,892,966,796","22,879,156,713","10,513,839,634","36,972,790,533","20,433,460,256","41,122,465,252","15,676,094,274","50,182,097,808","17,758,081,859","32,247,682,074","12,549,610,496","35,870,048,465","22,410,927,101","27,975,939,639","20,040,224,407","37,118,050,908","23,559,431,836","30,469,980,991"
6. Doanh thu hoạt động tài chính,"670,586,961","188,630,127","466,966,456","962,245,408","1,118,669,487","570,218,048","1,601,444,069","1,366,602,282","1,324,590,231","1,114,194,785","983,506,375","11,132,754,965","1,734,066,046","1,559,899,125","1,438,699,681","1,923,294,630","2,381,397,496","1,565,804,448","1,528,966,735","12,914,055,884","2,295,555,099","1,881,649,458","1,742,657,238","1,793,683,739"
7. Chi phí tài chính,"112,292,679","1,071,678,357","673,378,212","174,852,881","4,244,160","99,539,184","24,583,907",,"90,113,045","705,436,351","131,896,186","1,235,466,468","121,145,327","514,550,282","-7,649,933","196,508,533","299,640,388","1,645,612","320,995,440","238,705,282","224,261,420","1,158,832,001","859,464,068","581,872,547"
- Trong đó: Chi phí lãi vay,"56,008,164","1,046,665,252","644,789,482","89,386,303",,"94,014,886","5,003,227",,,,,,,,,,,,"253,091,313","234,742,326","175,548,144",,"876,015,383","539,878,140"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"7,102,084,518","11,316,414,764","6,233,073,925","9,160,819,209","4,090,711,799","7,487,100,677","6,132,798,413","9,112,122,985","2,410,802,605","10,428,558,279","5,662,108,017","9,804,334,720","5,290,119,922","11,094,268,452","4,884,560,874","6,491,609,961","4,619,637,157","9,334,544,861","6,024,111,445","5,632,838,216","5,969,724,818","6,000,211,567","6,081,802,463","7,735,022,446"
10. Chi phí quản lý doanh nghiệp,"11,171,478,128","13,022,188,205","7,788,867,599","13,527,020,354","5,096,591,534","8,412,395,648","8,547,921,247","8,032,633,591","5,037,604,369","8,812,792,682","5,187,608,847","11,075,491,925","4,964,958,355","13,217,804,630","5,111,010,444","12,734,801,628","4,045,332,785","6,658,479,982","8,849,087,288","15,795,323,165","7,794,495,166","9,597,566,872","9,058,320,633","11,132,176,047"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"27,181,121,891","32,679,870,413","12,226,410,437","22,318,194,349","4,350,560,911","18,767,487,088","18,789,107,298","7,101,002,419","4,299,909,846","18,140,198,006","10,435,353,581","30,139,927,104","7,033,936,716","26,915,373,569","9,208,860,155","14,748,056,582","5,966,397,662","21,441,182,458","8,745,699,663","19,223,128,860","8,347,298,102","22,243,089,926","9,302,501,910","12,814,593,690"
12. Thu nhập khác,"390,946,836","848,550,922","1,216,381,659","1,553,648,696","425,972,781","1,617,792,899","1,750,000","1,479,274,774","128,665,652","3,090,833,374","268,194,648","657,424,310","4,799,688,755","868,694,408","698,732,938","1,886,577,514","1,281,057,102","1,693,247,639","1,118,770,499","12,324,704,353","1,578,535,636","1,758,260,391","1,498,816,799","1,648,358,588"
13. Chi phí khác,"612,269,193","1,526,865,458","581,681,642","2,822,188,788","430,948,078","332,217,134","518,891,792","313,590,836","422,895,090","280,256,263","222,981,222","323,267,616","278,725,436","420,064,778","867,319,805","854,159,782","967,420,181","880,060,060","749,409,483","1,377,348,136","1,091,400,398","1,175,471,911","1,225,515,846","1,875,564,567"
