,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,613,479,269,411","1,808,593,521,146","2,026,665,949,453","2,518,035,873,216","1,332,995,843,467","1,895,287,778,313","2,718,800,210,708","2,604,373,027,177","1,731,886,393,800","2,333,809,151,238","2,606,786,777,255","3,619,956,428,976","3,027,769,900,367","3,410,498,250,786","3,673,445,833,716","3,998,277,938,494","2,635,356,593,084","2,961,654,146,576","3,808,397,549,195","4,356,535,576,958","3,590,217,933,582","3,575,823,444,986","5,193,337,489,895","4,411,364,347,958"
2. Các khoản giảm trừ doanh thu,"34,483,903,481","74,929,655,217","44,885,943,137","34,173,950,731","50,509,950,153","56,161,157,404","48,689,810,812","58,056,630,959","51,812,450,853","54,108,576,144","52,078,908,324","49,255,641,694","79,216,724,624","190,783,487,851","88,609,283,639","91,697,018,216","103,909,767,083","183,912,287,222","105,477,945,840","160,041,392,215","128,560,835,744","197,748,756,574","109,446,670,341","144,705,320,293"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"1,578,995,365,930","1,733,663,865,929","1,981,780,006,316","2,483,861,922,485","1,282,485,893,314","1,839,126,620,909","2,670,110,399,896","2,546,316,396,218","1,680,073,942,947","2,279,700,575,094","2,554,707,868,931","3,570,700,787,282","2,948,553,175,743","3,219,714,762,935","3,584,836,550,077","3,906,580,920,278","2,531,446,826,001","2,777,741,859,354","3,702,919,603,355","4,196,494,184,743","3,461,657,097,838","3,378,074,688,412","5,083,890,819,554","4,266,659,027,665"
4. Giá vốn hàng bán,"1,250,714,424,678","1,371,209,558,118","1,617,044,923,225","1,884,179,880,379","1,033,718,389,420","1,538,795,414,131","2,246,546,045,167","1,975,796,926,106","1,304,649,623,639","1,971,251,358,944","2,087,311,306,482","2,861,756,441,979","2,442,756,969,036","2,543,734,538,764","2,920,200,967,136","3,012,687,195,741","2,097,366,902,552","2,236,017,920,118","3,015,007,730,604","3,198,380,359,691","2,839,680,733,385","2,687,694,516,721","4,107,680,726,523","3,190,287,496,361"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"328,280,941,252","362,454,307,811","364,735,083,091","599,682,042,106","248,767,503,894","300,331,206,778","423,564,354,729","570,519,470,112","375,424,319,308","308,449,216,150","467,396,562,449","708,944,345,303","505,796,206,707","675,980,224,171","664,635,582,941","893,893,724,537","434,079,923,449","541,723,939,236","687,911,872,751","998,113,825,052","621,976,364,453","690,380,171,691","976,210,093,031","1,076,371,531,304"
6. Doanh thu hoạt động tài chính,"27,695,087,592","34,737,359,905","66,464,230,766","47,266,721,626","70,487,321,800","86,403,683,051","82,277,460,676","61,381,369,566","57,177,563,526","50,833,388,508","65,992,050,059","137,486,235,141","84,060,506,976","94,214,165,431","63,426,948,712","95,777,031,479","125,901,416,202","124,116,273,890","177,554,008,298","152,382,913,751","123,658,161,837","120,910,405,241","153,880,858,585","225,067,635,195"
7. Chi phí tài chính,"40,551,363,259","49,235,263,663","45,338,685,007","51,958,359,481","62,128,406,444","85,158,881,684","80,447,238,973","64,847,078,805","57,420,606,185","68,924,748,643","64,627,957,785","75,414,549,818","77,201,066,619","110,356,311,858","78,720,672,596","115,687,110,660","120,206,549,769","134,459,148,199","173,541,891,791","150,436,171,326","105,161,881,651","110,912,955,249","242,883,094,662","134,335,149,893"
- Trong đó: Chi phí lãi vay,"38,349,242,131","43,515,744,930","41,325,149,570","48,002,676,077","58,553,250,519","76,773,993,038","76,868,275,636","59,834,057,932","53,753,680,090","60,093,990,906","53,142,237,751","57,426,133,332","61,539,706,518","78,132,605,800","44,764,171,322","62,432,384,793","97,645,291,799","111,805,598,923","132,865,940,254","116,678,182,302","82,674,521,955","82,711,107,645","102,569,048,618","85,770,613,158"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","13,125,123,047","20,763,614,879","8,001,524,616","10,505,424,369","9,191,523,528","14,730,748,249","12,369,937,841","24,679,263,037","11,036,228,327","18,799,766,393","4,648,706,067","26,847,681,354",,"4,437,804,212","3,317,640,391","1,057,023,237","2,107,786,447","2,335,472,108","2,320,900,826","3,984,743,191","3,047,920,060","2,622,211,166","146,654,732,471",
9. Chi phí bán hàng,"123,290,189,210","123,379,706,971","167,241,943,969","241,268,620,705","117,726,173,938","92,858,528,454","239,254,587,146","201,857,631,327","213,572,531,543","52,300,742,100","293,972,784,398","172,782,087,632","268,839,429,834","233,778,149,391","332,754,568,775","385,015,192,100","175,989,358,025","188,768,675,876","343,365,997,830","355,407,804,551","285,929,098,631","278,370,311,148","528,639,916,825","419,702,329,925"
