quarter,P,EPS,D/E,P/E,SIZE
2019Q1,40.07899331264809,,,,
2019Q2,40.10180942595951,,,,
2019Q3,45.036723494529724,,,,
2019Q4,45.089217245578766,,,,
2020Q1,46.957928934404926,,,,
2020Q2,50.91948724171472,,,,
2020Q3,56.473982989788055,,,,
2020Q4,54.84924238920212,,,,
2021Q1,51.92540159381804,,,,
2021Q2,52.35334947374132,,,,
2021Q3,51.44841718673706,,,,
2021Q4,51.49084669351578,,,,
2022Q1,53.65428216995731,,,,
2022Q2,53.15266129278368,,,,
2022Q3,48.72738587856293,,,,
2022Q4,48.627441224597746,,,,
2023Q1,52.19113952038335,,,,
2023Q2,,,,,
2023Q3,,,,,
2023Q4,,,,,
2024Q1,,,,,
2024Q2,,,,,
2024Q3,,,,,
2024Q4,,,,,
