quarter,P,EPS,D/E,P/E,SIZE
2019Q1,38079.50819672131,-0.041954986780955224,1.828946563245178,-907627.7009818265,28.76996063204675
2019Q2,36654.76190476191,-0.010155273995515695,1.7238843933748829,-3609431.111454767,28.72636744780307
2019Q3,26265.625,0.01122186140629463,1.7629125832790418,2340576.491638628,28.74082302473532
2019Q4,28743.44262295082,-0.08432985063677408,1.7664485953863793,-340845.411273817,28.692124771722312
2020Q1,15296.233229114163,,,,
2020Q2,14052.063492063493,,,,
2020Q3,10553.4375,,,,
2020Q4,6972.34375,,,,
2021Q1,12260.655737704918,,,,
2021Q2,24700.0,,,,
2021Q3,35425.78125,,,,
2021Q4,36638.28125,,,,
2022Q1,47543.055555555555,,,,
2022Q2,,,,,
2022Q3,,,,,
2022Q4,,,,,
2023Q1,,,,,
2023Q2,,,,,
2023Q3,24503.409090909092,,,,
2023Q4,16442.372881355932,,,,
2024Q1,14669.827586206897,,,,
2024Q2,13776.923076923076,,,,
2024Q3,13050.925925925925,,,,
2024Q4,10968.518518518518,,,,
