TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"691,463,978,538","674,091,382,088","657,321,234,477","537,780,692,996","662,086,751,216","631,120,748,814","578,596,423,419","585,746,067,225","668,170,334,674","674,070,111,417","690,845,191,446","636,593,977,961","612,672,592,265","678,755,864,661","829,135,990,784","731,112,389,185","938,422,667,169","825,897,792,175","782,156,172,593","676,696,949,251","608,386,929,048",,"543,145,498,546","501,012,788,752"
I. Tiền và các khoản tương đương tiền,"30,055,108,142","32,043,151,077","60,500,777,774","39,853,982,745","68,045,330,966","41,647,035,684","6,361,418,527","45,410,538,636","28,582,320,382","31,485,191,005","34,592,377,853","179,796,711,341","57,046,975,492","36,605,960,641","21,476,440,337","144,784,955,422","110,329,756,807","28,432,111,243","26,811,150,247","194,312,065,086","88,179,496,017",,"124,167,892,072","206,412,400,685"
1. Tiền,"30,055,108,142","32,043,151,077","60,500,777,774","39,853,982,745","68,045,330,966","41,647,035,684","6,361,418,527","45,410,538,636","28,582,320,382","31,485,191,005","34,592,377,853","179,796,711,341","57,046,975,492","36,605,960,641","21,476,440,337","144,784,955,422","110,329,756,807","28,432,111,243","26,811,150,247","194,312,065,086","88,179,496,017",,"24,167,892,072","56,412,400,685"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,"100,000,000,000","150,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,"14,944,878,053","15,369,120,000",,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,"14,944,878,053","15,369,120,000",,,
III. Các khoản phải thu ngắn hạn,"325,596,389,185","308,092,874,266","285,722,239,972","199,380,441,610","279,948,232,899","277,050,130,303","278,929,324,272","238,299,477,239","412,522,083,341","399,633,996,062","459,563,818,102","251,850,052,414","371,180,275,097","483,897,623,229","554,996,240,017","321,574,848,525","465,211,001,631","454,723,747,922","532,133,856,406","215,446,549,407","303,162,002,916",,"215,240,410,888","186,591,410,493"
1. Phải thu ngắn hạn của khách hàng,"287,355,023,759","261,619,182,023","258,611,016,452","146,133,037,738","225,082,989,556","220,179,888,235","230,826,620,016","196,610,780,555","357,706,854,029","352,368,889,217","408,169,489,488","207,420,481,582","316,788,730,326","444,548,317,922","516,705,296,205","313,948,737,368","454,978,723,707","448,309,715,720","527,440,963,312","214,555,729,441","293,547,255,030",,"195,760,162,207","166,820,988,504"
2. Trả trước cho người bán ngắn hạn,"2,549,717,221","2,208,285,157","1,718,284,682","1,620,074,723","2,064,073,220","2,767,839,453","3,568,698,943","2,369,333,781","12,169,959,005","5,682,594,292","3,251,334,820","1,325,544,661","12,841,599,054","1,469,144,890","461,545,406","1,764,905,906","718,055,906","930,506,056","1,390,187,706","325,677,406","8,810,565,840",,"18,260,876,125","20,124,303,816"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,"43,476,048,001","52,029,806,882","30,143,899,302","55,782,501,411","56,956,342,385","58,257,574,877","48,689,177,575","44,392,109,415","47,718,016,819","46,810,180,066","53,449,074,557","52,118,155,574","50,249,881,995","46,089,251,507","46,049,479,495","14,115,536,829","17,368,553,596","13,169,057,724","10,983,236,966","8,043,674,138","8,122,713,624",,"7,602,454,971","4,979,003,944"
