TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"9,435,439,546,881","8,079,391,856,899","8,140,856,041,531","7,211,005,790,138","7,098,887,779,637","7,653,000,437,488","7,392,336,456,051","9,024,961,395,512","8,877,609,524,962","13,733,317,766,343","17,185,925,377,274","18,657,838,120,711","15,114,221,429,127","14,591,971,133,403","15,654,951,286,538","9,827,500,099,350","9,036,741,034,953","10,374,601,160,740","11,264,579,472,802",,"12,957,015,813,515",,"14,221,597,021,261","14,164,602,164,794"
I. Tiền và các khoản tương đương tiền,"423,725,062,878","370,635,702,519","307,566,948,926","288,707,713,172","431,715,664,614","379,875,597,063","390,477,101,350","574,767,066,704","490,523,725,247","714,861,175,002","505,654,076,442","492,796,782,190","1,018,387,535,165","354,992,967,431","343,742,316,502","330,134,957,719","647,453,493,086","325,497,600,346","596,862,912,861",,"1,685,517,634,945",,"472,893,764,824","602,071,799,277"
1. Tiền,"378,095,665,749","342,742,180,644","254,423,427,051","288,564,191,297","408,165,664,614","364,345,350,488","364,163,306,432","546,734,145,565","452,743,373,640","676,196,101,620","468,312,329,084","461,926,662,510","545,247,966,061","332,003,030,923","288,503,620,579","312,367,302,226","630,614,146,661","309,847,600,346","576,792,912,861",,"1,673,307,634,945",,"462,441,130,192","597,436,771,510"
2. Các khoản tương đương tiền,"45,629,397,129","27,893,521,875","53,143,521,875","143,521,875","23,550,000,000","15,530,246,575","26,313,794,918","28,032,921,139","37,780,351,607","38,665,073,382","37,341,747,358","30,870,119,680","473,139,569,104","22,989,936,508","55,238,695,923","17,767,655,493","16,839,346,425","15,650,000,000","20,070,000,000",,"12,210,000,000",,"10,452,634,632","4,635,027,767"
II. Các khoản đầu tư tài chính ngắn hạn,"270,387,032","270,387,032","750,000,000","76,250,000,000","76,250,000,000","1,266,043,836","750,000,000","516,043,836","5,516,043,836","8,501,781,836","23,517,531,836","23,531,632,159","13,003,792,159","8,677,933,321","8,688,297,571","8,698,661,821","25,718,661,821","25,586,622,659","26,175,510,851",,"24,158,873,665",,"30,619,936,063","30,636,010,069"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"270,387,032","270,387,032","750,000,000","76,250,000,000","76,250,000,000","1,266,043,836","750,000,000","516,043,836","5,516,043,836","8,501,781,836","23,517,531,836","23,531,632,159","13,003,792,159","8,677,933,321","8,688,297,571","8,698,661,821","25,718,661,821","25,586,622,659","26,175,510,851",,"24,158,873,665",,"30,619,936,063","30,636,010,069"
III. Các khoản phải thu ngắn hạn,"1,937,920,131,874","1,761,554,868,981","1,568,448,002,145","1,327,686,977,653","1,318,391,135,054","1,315,974,471,262","1,497,170,937,083","2,024,273,013,463","2,795,071,756,371","2,988,496,402,055","3,765,465,221,700","4,534,902,423,539","2,677,648,274,356","1,922,179,465,858","1,997,647,760,820","1,459,728,693,533","1,654,958,606,890","2,171,821,838,507","2,327,615,355,705",,"2,415,132,142,076",,"2,422,009,430,690","2,985,835,289,953"
1. Phải thu ngắn hạn của khách hàng,"1,524,599,724,010","1,387,625,760,543","1,193,172,840,422","1,048,125,406,779","1,039,061,497,208","1,028,158,881,498","1,219,177,131,052","1,778,136,480,894","2,423,797,522,563","2,718,176,469,532","2,907,748,056,667","4,323,663,158,680","2,165,460,760,013","1,505,841,531,049","1,596,756,865,782","1,187,191,347,803","1,384,406,794,200","1,577,111,016,586","1,852,766,528,136",,"1,993,125,788,559",,"2,047,200,502,127","2,272,400,526,277"
