,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,956,268,026,821","2,976,999,285,806","3,083,939,349,476","3,206,852,856,788",,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,"12,827,200,248","13,255,124,196","15,449,739,431","5,730,540,359",,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"2,943,440,826,573","2,963,744,161,610","3,068,489,610,045","3,201,122,316,429",,,,,,,,,,,,,,,,,,,,
4. Giá vốn hàng bán,"2,944,683,462,802","2,851,250,131,666","2,967,564,136,003","3,071,550,519,011",,,,,,,,,,,,,,,,,,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"-1,242,636,229","112,494,029,944","100,925,474,042","129,571,797,418",,,,,,,,,,,,,,,,,,,,
6. Doanh thu hoạt động tài chính,"8,770,464,737","38,938,905,714","29,551,277,178","101,802,574,764",,,,,,,,,,,,,,,,,,,,
7. Chi phí tài chính,"53,513,786,848","84,520,946,519","64,988,820,295","144,091,158,965",,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay,"49,226,239,283","65,409,946,791","60,237,388,091","134,259,263,610",,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","-39,056,512,787","-57,706,871,317","-46,575,116,692",,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"17,055,390,535","17,508,179,731","18,176,426,267","66,905,139,058",,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,,,,"15,940,805,550",,,,,,,,,,,,,,,,,,,,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"-102,097,861,662","-8,303,061,909","736,387,966","4,437,268,609",,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,"296,596,606","180,034,802,429","13,757,891,304","3,519,056,018",,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,"178,219,272","548,311","1,409,391,036","684,137,346",,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),"118,377,334","180,034,254,118","12,348,500,268","2,834,918,672",,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"-101,979,484,328","171,731,192,209","13,084,888,234","7,272,187,281",,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,,,"42,393,419,864",,,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,"-368,606,898","36,151,345,326","-35,517,931,035","116,841,673",,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"-101,610,877,430","135,579,846,883","6,209,399,405","7,155,345,608",,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,"-101,610,877,430","135,579,846,883","6,209,399,405","7,155,345,608",,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
