,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"182,597,870,559","175,462,682,994","133,146,344,007","206,912,871,897","88,864,843,156","101,732,503,398","194,329,648,489","88,149,998,692","80,939,805,769","78,745,419,921",,"431,134,699,450","410,667,921,077","165,376,817,874","203,579,206,573","675,005,669,059","93,382,816,656","388,465,343,112","270,770,399,956","556,031,525,236","109,637,817,547","250,871,644,918","486,520,515,784","998,103,956,245"
2. Các khoản giảm trừ doanh thu,"1,776,476,692","1,302,824,383","473,784,791","1,766,164,871","717,578,684","158,280,156","1,877,029,924",,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"180,821,393,867","174,159,858,611","132,672,559,216","205,146,707,026","88,147,264,472","101,574,223,242","192,452,618,565","88,149,998,692","80,939,805,769","78,745,419,921",,"431,134,699,450","410,667,921,077","165,376,817,874","203,579,206,573","675,005,669,059","93,382,816,656","388,465,343,112","270,770,399,956","556,031,525,236","109,637,817,547","250,871,644,918","486,520,515,784","998,103,956,245"
4. Giá vốn hàng bán,"125,570,872,754","132,072,598,567","98,936,202,463","193,231,900,884","65,895,273,985","64,054,385,180","163,888,594,930","55,222,954,290","51,883,371,962","31,976,225,774",,"346,593,809,852","170,792,368,362","142,830,703,799","168,908,408,282","629,859,434,287","51,490,408,867","328,150,174,206","235,505,961,466","434,987,002,208","54,724,871,766","227,189,921,854","386,110,109,319","667,084,486,448"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"55,250,521,113","42,087,260,044","33,736,356,753","11,914,806,142","22,251,990,487","37,519,838,062","28,564,023,635","32,927,044,402","29,056,433,807","46,769,194,147",,"84,540,889,598","239,875,552,715","22,546,114,075","34,670,798,291","45,146,234,772","41,892,407,789","60,315,168,906","35,264,438,490","121,044,523,028","54,912,945,781","23,681,723,064","100,410,406,465","331,019,469,797"
6. Doanh thu hoạt động tài chính,"325,245,983","1,079,932,087","813,110,530","885,601,870","229,485,350","2,120,473,569","2,903,642,593","4,390,567,508","2,793,951,033","5,045,212,736",,"5,407,725,205","5,131,260,472","18,497,007,400","4,906,943,581","5,769,564,247","5,975,166,199","6,284,941,978","4,574,280,442","6,642,941,214","3,132,227,405","43,112,858,513","2,829,921,035","5,483,806,367"
7. Chi phí tài chính,"2,288,865,736","7,253,648,768","4,280,357,609","104,166,888","1,791,024,201","8,605,957,756","1,524,147,082","4,896,066,488","3,935,850,755","14,185,195,577",,"16,191,406,492","16,318,229,303","75,234,902,962","14,561,738,279","24,606,471,241","17,337,661,585","21,399,144,756","15,438,692,912","34,628,115,209","14,035,099,908","25,792,505,618","25,099,842,411","100,972,923,860"
- Trong đó: Chi phí lãi vay,"2,286,957,168","6,005,218,189","4,181,506,027","-13,925,541,561","2,187,899,207","7,990,499,291","1,517,405,082","2,890,278,259","4,416,974,660","13,590,208,153",,"16,190,614,928","16,318,229,303","18,550,088,185","14,598,468,618","24,594,414,768","17,700,642,660","21,055,817,093","15,440,675,742","32,290,287,509","14,035,099,908","25,384,044,956","19,739,044,784","100,875,561,934"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,"23,511,620","-36,338,092","-253,469,037","-25,769,590","1,800,648,954",,"-4,148,530,354","3,197,269,082","5,850,614,217","6,327,712,089","-9,813,238,676","1,675,870,056","3,347,240,851","1,715,035,280","86,887,063","1,987,706,407","1,656,967,560","147,635,618","2,503,827,175"
9. Chi phí bán hàng,"14,179,743,467","3,720,729,264","5,497,019,993","4,141,977,413","4,350,830,866","3,083,210,988","5,395,159,573","10,912,513,736","3,389,939,656","837,201,902",,"1,533,362,446","850,524,065","552,954,779","642,223,895","5,785,673,154","1,686,125,041","735,504,984","402,175,659","2,066,355,714","294,609,257","458,954,662","1,518,660,641","9,195,332,117"
10. Chi phí quản lý doanh nghiệp,"19,164,413,308","23,016,227,514","23,606,068,531","22,822,343,756","10,369,405,524","16,737,992,165","13,669,512,653","21,342,787,146","11,514,617,979","21,393,596,549",,"17,216,731,060","18,319,067,793","22,586,572,290","20,898,198,096","38,656,175,617","23,507,928,490","19,969,349,159","18,475,735,582","53,716,062,968","22,416,260,893","26,830,752,967","39,933,384,699","69,984,422,933"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"19,942,744,585","9,176,586,585","1,166,021,150","-14,268,080,045","5,970,215,246","11,236,662,342","10,842,508,828","-87,224,497","12,984,206,860","17,199,061,809",,"50,858,584,451","212,716,261,108","-51,480,694,339","9,803,293,691","-27,945,759,669","7,011,728,928","27,843,352,836","7,237,150,059","37,363,817,414","23,286,909,535","15,369,335,890","36,836,075,367","158,854,424,429"
12. Thu nhập khác,"1,847,032,192","1,662,590,020","2,074,502,747","1,761,654,409","95,892,057","217,284,507","234,057,705","1,771,823,986","40,442,361","18,754,522",,"326,466,619","101,961,352","189,472,388","568,614,434","117,146,953","22,281,899","648,801,827","182,393,595","1,875,122,086","345,548,042","1,076,330,538","17,432,461","12,860,124,181"
13. Chi phí khác,"147,886,460","73,673,455","471,313,507","1,239,733,779","233,600,649","353,194,646","1,090,427,802","668,002,759","92,390,650","717,422,099",,"1,783,978,108","1,478,929,386","3,393,084,151","194,243,815","1,752,034,855","59,724","497,602,605","490,815,834","-932,730","11,951,067,049","1,647,271,004","5,727,725,027","755,917,569"
14. Lợi nhuận khác(40=31-32),"1,699,145,732","1,588,916,565","1,603,189,240","521,920,630","-137,708,592","-135,910,139","-856,370,097","1,103,821,227","-51,948,289","-698,667,577",,"-1,457,511,489","-1,376,968,034","-3,203,611,763","374,370,619","-1,634,887,902","22,222,175","151,199,222","-308,422,239","1,876,054,816","-11,605,519,007","-570,940,466","-5,710,292,566","12,104,206,612"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"21,641,890,317","10,765,503,150","2,769,210,390","-13,746,159,415","5,832,506,654","11,100,752,203","9,986,138,731","1,016,596,730","12,932,258,571","16,500,394,232",,"49,401,072,962","211,339,293,074","-54,684,306,102","10,177,664,310","-29,580,647,571","7,033,951,103","27,994,552,058","6,928,727,820","39,239,872,230","11,681,390,528","14,798,395,424","31,125,782,801","170,958,631,041"
16. Chi phí thuế TNDN hiện hành,"5,206,374,806","2,276,557,683","1,591,250,500","1,063,425,869","2,719,653,994","2,134,637,405","8,672,802,537","891,975,804","1,783,180,091","1,069,290,581",,"9,393,719,076","22,856,008,476","5,732,290,894","3,378,726,438","-3,531,982,365","2,236,534,991","10,723,996,431","4,377,330,995","17,894,801,309","7,185,670,501","480,380,201","15,533,089,997","63,570,508,563"
17. Chi phí thuế TNDN hoãn lại,"-161,458,990",,,,"-161,458,990",,,"23,182,220","-656,919,192","19,202,225",,"-9,818,278","-765,592,089",,,,"-765,592,089","99,531,740",,,"-765,592,089","967,170,822","1,183,376,110","3,769,063,343"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"16,596,974,501","8,488,945,467","1,177,959,890","-14,809,585,284","3,274,311,650","8,966,114,798","1,313,336,194","101,438,706","11,805,997,672","15,411,901,426",,"40,017,172,164","189,248,876,687","-60,416,596,996","6,798,937,872","-26,048,665,206","5,563,008,201","17,171,023,887","2,551,396,825","21,345,070,921","5,261,312,116","13,350,844,401","14,409,316,694","103,619,059,135"
19. Lợi nhuận sau thuế công ty mẹ,"16,626,200,989","8,225,896,301","1,197,618,778","-14,875,948,126","2,789,728,508","8,743,877,148","1,584,062,456","-129,483,679","10,951,483,858","15,455,802,907",,"40,164,226,722","189,764,831,985","-60,370,258,636","6,414,299,354","-24,668,240,191","6,662,016,001","14,650,941,835","524,410,282","21,598,032,015","6,064,145,438","14,606,061,238","16,361,331,906","102,165,592,438"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"-29,226,488","263,049,166","-19,658,888","66,362,842","484,583,142","222,237,650","-270,726,262","230,922,385","854,513,814","-43,901,481",,"-147,054,558","-515,955,298","-46,338,360","384,638,518","-1,380,425,015","-1,099,007,800","2,520,082,052","2,026,986,543","-252,961,094","-802,833,322","-1,255,216,837","-1,952,015,212","1,453,466,697"
21. Lãi cơ bản trên cổ phiếu(*),224,115,16,-200,38,127,29,01,148,357,,543,"2,564","1,749",,-333,79,253,,,36,99,111,690
22. Lãi suy giảm trên cổ phiếu (*),224,115,16,-200,38,127,29,01,148,357,,543,"2,564","1,749",,-333,79,253,,,36,99,111,690
