,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"61,301,402,123","54,197,215,761","135,978,963,044",,"138,889,324,668","65,596,977,111","136,497,142,114","205,044,370,779","188,240,397,044","42,161,365,574","123,438,904,677","126,612,853,795","190,672,466,463","318,804,039,960","255,811,516,678","112,920,882,918","86,501,178,073","83,020,290,792","211,211,593,449","207,036,641,620","87,487,198,762","98,981,682,905","168,588,136,322",
2. Các khoản giảm trừ doanh thu,"15,926,000",,"12,533,000",,,,,,"19,436,000",,"43,563,000",,"14,450,000","158,712,500",,,,,"19,677,300",,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"61,285,476,123","54,197,215,761","135,966,430,044",,"138,889,324,668","65,596,977,111","136,497,142,114","205,044,370,779","188,220,961,044","42,161,365,574","123,395,341,677","126,612,853,795","190,658,016,463","318,645,327,460","255,811,516,678","112,920,882,918","86,501,178,073","83,020,290,792","211,191,916,149","207,036,641,620","87,487,198,762","98,981,682,905","168,588,136,322",
4. Giá vốn hàng bán,"44,868,403,357","37,175,345,159","102,235,451,777",,"103,906,208,381","46,515,010,434","109,501,470,007","149,180,206,217","133,051,385,053","33,538,910,792","94,424,777,202","90,369,966,577","171,263,785,110","285,696,161,440","215,508,906,524","73,922,252,499","57,582,646,372","52,032,270,578","176,507,161,876","156,393,446,020","62,845,788,451","73,436,930,025","123,996,688,722",
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"16,417,072,766","17,021,870,602","33,730,978,267",,"34,983,116,287","19,081,966,677","26,995,672,107","55,864,164,562","55,169,575,991","8,622,454,782","28,970,564,475","36,242,887,218","19,394,231,353","32,949,166,020","40,302,610,154","38,998,630,419","28,918,531,701","30,988,020,214","34,684,754,273","50,643,195,600","24,641,410,311","25,544,752,880","44,591,447,600",
6. Doanh thu hoạt động tài chính,"1,086,107,325","6,330,161,673","1,088,671,902",,"2,716,367,355","892,662,401","976,971,983","870,606,587","2,115,369,839","991,344,770","548,837,002","57,375,602,682","963,547,667","989,018,741","1,030,133,151","2,950,460,935","2,195,618,975","2,368,883,265","2,034,929,652","2,037,924,908","1,620,854,649","745,798,850","1,123,597,299",
7. Chi phí tài chính,"191,269,807","2,060,454,964","676,035,083",,"826,749,782","786,954,150","985,880,084","1,232,600,429","2,058,108,042","2,408,636,451","626,278,484","2,032,149,460","882,397,565","1,158,809,304","3,186,106,531","1,494,721,502","844,699,956","1,714,589,235","1,718,146,907","2,687,908,527","1,075,603,006","1,617,847,811","2,009,123,328",
- Trong đó: Chi phí lãi vay,"100,435,276","426,898,788","535,207,947",,"686,147,911","733,599,989","757,828,538","1,113,402,251","1,130,857,183","648,810,171","499,213,443","596,664,580","678,446,357","778,339,076","1,132,975,177","-651,157,748","780,869,076","833,230,571","905,711,066","1,346,394,464","702,413,824","477,036,126","894,005,720",
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,"4,824,109,304","4,727,922,540","-2,558,621,402","-696,327,468","-298,908,537","-471,285,932","-1,748,211,582","-580,017,600","132,588,360","-58,481,043",
9. Chi phí bán hàng,"10,771,469,050","10,725,325,174","13,466,956,030",,"9,412,967,039","9,440,348,250","12,043,694,904","10,945,564,408","16,679,125,165","10,643,102,997","12,342,965,509","10,352,524,647","10,557,361,643","10,789,663,302","10,718,698,666","11,452,291,817","13,572,719,593","11,622,744,116","10,649,628,984","14,054,499,552","10,729,436,287","9,928,297,702","12,235,359,573",
