TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"3,135,555,919,640","4,569,327,226,735","3,982,305,260,638","4,158,589,615,128",,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"191,857,154,997","137,312,190,229","269,731,303,198","105,974,340,017",,,,,,,,,,,,,,,,,,,,
1. Tiền,"135,228,467,544","96,247,067,315","227,536,652,377","63,666,975,089",,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,"56,628,687,453","41,065,122,914","42,194,650,821","42,307,364,928",,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"349,572,802,723","323,250,509,346","327,336,891,322","657,229,469,740",,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,"9,353,176","9,353,176","9,353,176","9,353,176",,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"349,563,449,547","323,241,156,170","327,327,538,146","657,220,116,564",,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"841,216,776,027","1,317,274,964,472","856,849,069,249","876,685,199,236",,,,,,,,,,,,,,,,,,,,
1. Phải thu ngắn hạn của khách hàng,"699,236,114,680","1,138,432,859,306","687,556,910,387","692,875,071,303",,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán ngắn hạn,"140,721,011,609","177,378,303,285","167,440,757,142","170,954,142,018",,,,,,,,,,,,,,,,,,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,"3,618,001,164","3,822,153,307","4,209,753,146","15,214,337,341",,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu ngắn hạn khó đòi,"-2,358,351,426","-2,358,351,426","-2,358,351,426","-2,358,351,426",,,,,,,,,,,,,,,,,,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho,"1,622,264,211,951","2,565,694,068,533","2,350,020,748,520","2,327,492,247,018",,,,,,,,,,,,,,,,,,,,
1. Hàng tồn kho,"1,622,264,211,951","2,565,694,068,533","2,350,020,748,520","2,327,492,247,018",,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá hàng tồn kho,,,,,,,,,,,,,,,,,,,,,,,,
V.Tài sản ngắn hạn khác,"130,644,973,942","225,795,494,155","178,367,248,349","191,208,359,117",,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước ngắn hạn,"23,484,527,224","35,847,262,036","25,572,869,723","26,321,912,877",,,,,,,,,,,,,,,,,,,,
2. Thuế GTGT được khấu trừ,"105,224,365,748","188,038,992,128","152,768,014,884","153,077,866,590",,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản khác phải thu Nhà nước,"1,936,080,970","1,909,239,991","26,363,742","11,808,579,650",,,,,,,,,,,,,,,,,,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"3,933,410,676,376","3,791,537,529,987","3,684,949,742,057","3,643,892,228,639",,,,,,,,,,,,,,,,,,,,
I. Các khoản phải thu dài hạn,"3,435,857,850","3,444,048,360","3,445,048,360","3,453,843,850",,,,,,,,,,,,,,,,,,,,
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,"3,435,857,850","3,444,048,360","3,445,048,360","3,453,843,850",,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu dài hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
II.Tài sản cố định,"3,426,314,359,677","3,655,630,214,665","3,564,422,824,762","3,457,519,368,197",,,,,,,,,,,,,,,,,,,,
1. Tài sản cố định hữu hình,"3,168,040,235,459","3,115,098,554,563","3,028,853,162,700","2,928,526,503,025",,,,,,,,,,,,,,,,,,,,
- Nguyên giá,"4,589,376,495,893","4,601,207,718,912","4,471,385,624,230","4,476,156,025,220",,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,"-1,421,336,260,434","-1,486,109,164,349","-1,442,532,461,530","-1,547,629,522,195",,,,,,,,,,,,,,,,,,,,
2. Tài sản cố định thuê tài chính,,"290,584,376,468","287,275,362,435","282,351,549,552",,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,"295,428,773,015","295,428,773,015","295,428,773,015",,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,"-4,844,396,547","-8,153,410,580","-13,077,223,463",,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình,"258,274,124,218","249,947,283,634","248,294,299,627","246,641,315,620",,,,,,,,,,,,,,,,,,,,
- Nguyên giá,"279,070,154,526","269,659,536,657","269,659,536,657","269,659,536,657",,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,"-20,796,030,308","-19,712,253,023","-21,365,237,030","-23,018,221,037",,,,,,,,,,,,,,,,,,,,
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"467,541,724,884","54,484,371,535","56,863,482,684","49,070,606,991",,,,,,,,,,,,,,,,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
