,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"923,678,068,296","991,629,166,466","919,249,366,016","992,385,770,076","1,050,945,518,869","1,085,206,352,118","1,052,154,867,486","1,111,287,035,659","1,060,247,852,310","1,187,164,690,977","878,581,892,260","1,204,096,122,802","1,182,730,385,148","1,133,915,670,959","1,018,661,611,232","953,111,461,858","874,764,001,572","920,976,510,313","688,243,947,023","712,201,001,723","724,171,822,017",,"818,186,559,519","1,023,387,670,619"
2. Các khoản giảm trừ doanh thu,,"747,918,629","112,801,816","68,777,273",,"68,916,363",,"33,034,091",,,,"39,308,637",,,"36,492,515,536","33,609,256,776","26,819,265,328","28,381,934,322","28,092,496,741","31,526,391,771","34,426,808,010",,"25,392,443,527","38,516,254,707"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"923,678,068,296","990,881,247,837","919,136,564,200","992,316,992,803","1,050,945,518,869","1,085,137,435,755","1,052,154,867,486","1,111,254,001,568","1,060,247,852,310","1,187,164,690,977","878,581,892,260","1,204,056,814,165","1,182,730,385,148","1,133,915,670,959","982,169,095,696","919,502,205,082","847,944,736,244","892,594,575,991","660,151,450,282","680,674,609,952","689,745,014,007",,"792,794,115,992","984,871,415,912"
4. Giá vốn hàng bán,"800,467,705,543","824,374,518,392","795,000,103,468","850,979,251,389","921,928,505,025","934,286,104,311","935,568,941,317","968,374,887,111","965,068,711,387","979,172,596,339","805,919,176,994","1,092,280,225,868","1,011,659,024,862","964,630,660,264","940,778,632,001","870,640,652,904","811,963,798,234","823,350,036,539","641,397,785,237","661,903,105,400","659,668,463,718",,"738,305,839,218","879,027,055,130"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"123,210,362,753","166,506,729,445","124,136,460,732","141,337,741,414","129,017,013,844","150,851,331,444","116,585,926,169","142,879,114,457","95,179,140,923","207,992,094,638","72,662,715,266","111,776,588,297","171,071,360,286","169,285,010,695","41,390,463,695","48,861,552,178","35,980,938,010","69,244,539,452","18,753,665,045","18,771,504,552","30,076,550,289",,"54,488,276,774","105,844,360,782"
6. Doanh thu hoạt động tài chính,"227,357,808","22,880,059","339,543,775","14,535,141","14,526,938","7,519,553","7,621,190","8,202,815","7,843,998","10,710,469","4,811,571","598,639,777","11,366,748","12,822,466","7,270,744","16,857,435","9,717,589","6,554,166","4,604,205","65,241,775","621,243,606",,"95,492,203","617,758,853"
7. Chi phí tài chính,"26,528,184,739","27,898,339,188","27,675,868,709","28,997,449,948","20,872,340,333","19,512,654,395","18,779,214,146","17,198,615,605","12,360,004,230","11,063,077,247","10,883,608,090","10,363,998,314","8,598,540,891","8,116,418,532","8,727,260,044","10,907,308,550","12,416,473,416","12,683,694,452","11,905,893,899","12,293,648,367","10,076,289,399",,"8,661,374,677","8,809,899,918"
- Trong đó: Chi phí lãi vay,"26,528,175,921","27,898,220,053","27,675,868,709","28,970,529,492","20,872,340,333","19,512,654,395","18,779,214,146","17,198,615,605","12,360,004,230","11,063,077,247","10,883,608,090","10,222,436,894","8,598,540,891","8,116,418,532","8,727,260,044","10,907,308,550","12,416,473,416","12,683,694,452","11,905,893,899","12,280,817,544","9,928,436,502",,"8,482,742,540","8,642,533,896"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"31,135,326,310","29,662,288,412","34,194,004,015","31,796,689,325","40,125,412,915","37,556,659,953","32,048,621,806","32,330,868,280","35,301,092,797","41,468,255,016","34,662,449,665","50,012,747,179","43,353,006,413","47,004,207,836","41,685,280,431","35,725,892,888","41,645,730,944","35,012,765,132","32,871,918,685","38,552,709,250","45,915,262,455",,"41,783,325,924","34,394,494,946"
