TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"1,833,255,054,145","1,803,423,878,810","1,628,687,219,488","1,527,504,487,214",,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"457,491,995,288","404,998,012,607","281,923,266,131","303,509,353,245",,,,,,,,,,,,,,,,,,,,
1. Tiền,"390,491,995,288","374,998,012,607","116,923,266,131","97,509,353,245",,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,"67,000,000,000","30,000,000,000","165,000,000,000","206,000,000,000",,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"200,000,000,000","300,000,000,000","356,000,000,000","386,000,000,000",,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"200,000,000,000","300,000,000,000","356,000,000,000","386,000,000,000",,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"641,736,574,323","558,079,920,124","448,826,916,205","382,862,929,939",,,,,,,,,,,,,,,,,,,,
1. Phải thu ngắn hạn của khách hàng,"463,134,484,188","425,657,472,602","382,166,377,727","342,499,031,251",,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán ngắn hạn,"191,568,056,921","164,208,792,704","55,520,323,917","61,770,763,542",,,,,,,,,,,,,,,,,,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,"30,000,000,000","30,000,000,000",,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,"67,933,745,435","68,387,659,358","72,438,174,284","40,155,872,112",,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu ngắn hạn khó đòi,"-81,389,891,303","-100,664,183,622","-91,788,138,805","-92,052,916,048",,,,,,,,,,,,,,,,,,,,
8. Tài sản Thiếu chờ xử lý,"490,179,082","490,179,082","490,179,082","490,179,082",,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho,"502,268,958,928","507,375,774,194","538,433,538,193","453,880,133,639",,,,,,,,,,,,,,,,,,,,
