TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"625,212,985,197","606,104,610,612","678,175,795,880","822,421,073,415","603,805,942,572","564,024,805,972","663,688,195,151","599,100,633,910","658,097,522,120","776,679,319,725","598,166,449,507","650,061,986,561","798,187,971,367","789,394,895,784","740,757,868,146","895,545,888,690","814,691,792,394","744,971,474,478","909,689,537,038","1,296,762,791,584","960,363,076,627","932,154,266,151","1,032,126,758,333","1,190,311,408,679"
I. Tiền và các khoản tương đương tiền,"236,870,257,192","248,074,560,256","248,024,405,458","428,522,192,255","189,631,487,841","154,778,893,008","282,744,318,831","132,811,265,893","156,309,487,913","301,891,467,786","138,991,959,894","177,172,529,776","207,433,853,169","94,938,424,941","55,907,344,829","153,314,325,843","76,450,985,459","138,633,230,298","109,956,649,042","335,114,305,639","155,588,135,517","280,805,798,247","172,509,169,599","671,217,564,862"
1. Tiền,"61,434,844,192","31,474,560,256","71,424,405,458","306,922,192,255","51,727,962,387","52,256,094,452","75,744,318,831","93,811,265,893","85,309,487,913","80,378,294,558","57,590,126,560","42,107,077,972","96,682,801,939","73,412,058,535","53,124,970,143","59,388,200,154","33,726,520,770","68,283,765,609","83,732,184,353","183,014,305,639","155,488,135,517","250,705,798,247","152,309,169,599","384,017,111,163"
2. Các khoản tương đương tiền,"175,435,413,000","216,600,000,000","176,600,000,000","121,600,000,000","137,903,525,454","102,522,798,556","207,000,000,000","39,000,000,000","71,000,000,000","221,513,173,228","81,401,833,334","135,065,451,804","110,751,051,230","21,526,366,406","2,782,374,686","93,926,125,689","42,724,464,689","70,349,464,689","26,224,464,689","152,100,000,000","100,000,000","30,100,000,000","20,200,000,000","287,200,453,699"
II. Các khoản đầu tư tài chính ngắn hạn,"131,040,612,959","66,740,953,837","108,450,027,932","108,326,721,732","108,179,883,100","87,594,314,182","67,594,314,182","77,438,671,054","77,687,772,365","67,754,187,710","30,728,339,865","31,027,890,065","221,305,378,765","388,700,465,784","300,016,227,307","390,625,163,337","410,112,554,887","300,569,462,392","77,918,058,818","118,139,520,387","119,556,705,214","175,781,189,742","228,897,712,388","172,977,566,316"
1. Chứng khoán kinh doanh,"4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","4,618,744,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","5,032,544,826","4,996,144,826","4,057,811,954"
2. Dự phòng giảm giá chứng khoán kinh doanh,"-1,865,656,867","-1,658,240,989","-1,856,236,894","-1,979,543,094","-2,126,381,726","-2,219,025,644","-2,219,025,644","-1,374,668,772","-1,125,567,461","-1,059,152,116","-1,034,799,961","-735,249,761","-771,561,061","-1,291,885,762","-1,687,082,739","-2,105,720,489","-1,919,989,939","-1,463,082,434","-1,209,225,734","-763,656,534","-896,471,707","-936,987,179","-1,279,263,629","-951,476,829"
3. Đầu tư nắm giữ đến ngày đáo hạn,"128,287,525,000","63,780,450,000","105,687,520,000","105,687,520,000","105,687,520,000","85,194,595,000","65,194,595,000","74,194,595,000","74,194,595,000","64,194,595,000","27,144,395,000","27,144,395,000","217,044,395,000","384,959,806,720","296,670,765,220","387,698,339,000","407,000,000,000","297,000,000,000","74,094,739,726","113,870,632,095","115,420,632,095","171,685,632,095","225,180,831,191","169,871,231,191"
III. Các khoản phải thu ngắn hạn,"125,287,350,702","142,820,468,238","129,357,562,386","137,123,162,735","135,009,021,684","160,922,288,921","158,138,373,589","229,179,977,163","317,673,221,606","281,624,196,425","283,176,025,042","207,495,930,446","201,810,158,091","126,237,006,291","159,968,322,930","179,726,628,786","131,206,603,147","136,628,788,698","517,759,078,646","663,315,341,592","521,734,326,058","295,505,093,331","423,164,393,964","170,925,315,065"
1. Phải thu ngắn hạn của khách hàng,"80,187,652,839","77,188,613,961","96,353,313,152","119,101,175,585","91,483,423,799","58,946,638,801","78,355,788,534","199,696,499,963","187,810,835,475","152,844,586,853","126,830,924,930","193,286,366,488","185,839,147,838","107,458,315,693","135,373,585,123","164,323,599,687","94,883,580,822","85,011,979,343","132,245,318,693","145,918,309,029","115,966,950,155","109,784,060,098","123,342,226,323","126,476,152,016"
