,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,476,442,000,000","9,622,617,000,000","9,323,735,000,000","11,395,953,000,000","18,003,892,000,000","18,149,931,000,000","20,614,349,000,000","22,100,147,000,000","20,320,723,000,000","21,577,402,000,000","23,903,900,000,000","23,989,594,000,000","18,218,759,000,000","17,862,146,000,000","19,577,827,000,000","20,722,018,000,000","18,714,952,000,000","18,696,931,000,000","20,244,809,000,000","20,860,307,000,000","18,942,352,000,000",,"21,574,637,000,000","22,735,941,000,000"
2. Các khoản giảm trừ doanh thu,"316,320,000,000","372,214,000,000","355,860,000,000","420,266,000,000","366,305,000,000","383,549,000,000","400,041,000,000","500,616,000,000","343,862,000,000","358,108,000,000","299,091,000,000","161,791,000,000","29,423,000,000","28,093,000,000","54,772,000,000","79,237,000,000","8,725,000,000","88,370,000,000","89,898,000,000","78,387,000,000","87,454,000,000",,"87,742,000,000","34,410,000,000"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"8,160,122,000,000","9,250,403,000,000","8,967,875,000,000","10,975,687,000,000","17,637,587,000,000","17,766,382,000,000","20,214,308,000,000","21,599,531,000,000","19,976,861,000,000","21,219,294,000,000","23,604,809,000,000","23,827,803,000,000","18,189,336,000,000","17,834,053,000,000","19,523,055,000,000","20,642,781,000,000","18,706,227,000,000","18,608,561,000,000","20,154,911,000,000","20,781,920,000,000","18,854,898,000,000",,"21,486,895,000,000","22,701,531,000,000"
4. Giá vốn hàng bán,"5,697,141,000,000","6,583,116,000,000","6,536,281,000,000","7,596,401,000,000","13,676,072,000,000","13,871,798,000,000","15,396,469,000,000","16,384,772,000,000","15,662,741,000,000","16,372,047,000,000","17,508,621,000,000","16,950,557,000,000","13,100,229,000,000","12,866,613,000,000","14,098,747,000,000","15,088,612,000,000","13,620,060,000,000","13,281,084,000,000","14,215,276,000,000","15,014,087,000,000","13,600,060,000,000",,"15,066,285,000,000","15,638,991,000,000"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"2,462,981,000,000","2,667,287,000,000","2,431,594,000,000","3,379,286,000,000","3,961,515,000,000","3,894,584,000,000","4,817,839,000,000","5,214,759,000,000","4,314,120,000,000","4,847,247,000,000","6,096,188,000,000","6,877,246,000,000","5,089,107,000,000","4,967,440,000,000","5,424,308,000,000","5,554,169,000,000","5,086,167,000,000","5,327,477,000,000","5,939,635,000,000","5,767,833,000,000","5,254,838,000,000",,"6,420,610,000,000","7,062,540,000,000"
6. Doanh thu hoạt động tài chính,"72,372,000,000","86,589,000,000","791,269,000,000","237,953,000,000","117,090,000,000","977,810,000,000","158,539,000,000","177,224,000,000","216,267,000,000","245,419,000,000","326,610,000,000","6,011,282,000,000","1,006,046,000,000","585,014,000,000","330,194,000,000","654,309,000,000","650,012,000,000","689,805,000,000","420,977,000,000","644,411,000,000","574,011,000,000",,"854,509,000,000","1,967,701,000,000"
7. Chi phí tài chính,"529,303,000,000","556,823,000,000","594,563,000,000","519,873,000,000","783,077,000,000","1,076,091,000,000","1,277,077,000,000","1,420,426,000,000","1,382,728,000,000","1,396,712,000,000","1,366,192,000,000","1,560,899,000,000","1,296,138,000,000","1,576,125,000,000","1,666,642,000,000","1,822,737,000,000","1,989,427,000,000","2,139,281,000,000","2,386,183,000,000","1,614,622,000,000","1,899,341,000,000",,"2,032,036,000,000","1,917,003,000,000"
- Trong đó: Chi phí lãi vay,"453,620,000,000","451,152,000,000","492,426,000,000","468,817,000,000","678,460,000,000","862,707,000,000","1,090,959,000,000","1,138,157,000,000","1,194,144,000,000","1,179,868,000,000","1,157,486,000,000","1,137,928,000,000","1,161,355,000,000","1,073,800,000,000","1,126,241,000,000","1,486,306,000,000","1,746,572,000,000","1,785,953,000,000","1,744,521,000,000","1,669,014,000,000","1,621,898,000,000",,"1,707,361,000,000","14,526,425,000,000"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","446,777,000,000","533,246,000,000","552,159,000,000","650,228,000,000","527,738,000,000","604,480,000,000","676,550,000,000","831,300,000,000","946,559,000,000","1,024,394,000,000","933,881,000,000","991,807,000,000","1,193,860,000,000","1,251,638,000,000","1,144,826,000,000","749,326,000,000","977,535,000,000","923,588,000,000","1,048,977,000,000","945,882,000,000","1,248,537,000,000",,"1,158,157,000,000","763,709,000,000"
9. Chi phí bán hàng,"812,509,000,000","956,005,000,000","1,063,296,000,000","1,163,085,000,000","3,106,541,000,000","3,206,947,000,000","3,315,413,000,000","3,537,186,000,000","2,728,343,000,000","2,668,793,000,000","3,083,017,000,000","3,306,185,000,000","3,044,028,000,000","2,933,387,000,000","3,284,082,000,000","3,250,042,000,000","3,316,244,000,000","3,432,137,000,000","3,623,606,000,000","3,820,368,000,000","3,579,977,000,000",,"3,678,318,000,000","3,604,582,000,000"
